Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
DISAGG , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 916.16 , 812.5 , 11.3146 , 0.054 , 600.109 , 6 , 878 , 38.16 , 38.04 , 38.04 , 916.16 , 843.317 , 7.95094 , 30363 , 6297 , 12.7735 , 1465 , 5.64531 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
DISAGG+AF , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 943.39 , 812.5 , 13.8744 , 0.05 , 600.05 , 6 , 899 , 44.39 , 44.39 , 44.39 , 943.39 , 839 , 11.0654 , 24809 , 6367 , 11.013 , 1594 , 4.69268 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
DISAGG+SEP , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 918.66 , 812.5 , 11.556 , 0.051 , 600.045 , 6 , 904 , 14.66 , 14.66 , 14.66 , 918.66 , 840.833 , 8.47176 , 28594 , 6525 , 11.9689 , 1720 , 10.9546 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
DISAGG+AF+SEP , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 931.79 , 812.5 , 12.8022 , 0.051 , 600.058 , 6 , 838 , 93.79 , 93.51 , 93.51 , 931.79 , 840.889 , 9.75554 , 27894 , 6504 , 10.9124 , 1676 , 11.0529 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 924.62 , 812.5 , 12.1261 , 0.051 , 600.056 , 6 , 906 , 18.62 , 18.62 , 18.62 , 924.62 , 840.91 , 9.05348 , 29764 , 6319 , 10.2997 , 2602 , 6.57957 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+AF , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 934.62 , 812.5 , 13.0663 , 0.05 , 600.112 , 6 , 837 , 97.62 , 97.62 , 97.62 , 934.62 , 845.228 , 9.56455 , 32791 , 5428 , 10.4019 , 2633 , 7.84467 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SEP , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 903.12 , 812.5 , 10.0341 , 0.053 , 600.088 , 6 , 902 , 1.12 , 1.12 , 1.12 , 903.12 , 838.113 , 7.19807 , 31309 , 5935 , 12.4108 , 1839 , 12.457 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+AF+SEP , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 901.82 , 812.5 , 9.90442 , 0.051 , 600.081 , 6 , 889 , 12.82 , 12.82 , 12.82 , 901.82 , 839.333 , 6.92895 , 33118 , 5714 , 11.7515 , 2260 , 11.6762 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
DISAGG , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 778 , 3.80216 , 0.058 , 44.032 , 5 , 796 , 12.75 , 12.33 , 12.33 , 808.75 , 808.75 , 0 , 6927 , 1644 , 2.36081 , 310 , 1.01338 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
DISAGG+AF , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 778 , 3.80216 , 0.06 , 34.99 , 5 , 796 , 12.75 , 12.29 , 12.36 , 808.75 , 808.75 , 0 , 5740 , 1571 , 1.79984 , 331 , 0.896547 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
DISAGG+SEP , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 778 , 3.80216 , 0.058 , 25.428 , 5 , 796 , 12.75 , 12.33 , 12.33 , 808.75 , 808.75 , 0 , 3811 , 1216 , 1.35928 , 233 , 1.00292 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
DISAGG+AF+SEP , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 778 , 3.80216 , 0.06 , 38.711 , 5 , 796 , 12.75 , 12.29 , 12.36 , 808.75 , 808.75 , 0 , 5501 , 1562 , 1.83523 , 329 , 1.3856 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 778 , 3.80216 , 0.06 , 24.856 , 5 , 796 , 12.75 , 12.29 , 12.36 , 808.75 , 808.75 , 0 , 5305 , 1057 , 1.85548 , 192 , 0.622092 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
