Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.80_1_7.svrp , 655.24 , 655.24 , 0 , 1.018 , 1.047 , 4 , 651 , 4.24 , 4.24 , 4.24 , 655.24 , 655.24 , 0 , 1 , 119 , 0.015768 , 0 , 0 , 0 , 0 , 0.001063 , 22 , 0.904071 , 0 , 0.000703 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.80_1_8.svrp , 732.32 , 705.75 , 3.6282 , 0.033 , 4.611 , 4 , 723 , 9.32 , 9.32 , 9.4 , 732.32 , 732.32 , 0 , 1045 , 649 , 0.346575 , 0 , 0 , 20 , 97 , 0.181278 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.80_1_8.svrp , 732.32 , 717.466 , 2.02835 , 2.153 , 5.093 , 4 , 723 , 9.32 , 9.32 , 9.4 , 732.32 , 732.32 , 0 , 797 , 369 , 0.711537 , 0 , 0 , 1 , 0 , 0.095861 , 547 , 0.570197 , 64 , 0.100361 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.80_1_8.svrp , 732.32 , 721.584 , 1.46603 , 2.06 , 5.154 , 4 , 723 , 9.32 , 9.32 , 9.4 , 732.32 , 732.32 , 0 , 786 , 563 , 0.684104 , 0 , 0 , 10 , 0 , 0.101435 , 547 , 0.568487 , 78 , 0.097992 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.80_1_8.svrp , 732.32 , 721.584 , 1.46603 , 2.934 , 6.043 , 4 , 723 , 9.32 , 9.32 , 9.4 , 732.32 , 732.32 , 0 , 786 , 563 , 0.688872 , 0 , 0 , 10 , 0 , 0.102004 , 547 , 1.39159 , 78 , 0.098776 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.80_1_9.svrp , 650.76 , 625 , 3.95845 , 0.043 , 3.374 , 4 , 648 , 2.76 , 2.76 , 2.92 , 650.76 , 650.76 , 0 , 932 , 809 , 0.220245 , 0 , 0 , 21 , 102 , 0.132753 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.80_1_9.svrp , 650.76 , 631.808 , 2.91222 , 5.248 , 8.978 , 4 , 648 , 2.76 , 2.76 , 2.92 , 650.76 , 650.76 , 0 , 352 , 474 , 1.01883 , 0 , 0 , 8 , 0 , 0.037613 , 775 , 2.21808 , 54 , 0.0403 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.80_1_9.svrp , 650.76 , 639.479 , 1.73346 , 5.448 , 11.887 , 4 , 648 , 2.76 , 2.76 , 2.92 , 650.76 , 650.76 , 0 , 696 , 754 , 1.20837 , 0 , 0 , 11 , 0 , 0.088391 , 775 , 2.19742 , 70 , 0.095484 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.80_1_9.svrp , 650.76 , 640.064 , 1.64355 , 38.235 , 46.734 , 4 , 648 , 2.76 , 2.76 , 2.92 , 650.76 , 650.76 , 0 , 1073 , 1069 , 4.3515 , 0 , 0 , 23 , 0 , 0.192918 , 928 , 31.422 , 110 , 0.174049 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.82_1_0.svrp , 721.88 , 704.5 , 2.4076 , 0.015 , 0.48 , 4 , 709 , 12.88 , 12.88 , 12.88 , 721.88 , 721.88 , 0 , 264 , 224 , 0.061433 , 0 , 0 , 1 , 46 , 0.039585 , 0 , 0 , 0 , 0 , 1 , 0
