Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
PR , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 690.5 , 5.30719 , 0.044 , 222.511 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 31481 , 3227 , 7.67788 , 969 , 2.50058 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 699.429 , 4.08275 , 0.054 , 19.065 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 4578 , 1083 , 1.41666 , 23 , 0.269625 , 17 , 63 , 0.537327 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 729.2 , 708.001 , 2.90721 , 5.54 , 16.359 , 4 , 721 , 8.2 , 8.2 , 8.2 , 729.2 , 729.2 , 0 , 1492 , 778 , 1.35681 , 7 , 0.105743 , 9 , 0 , 0.334669 , 807 , 1.83285 , 51 , 0.342873 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 660.84 , 628 , 4.96943 , 0.024 , 86.53 , 4 , 646 , 14.84 , 14.76 , 14.84 , 660.84 , 660.84 , 0 , 20252 , 1869 , 3.14211 , 1906 , 1.92671 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 660.84 , 628 , 4.96943 , 0.023 , 5.387 , 4 , 646 , 14.84 , 14.76 , 14.84 , 660.84 , 660.84 , 0 , 1810 , 648 , 0.513505 , 15 , 0.118271 , 20 , 121 , 0.276527 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 660.84 , 640.953 , 3.0093 , 1.987 , 9.617 , 4 , 646 , 14.84 , 14.76 , 14.84 , 660.84 , 660.84 , 0 , 1769 , 569 , 0.942577 , 6 , 0.129027 , 15 , 0 , 0.246884 , 597 , 0.512256 , 115 , 0.268548 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 687.16 , 664.5 , 3.29763 , 0.012 , 2.596 , 4 , 666 , 21.16 , 19.72 , 21.16 , 687.16 , 687.16 , 0 , 1530 , 298 , 0.283548 , 176 , 0.157949 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 687.16 , 670.803 , 2.38031 , 0.02 , 0.587 , 4 , 666 , 21.16 , 19.72 , 21.16 , 687.16 , 687.16 , 0 , 471 , 89 , 0.064636 , 27 , 0.050045 , 15 , 18 , 0.101612 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 687.16 , 681.305 , 0.852017 , 0.162 , 0.26 , 4 , 666 , 21.16 , 19.72 , 21.16 , 687.16 , 687.16 , 0 , 15 , 57 , 0.04362 , 3 , 0.004482 , 1 , 0 , 0.008851 , 66 , 0.043563 , 0 , 0.006946 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 593.52 , 588.333 , 0.873882 , 0.02 , 0.195 , 4 , 591 , 2.52 , 2.52 , 2.52 , 593.52 , 593.52 , 0 , 5 , 96 , 0.014931 , 15 , 0.015149 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 593.52 , 588.333 , 0.873882 , 0.019 , 0.171 , 4 , 591 , 2.52 , 2.52 , 2.52 , 593.52 , 593.52 , 0 , 1 , 97 , 0.013179 , 1 , 0.003812 , 4 , 8 , 0.011477 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 593.52 , 593.012 , 0.0856641 , 0.187 , 0.332 , 4 , 591 , 2.52 , 2.52 , 2.52 , 593.52 , 593.52 , 0 , 1 , 79 , 0.031675 , 2 , 0.004328 , 2 , 0 , 0.009555 , 74 , 0.034294 , 0 , 0.005703 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.80_1_4.svrp , 710.84 , 702 , 1.2436 , 0.025 , 0.723 , 4 , 706 , 4.84 , 4.84 , 4.84 , 710.84 , 710.84 , 0 , 444 , 189 , 0.061604 , 113 , 0.091897 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.80_1_4.svrp , 710.84 , 702 , 1.2436 , 0.026 , 0.349 , 4 , 706 , 4.84 , 4.84 , 4.84 , 710.84 , 710.84 , 0 , 73 , 148 , 0.029166 , 7 , 0.013697 , 20 , 15 , 0.041359 , 0 , 0 , 0 , 0 , 1 , 0
