Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
Parada , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 667.431 , 657.003 , 1.56248 , 0.033 , 0.253 , 2 , 662.761 , 4.67033 , 4.67033 , 4.67033 , 667.431 , 667.431 , 0 , 37 , 99 , 0.028232 , 0 , 0 , 9 , 0.079337 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 667.431 , 657.313 , 1.516 , 0.075 , 1.528 , 2 , 662.761 , 4.67033 , 4.67033 , 4.67033 , 667.431 , 667.431 , 0 , 366 , 267 , 0.15066 , 0 , 0 , 46 , 0.679605 , 5 , 0.015165 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 667.431 , 657.965 , 1.41826 , 0.096 , 2.164 , 2 , 662.761 , 4.67033 , 4.67033 , 4.67033 , 667.431 , 667.431 , 0 , 360 , 328 , 0.191132 , 0 , 0 , 43 , 0.755969 , 5 , 0.018939 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 648.01 , 640.051 , 1.2281 , 0.058 , 1.545 , 2 , 642.786 , 5.22372 , 5.22372 , 5.62372 , 648.01 , 648.01 , 0 , 353 , 292 , 0.170934 , 0 , 0 , 24 , 0.504788 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 648.01 , 640.555 , 1.1504 , 0.142 , 0.875 , 2 , 642.786 , 5.22372 , 5.22372 , 5.62372 , 648.01 , 648.01 , 0 , 171 , 179 , 0.095418 , 0 , 0 , 22 , 0.255024 , 4 , 0.021525 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 648.01 , 640.555 , 1.1504 , 0.142 , 0.933 , 2 , 642.786 , 5.22372 , 5.22372 , 5.62372 , 648.01 , 648.01 , 0 , 171 , 179 , 0.102116 , 0 , 0 , 22 , 0.289678 , 4 , 0.021367 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 671.711 , 661.556 , 1.5119 , 0.031 , 0.41 , 2 , 669.174 , 2.53688 , 2.53688 , 2.97078 , 671.711 , 671.711 , 0 , 85 , 131 , 0.037878 , 0 , 0 , 24 , 0.125717 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 671.711 , 663.349 , 1.24493 , 0.072 , 5.615 , 2 , 669.174 , 2.53688 , 2.53688 , 2.97078 , 671.711 , 671.711 , 0 , 559 , 389 , 0.328125 , 0 , 0 , 56 , 0.353279 , 2 , 0.010711 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 671.711 , 663.349 , 1.24493 , 0.086 , 5.635 , 2 , 669.174 , 2.53688 , 2.53688 , 2.97078 , 671.711 , 671.711 , 0 , 559 , 389 , 0.339923 , 0 , 0 , 56 , 0.365532 , 2 , 0.013461 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.90_1_8.svrp , 609.822 , 602.857 , 1.14213 , 0.062 , 1.82 , 2 , 607.975 , 1.84712 , 1.84712 , 1.84712 , 609.822 , 609.822 , 0 , 353 , 318 , 0.178344 , 0 , 0 , 79 , 0.393552 , 0 , 0 , 0 , 0 , 1
