Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI , ./data/Jabali/k2/80_2_0.90_1_5.svrp , 737.079 , 720.433 , 2.25834 , 0.165 , 21.5 , 2 , 734.19 , 2.88897 , 2.88897 , 2.88897 , 737.079 , 737.079 , 0 , 1434 , 751 , 1.17739 , 0 , 0 , 240 , 2.11644 , 4 , 0.017431 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.90_1_5.svrp , 737.079 , 720.433 , 2.25834 , 0.165 , 21.294 , 2 , 734.19 , 2.88897 , 2.88897 , 2.88897 , 737.079 , 737.079 , 0 , 1434 , 751 , 1.17677 , 0 , 0 , 240 , 2.11838 , 4 , 0.017659 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.90_1_6.svrp , 840.504 , 833.082 , 0.883078 , 0.073 , 2.07 , 2 , 839.542 , 0.962216 , 0.962216 , 1.17806 , 840.504 , 840.504 , 0 , 414 , 272 , 0.247566 , 0 , 0 , 14 , 0.327718 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.90_1_6.svrp , 840.504 , 833.174 , 0.872129 , 0.188 , 2.184 , 2 , 839.542 , 0.962216 , 0.962216 , 1.17806 , 840.504 , 840.504 , 0 , 419 , 284 , 0.307192 , 0 , 0 , 35 , 0.393131 , 2 , 0.02852 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.90_1_6.svrp , 840.504 , 833.174 , 0.872129 , 0.161 , 2.314 , 2 , 839.542 , 0.962216 , 0.962216 , 1.17806 , 840.504 , 840.504 , 0 , 419 , 284 , 0.295631 , 0 , 0 , 35 , 0.392906 , 2 , 0.023063 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.90_1_7.svrp , 782.651 , 777.966 , 0.598572 , 0.065 , 2.327 , 2 , 781.022 , 1.6296 , 1.6296 , 1.6296 , 782.651 , 782.651 , 0 , 380 , 287 , 0.236719 , 0 , 0 , 39 , 0.424828 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.90_1_7.svrp , 782.651 , 778.832 , 0.487994 , 0.162 , 0.784 , 2 , 781.022 , 1.6296 , 1.6296 , 1.6296 , 782.651 , 782.651 , 0 , 99 , 162 , 0.091169 , 0 , 0 , 15 , 0.14805 , 5 , 0.017563 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.90_1_7.svrp , 782.651 , 778.955 , 0.472303 , 0.196 , 3.186 , 2 , 781.022 , 1.6296 , 1.6296 , 1.6296 , 782.651 , 782.651 , 0 , 374 , 328 , 0.366477 , 0 , 0 , 29 , 0.68386 , 5 , 0.022755 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.90_1_8.svrp , 739.971 , 732.2 , 1.05016 , 0.027 , 8.697 , 2 , 737.997 , 1.97395 , 1.97395 , 1.97395 , 739.971 , 739.971 , 0 , 579 , 500 , 0.49466 , 0 , 0 , 49 , 0.793041 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.90_1_8.svrp , 739.971 , 733.253 , 0.907853 , 0.088 , 3.607 , 2 , 737.997 , 1.97395 , 1.97395 , 1.97395 , 739.971 , 739.971 , 0 , 480 , 311 , 0.319946 , 0 , 0 , 48 , 1.0073 , 1 , 0.015814 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.90_1_8.svrp , 739.971 , 733.253 , 0.907853 , 0.088 , 3.029 , 2 , 737.997 , 1.97395 , 1.97395 , 1.97395 , 739.971 , 739.971 , 0 , 480 , 311 , 0.268904 , 0 , 0 , 48 , 0.816234 , 1 , 0.016723 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.90_1_9.svrp , 764.86 , 753.748 , 1.4529 , 0.052 , 19.308 , 2 , 763.721 , 1.1392 , 1.1392 , 1.1392 , 764.86 , 764.86 , 0 , 799 , 832 , 0.802241 , 0 , 0 , 99 , 1.05349 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.90_1_9.svrp , 764.86 , 754.867 , 1.30664 , 0.131 , 10.748 , 2 , 763.721 , 1.1392 , 1.1392 , 1.1392 , 764.86 , 764.86 , 0 , 858 , 611 , 0.673325 , 0 , 0 , 92 , 1.39971 , 2 , 0.016965 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.90_1_9.svrp , 764.86 , 754.867 , 1.30664 , 0.131 , 10.523 , 2 , 763.721 , 1.1392 , 1.1392 , 1.1392 , 764.86 , 764.86 , 0 , 858 , 611 , 0.674107 , 0 , 0 , 92 , 1.40085 , 2 , 0.016821 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.93_1_0.svrp , 787.714 , 768.539 , 2.43425 , 0.057 , 43.162 , 2 , 777.486 , 10.2284 , 10.2284 , 12.0799 , 787.714 , 787.714 , 0 , 5108 , 1071 , 3.2482 , 0 , 0 , 492 , 10.0955 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.93_1_0.svrp , 787.714 , 771.284 , 2.08575 , 0.483 , 18.945 , 2 , 777.486 , 10.2284 , 10.2284 , 12.0799 , 787.714 , 787.714 , 0 , 1463 , 745 , 1.25463 , 0 , 0 , 111 , 1.99798 , 85 , 0.137143 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.93_1_0.svrp , 787.714 , 772.181 , 1.97192 , 0.548 , 17.619 , 2 , 777.486 , 10.2284 , 10.2284 , 12.0799 , 787.714 , 787.714 , 0 , 1658 , 730 , 1.34051 , 0 , 0 , 122 , 2.35393 , 85 , 0.155543 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.93_1_1.svrp , 814.231 , 798.52 , 1.92951 , 0.057 , 22.106 , 2 , 805.022 , 9.20888 , 9.20888 , 10.832 , 814.231 , 814.231 , 0 , 1599 , 905 , 1.27898 , 0 , 0 , 276 , 4.66812 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.93_1_1.svrp , 814.231 , 798.52 , 1.92951 , 0.184 , 16.597 , 2 , 805.022 , 9.20888 , 9.20888 , 10.832 , 814.231 , 814.231 , 0 , 1254 , 689 , 0.991423 , 0 , 0 , 159 , 3.77647 , 5 , 0.033117 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.93_1_1.svrp , 814.231 , 798.755 , 1.90066 , 0.191 , 14.819 , 2 , 805.022 , 9.20888 , 9.20888 , 10.832 , 814.231 , 814.231 , 0 , 1070 , 621 , 0.902322 , 0 , 0 , 183 , 3.86188 , 5 , 0.032917 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.93_1_2.svrp , 755.113 , 744.176 , 1.44846 , 0.092 , 8.754 , 2 , 749.933 , 5.17955 , 5.17955 , 5.3304 , 755.113 , 755.113 , 0 , 906 , 404 , 0.676399 , 0 , 0 , 108 , 3.30791 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.93_1_2.svrp , 755.113 , 744.79 , 1.36709 , 0.267 , 19.336 , 2 , 749.933 , 5.17955 , 5.17955 , 5.3304 , 755.113 , 755.113 , 0 , 1112 , 683 , 0.945094 , 0 , 0 , 124 , 3.56282 , 7 , 0.065006 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.93_1_2.svrp , 755.113 , 744.79 , 1.36709 , 0.267 , 19.419 , 2 , 749.933 , 5.17955 , 5.17955 , 5.3304 , 755.113 , 755.113 , 0 , 1112 , 683 , 0.944172 , 0 , 0 , 124 , 3.56342 , 7 , 0.065162 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.93_1_3.svrp , 822.409 , 814.153 , 1.00387 , 0.085 , 10.751 , 2 , 816.886 , 5.52309 , 5.52309 , 5.52309 , 822.409 , 822.409 , 0 , 737 , 548 , 0.66629 , 0 , 0 , 86 , 2.37401 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.93_1_3.svrp , 822.409 , 814.815 , 0.923427 , 0.281 , 14.309 , 2 , 816.886 , 5.52309 , 5.52309 , 5.52309 , 822.409 , 822.409 , 0 , 820 , 606 , 0.778943 , 0 , 0 , 112 , 2.68268 , 13 , 0.043035 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.93_1_3.svrp , 822.409 , 815.282 , 0.866632 , 0.28 , 13.072 , 2 , 816.886 , 5.52309 , 5.52309 , 5.52309 , 822.409 , 822.409 , 0 , 964 , 719 , 0.952154 , 0 , 0 , 94 , 2.76737 , 13 , 0.04263 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.93_1_4.svrp , 771.506 , 765.331 , 0.800327 , 0.12 , 4.198 , 2 , 767.761 , 3.74487 , 3.74487 , 3.78832 , 771.506 , 771.506 , 0 , 482 , 374 , 0.344602 , 0 , 0 , 91 , 1.59289 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.93_1_4.svrp , 771.506 , 766.335 , 0.670192 , 0.497 , 4.598 , 2 , 767.761 , 3.74487 , 3.74487 , 3.78832 , 771.506 , 771.506 , 0 , 528 , 320 , 0.404792 , 0 , 0 , 89 , 1.70778 , 23 , 0.171367 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.93_1_4.svrp , 771.506 , 766.752 , 0.616188 , 0.48 , 4.914 , 2 , 767.761 , 3.74487 , 3.74487 , 3.78832 , 771.506 , 771.506 , 0 , 417 , 375 , 0.390196 , 0 , 0 , 86 , 1.32372 , 23 , 0.166024 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.93_1_5.svrp , 729.639 , 706.18 , 3.21521 , 0.061 , 161.028 , 2 , 724.071 , 5.56783 , 5.56783 , 6.28683 , 729.639 , 729.639 , 0 , 8765 , 2461 , 12.3081 , 0 , 0 , 697 , 26.5233 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.93_1_5.svrp , 729.639 , 707.752 , 2.99969 , 0.366 , 127.19 , 2 , 724.071 , 5.56783 , 5.56783 , 6.28683 , 729.639 , 729.639 , 0 , 8507 , 2044 , 9.82584 , 0 , 0 , 419 , 22.661 , 20 , 0.117851 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.93_1_5.svrp , 729.639 , 707.993 , 2.96665 , 0.343 , 146.153 , 2 , 724.071 , 5.56783 , 5.56783 , 6.28683 , 729.639 , 729.639 , 0 , 8575 , 2173 , 9.3451 , 0 , 0 , 498 , 23.1409 , 20 , 0.110372 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.93_1_6.svrp , 808.89 , 789.986 , 2.33714 , 0.089 , 29.39 , 2 , 802.573 , 6.31746 , 6.31746 , 8.6789 , 808.89 , 808.89 , 0 , 3220 , 840 , 2.39872 , 0 , 0 , 220 , 8.75977 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.93_1_6.svrp , 808.89 , 787.241 , 2.6765 , 0.398 , 60.433 , 2 , 802.573 , 6.31746 , 6.31746 , 8.6789 , 808.89 , 808.89 , 0 , 5436 , 1121 , 4.48323 , 0 , 0 , 354 , 15.6787 , 22 , 0.15485 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.93_1_6.svrp , 808.89 , 788.047 , 2.57681 , 0.372 , 29.491 , 2 , 802.573 , 6.31746 , 6.31746 , 8.6789 , 808.89 , 808.89 , 0 , 3160 , 774 , 2.03431 , 0 , 0 , 220 , 8.92925 , 22 , 0.143468 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.93_1_7.svrp , 734.93 , 728.313 , 0.900337 , 0.131 , 2.573 , 2 , 733.977 , 0.953137 , 0.953137 , 0.953137 , 734.93 , 734.93 , 0 , 281 , 264 , 0.22387 , 0 , 0 , 53 , 1.03817 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.93_1_7.svrp , 734.93 , 730.298 , 0.63027 , 0.319 , 5.273 , 2 , 733.977 , 0.953137 , 0.953137 , 0.953137 , 734.93 , 734.93 , 0 , 490 , 438 , 0.487485 , 0 , 0 , 50 , 1.68264 , 13 , 0.041853 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.93_1_7.svrp , 734.93 , 731.001 , 0.534558 , 0.387 , 4.754 , 2 , 733.977 , 0.953137 , 0.953137 , 0.953137 , 734.93 , 734.93 , 0 , 472 , 361 , 0.432236 , 0 , 0 , 27 , 1.90872 , 13 , 0.050999 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.93_1_8.svrp , 793.864 , 776.469 , 2.19112 , 0.094 , 42.275 , 2 , 788.644 , 5.21939 , 5.21939 , 5.21939 , 793.864 , 793.864 , 0 , 3534 , 1074 , 2.61623 , 0 , 0 , 572 , 12.3081 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.93_1_8.svrp , 793.864 , 776.916 , 2.1349 , 0.181 , 27.778 , 2 , 788.644 , 5.21939 , 5.21939 , 5.21939 , 793.864 , 793.864 , 0 , 2615 , 1000 , 1.953 , 0 , 0 , 288 , 7.49859 , 6 , 0.030634 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.93_1_8.svrp , 793.864 , 776.916 , 2.1349 , 0.19 , 27.774 , 2 , 788.644 , 5.21939 , 5.21939 , 5.21939 , 793.864 , 793.864 , 0 , 2615 , 1000 , 1.95049 , 0 , 0 , 288 , 7.50528 , 6 , 0.030573 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.93_1_9.svrp , 755.289 , 734.598 , 2.7394 , 0.147 , 19.562 , 2 , 749.886 , 5.40218 , 5.40218 , 5.58902 , 755.289 , 755.289 , 0 , 1270 , 715 , 0.951327 , 0 , 0 , 293 , 4.79936 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.93_1_9.svrp , 755.289 , 737.462 , 2.36026 , 0.597 , 29.129 , 2 , 749.886 , 5.40218 , 5.40218 , 5.58902 , 755.289 , 755.289 , 0 , 1530 , 947 , 1.38283 , 0 , 0 , 363 , 5.46339 , 59 , 0.15641 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.93_1_9.svrp , 755.289 , 739.408 , 2.10258 , 0.655 , 12.75 , 2 , 749.886 , 5.40218 , 5.40218 , 5.58902 , 755.289 , 755.289 , 0 , 1327 , 513 , 0.84246 , 0 , 0 , 231 , 4.51094 , 59 , 0.18005 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.95_1_0.svrp , 818.706 , 796.794 , 2.67637 , 0.071 , 294.933 , 2 , 808.167 , 10.5385 , 10.5385 , 16.5561 , 818.706 , 818.706 , 0 , 16781 , 2759 , 20.3733 , 0 , 0 , 2483 , 53.7283 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.95_1_0.svrp , 818.706 , 798.5 , 2.46806 , 0.701 , 300.621 , 2 , 808.167 , 10.5385 , 10.5385 , 16.5561 , 818.706 , 818.706 , 0 , 19181 , 2457 , 19.935 , 0 , 0 , 2394 , 63.4462 , 49 , 0.290956 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.95_1_0.svrp , 818.706 , 799.458 , 2.35097 , 0.694 , 254.21 , 2 , 808.167 , 10.5385 , 10.5385 , 16.5561 , 818.706 , 818.706 , 0 , 16144 , 2017 , 15.8864 , 0 , 0 , 1990 , 53.8264 , 49 , 0.287343 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.95_1_1.svrp , 789.73 , 782.418 , 0.925828 , 0.147 , 5.67 , 2 , 784.874 , 4.85583 , 4.85583 , 4.92722 , 789.73 , 789.73 , 0 , 550 , 439 , 0.382554 , 0 , 0 , 93 , 1.61815 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.95_1_1.svrp , 789.73 , 779.102 , 1.34577 , 0.39 , 5.117 , 2 , 784.874 , 4.85583 , 4.85583 , 4.92722 , 789.73 , 789.73 , 0 , 628 , 328 , 0.352151 , 0 , 0 , 121 , 2.11574 , 15 , 0.114573 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.95_1_1.svrp , 789.73 , 779.725 , 1.26688 , 0.381 , 2.738 , 2 , 784.874 , 4.85583 , 4.85583 , 4.92722 , 789.73 , 789.73 , 0 , 302 , 263 , 0.217558 , 0 , 0 , 70 , 0.843968 , 15 , 0.11501 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.95_1_2.svrp , 770.728 , 758.737 , 1.55584 , 0.045 , 27.403 , 2 , 756.308 , 14.4206 , 14.4206 , 14.91 , 770.728 , 770.728 , 0 , 6051 , 474 , 1.75294 , 0 , 0 , 356 , 15.889 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.95_1_2.svrp , 770.728 , 757.776 , 1.68057 , 0.247 , 23.709 , 2 , 756.308 , 14.4206 , 14.4206 , 14.91 , 770.728 , 770.728 , 0 , 5797 , 426 , 1.26993 , 0 , 0 , 348 , 14.143 , 32 , 0.074154 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.95_1_2.svrp , 770.728 , 757.835 , 1.67282 , 0.294 , 18.219 , 2 , 756.308 , 14.4206 , 14.4206 , 14.91 , 770.728 , 770.728 , 0 , 4348 , 428 , 1.06689 , 0 , 0 , 290 , 10.7137 , 32 , 0.09358 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.95_1_3.svrp , 770.838 , 761.166 , 1.25476 , 0.096 , 7.05 , 2 , 758.047 , 12.7915 , 12.7915 , 13.6756 , 770.838 , 770.838 , 0 , 1315 , 401 , 0.426916 , 0 , 0 , 114 , 3.31899 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.95_1_3.svrp , 770.838 , 761.601 , 1.19831 , 0.604 , 8.66 , 2 , 758.047 , 12.7915 , 12.7915 , 13.6756 , 770.838 , 770.838 , 0 , 797 , 477 , 0.544946 , 0 , 0 , 72 , 2.5889 , 50 , 0.201625 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.95_1_3.svrp , 770.838 , 762.227 , 1.11718 , 0.651 , 13.938 , 2 , 758.047 , 12.7915 , 12.7915 , 13.6756 , 770.838 , 770.838 , 0 , 766 , 576 , 0.565967 , 0 , 0 , 74 , 2.34178 , 50 , 0.210935 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.95_1_4.svrp , 809.52 , 786.98 , 2.78433 , 0.104 , 38.118 , 2 , 798.644 , 10.8761 , 10.8761 , 10.9411 , 809.52 , 809.52 , 0 , 4257 , 848 , 2.63352 , 0 , 0 , 235 , 11.2113 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.95_1_4.svrp , 809.52 , 786.791 , 2.80769 , 0.156 , 109.108 , 2 , 798.644 , 10.8761 , 10.8761 , 10.9411 , 809.52 , 809.52 , 0 , 6853 , 1702 , 6.43645 , 0 , 0 , 502 , 21.0238 , 1 , 0.017148 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.95_1_4.svrp , 809.52 , 786.791 , 2.80769 , 0.154 , 108.755 , 2 , 798.644 , 10.8761 , 10.8761 , 10.9411 , 809.52 , 809.52 , 0 , 6853 , 1702 , 6.4266 , 0 , 0 , 502 , 20.9765 , 1 , 0.017374 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.95_1_5.svrp , 750.666 , 727.066 , 3.14387 , 0.217 , 215.008 , 2 , 738.992 , 11.6744 , 11.6744 , 17.2503 , 750.666 , 750.666 , 0 , 24194 , 1797 , 15.2022 , 0 , 0 , 1842 , 70.0894 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.95_1_5.svrp , 750.666 , 729.308 , 2.8452 , 1.194 , 185.868 , 2 , 738.992 , 11.6744 , 11.6744 , 17.2503 , 750.666 , 750.666 , 0 , 21351 , 1598 , 13.0021 , 0 , 0 , 1464 , 65.3108 , 110 , 0.473628 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.95_1_5.svrp , 750.666 , 730.38 , 2.70245 , 1.25 , 237.697 , 2 , 738.992 , 11.6744 , 11.6744 , 17.2503 , 750.666 , 750.666 , 0 , 18310 , 1847 , 14.269 , 0 , 0 , 1427 , 57.7682 , 110 , 0.471252 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.95_1_6.svrp , 758.357 , 742.864 , 2.04293 , 0.087 , 92.591 , 2 , 751.024 , 7.33229 , 7.33229 , 8.28298 , 758.357 , 758.357 , 0 , 9789 , 1116 , 5.69528 , 0 , 0 , 813 , 28.857 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.95_1_6.svrp , 758.357 , 743.407 , 1.97129 , 0.207 , 100.513 , 2 , 751.024 , 7.33229 , 7.33229 , 8.28298 , 758.357 , 758.357 , 0 , 7839 , 1256 , 4.84349 , 0 , 0 , 997 , 25.4406 , 4 , 0.040376 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.95_1_6.svrp , 758.357 , 743.407 , 1.97129 , 0.207 , 100.117 , 2 , 751.024 , 7.33229 , 7.33229 , 8.28298 , 758.357 , 758.357 , 0 , 7839 , 1256 , 4.83445 , 0 , 0 , 997 , 25.4868 , 4 , 0.040474 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.95_1_7.svrp , 748.179 , 723.442 , 3.30633 , 0.039 , 545.043 , 2 , 739.468 , 8.71077 , 8.71077 , 12.8735 , 748.179 , 748.179 , 0 , 20690 , 5590 , 46.659 , 0 , 0 , 1978 , 57.0985 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.95_1_7.svrp , 748.179 , 726.052 , 2.95748 , 0.886 , 193.581 , 2 , 739.468 , 8.71077 , 8.71077 , 12.8735 , 748.179 , 748.179 , 0 , 12052 , 3329 , 18.7779 , 0 , 0 , 1088 , 32.0484 , 60 , 0.373211 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.95_1_7.svrp , 748.179 , 726.664 , 2.8756 , 0.879 , 434.591 , 2 , 739.468 , 8.71077 , 8.71077 , 12.8735 , 748.179 , 748.179 , 0 , 15349 , 4464 , 32.4498 , 0 , 0 , 1694 , 44.7935 , 60 , 0.374938 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.95_1_8.svrp , 799.027 , 784.715 , 1.7911 , 0.074 , 35.76 , 2 , 794.358 , 4.66896 , 4.66896 , 4.88438 , 799.027 , 799.027 , 0 , 3137 , 1160 , 2.83839 , 0 , 0 , 378 , 10.4791 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.95_1_8.svrp , 799.027 , 785.852 , 1.64879 , 0.231 , 49.567 , 2 , 794.358 , 4.66896 , 4.66896 , 4.88438 , 799.027 , 799.027 , 0 , 2999 , 1271 , 2.7003 , 0 , 0 , 503 , 10.9195 , 9 , 0.053672 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.95_1_8.svrp , 799.027 , 785.925 , 1.63969 , 0.24 , 31.491 , 2 , 794.358 , 4.66896 , 4.66896 , 4.88438 , 799.027 , 799.027 , 0 , 1862 , 1187 , 1.59773 , 0 , 0 , 284 , 6.11059 , 9 , 0.053345 , 0 , 0 , 1
Parada , ./data/Jabali/k2/80_2_0.95_1_9.svrp , 738.373 , 724.055 , 1.9392 , 0.159 , 115.023 , 2 , 730.526 , 7.84756 , 7.84756 , 9.34148 , 738.373 , 738.373 , 0 , 8832 , 1852 , 7.69647 , 0 , 0 , 938 , 24.5468 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/80_2_0.95_1_9.svrp , 738.373 , 724.135 , 1.92836 , 0.776 , 130.991 , 2 , 730.526 , 7.84756 , 7.84756 , 9.34148 , 738.373 , 738.373 , 0 , 9357 , 1769 , 7.24308 , 0 , 0 , 999 , 25.6004 , 42 , 0.33019 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/80_2_0.95_1_9.svrp , 738.373 , 724.25 , 1.91281 , 0.772 , 93.514 , 2 , 730.526 , 7.84756 , 7.84756 , 9.34148 , 738.373 , 738.373 , 0 , 9188 , 1443 , 5.19309 , 0 , 0 , 935 , 24.0208 , 42 , 0.331031 , 0 , 0 , 1
Parada , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 670.935 , 644.873 , 3.88434 , 0.064 , 21.52 , 3 , 660.558 , 10.3765 , 10.3765 , 10.3765 , 670.935 , 670.935 , 0 , 2151 , 1092 , 2.35661 , 0 , 0 , 265 , 0.997368 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 670.935 , 648.544 , 3.33728 , 0.627 , 4.188 , 3 , 660.558 , 10.3765 , 10.3765 , 10.3765 , 670.935 , 670.935 , 0 , 711 , 502 , 0.45206 , 0 , 0 , 79 , 0.224981 , 124 , 0.084388 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 670.935 , 650.758 , 3.00721 , 0.635 , 4.261 , 3 , 660.558 , 10.3765 , 10.3765 , 10.3765 , 670.935 , 670.935 , 0 , 759 , 500 , 0.530796 , 0 , 0 , 65 , 0.265645 , 124 , 0.084313 , 0 , 0 , 1
Parada , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 658.477 , 645.7 , 1.94043 , 0.057 , 2.531 , 3 , 650.975 , 7.50202 , 7.50202 , 7.50202 , 658.477 , 658.477 , 0 , 832 , 379 , 0.389695 , 0 , 0 , 108 , 0.281675 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 658.477 , 648.614 , 1.49792 , 0.375 , 2.647 , 3 , 650.975 , 7.50202 , 7.50202 , 7.50202 , 658.477 , 658.477 , 0 , 625 , 411 , 0.385248 , 0 , 0 , 114 , 0.287626 , 80 , 0.093799 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 658.477 , 649.344 , 1.38706 , 0.412 , 9.387 , 3 , 650.975 , 7.50202 , 7.50202 , 7.50202 , 658.477 , 658.477 , 0 , 1329 , 645 , 0.958476 , 0 , 0 , 181 , 0.544138 , 80 , 0.094859 , 0 , 0 , 1
Parada , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 659.133 , 641.505 , 2.67444 , 0.031 , 5.505 , 3 , 655.082 , 4.05095 , 4.05095 , 4.78704 , 659.133 , 659.133 , 0 , 944 , 487 , 0.442265 , 0 , 0 , 226 , 0.732054 , 0 , 0 , 0 , 0 , 1
