Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Root Time (s) , Time (s) , Solved
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-1.svrp , 3 , 445 , 445 , 0 , 0 , 445 , 445 , 0 , 445 , 0 , 0 , 12 , 0 , 0 , 0 , 0.001 , 0.022 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-1.svrp , 3 , 445 , 445 , 0 , 0 , 445 , 445 , 0 , 445 , 0 , 0 , 12 , 0 , 0 , 0 , 0.001 , 0.023 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-1.svrp , 3 , 445 , 445 , 0 , 0 , 445 , 445 , 0 , 445 , 0 , 0 , 12 , 0 , 0 , 0 , 0.01 , 0.04 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-1.svrp , 3 , 445 , 445 , 0 , 0 , 445 , 445 , 0 , 445 , 0 , 0 , 12 , 0 , 0 , 0 , 0.01 , 0.04 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-2.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 469.8 , 0.254777 , 1 , 25 , 0 , 9 , 0 , 0.028 , 0.077 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-2.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 467 , 0.849257 , 7 , 28 , 4 , 0 , 0 , 0.005 , 0.052 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-2.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 467 , 0.849257 , 1 , 28 , 0 , 0 , 27 , 0.007 , 0.058 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-2.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 467.8 , 0.679406 , 1 , 30 , 0 , 2 , 0 , 0.007 , 0.086 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB0-UB20-Low-scen200-2.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 467.8 , 0.679406 , 1 , 30 , 0 , 2 , 15 , 0.009 , 0.091 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-3.svrp , 4 , 656.3 , 650 , 6.3 , 6.3 , 656.3 , 656.3 , 0 , 646.225 , 1.53512 , 30 , 123 , 5 , 267 , 0 , 0.081 , 0.283 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-3.svrp , 4 , 656.3 , 650 , 6.3 , 6.3 , 656.3 , 656.3 , 0 , 640.67 , 2.38153 , 449 , 240 , 51 , 0 , 0 , 0.009 , 0.361 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-3.svrp , 4 , 656.3 , 650 , 6.3 , 6.3 , 656.3 , 656.3 , 0 , 641.67 , 2.22916 , 102 , 158 , 0 , 0 , 300 , 0.015 , 0.233 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-3.svrp , 4 , 656.3 , 650 , 6.3 , 6.3 , 656.3 , 656.3 , 0 , 647.24 , 1.38047 , 79 , 131 , 3 , 6 , 0 , 0.014 , 0.145 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-3.svrp , 4 , 656.3 , 650 , 6.3 , 6.3 , 656.3 , 656.3 , 0 , 645.47 , 1.65016 , 78 , 157 , 0 , 16 , 251 , 0.016 , 0.242 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-4.svrp , 4 , 661.34 , 650 , 11.34 , 11.34 , 661.34 , 661.34 , 0 , 647.838 , 2.04167 , 96 , 174 , 5 , 611 , 0 , 0.073 , 0.519 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-4.svrp , 4 , 661.34 , 650 , 11.34 , 11.34 , 661.34 , 661.34 , 0 , 640.67 , 3.12547 , 744 , 294 , 101 , 0 , 0 , 0.009 , 0.646 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-4.svrp , 4 , 661.34 , 650 , 11.34 , 11.34 , 661.34 , 661.34 , 0 , 641.67 , 2.97426 , 191 , 181 , 0 , 0 , 586 , 0.015 , 0.329 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-4.svrp , 4 , 661.34 , 650 , 11.34 , 11.34 , 661.34 , 661.34 , 0 , 653.07 , 1.25049 , 25 , 136 , 0 , 20 , 0 , 0.02 , 0.11 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-High-scen200-4.svrp , 4 , 661.34 , 650 , 11.34 , 11.34 , 661.34 , 661.34 , 0 , 653.07 , 1.25049 , 25 , 136 , 0 , 20 , 63 , 0.022 , 0.124 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-1.svrp , 4 , 534.46 , 534 , 0.46 , 0.46 , 534.46 , 534.46 , 0 , 534.46 , 0 , 1 , 54 , 0 , 117 , 0 , 0.07 , 0.116 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-1.svrp , 4 , 534.46 , 534 , 0.46 , 0.46 , 534.46 , 534.46 , 0 , 533 , 0.273173 , 3 , 68 , 1 , 0 , 0 , 0.009 , 0.084 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-1.svrp , 4 , 534.46 , 534 , 0.46 , 0.46 , 534.46 , 534.46 , 0 , 533 , 0.273173 , 4 , 68 , 0 , 0 , 13 , 0.01 , 0.094 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-1.svrp , 4 , 534.46 , 534 , 0.46 , 0.46 , 534.46 , 534.46 , 0 , 534.37 , 0.0168394 , 1 , 64 , 1 , 5 , 0 , 0.023 , 0.066 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-1.svrp , 4 , 534.46 , 534 , 0.46 , 0.46 , 534.46 , 534.46 , 0 , 534.37 , 0.0168394 , 1 , 64 , 0 , 5 , 3 , 0.024 , 0.07 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-2.svrp , 4 , 652.52 , 650 , 2.52 , 2.52 , 652.52 , 652.52 , 0 , 645.05 , 1.14479 , 23 , 91 , 3 , 75 , 0 , 0.063 , 0.231 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-2.svrp , 4 , 652.52 , 650 , 2.52 , 2.52 , 652.52 , 652.52 , 0 , 640.75 , 1.80378 , 161 , 156 , 28 , 0 , 0 , 0.009 , 0.199 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-2.svrp , 4 , 652.52 , 650 , 2.52 , 2.52 , 652.52 , 652.52 , 0 , 641.67 , 1.66278 , 47 , 128 , 0 , 0 , 160 , 0.015 , 0.195 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-2.svrp , 4 , 652.52 , 650 , 2.52 , 2.52 , 652.52 , 652.52 , 0 , 645.05 , 1.14479 , 47 , 135 , 5 , 5 , 0 , 0.028 , 0.2 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB10-UB35-Low-scen200-2.svrp , 4 , 652.52 , 650 , 2.52 , 2.52 , 652.52 , 652.52 , 0 , 645.05 , 1.14479 , 24 , 133 , 0 , 5 , 42 , 0.03 , 0.17 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-11.svrp , 4 , 621.52 , 619 , 2.52 , 2.52 , 621.52 , 621.52 , 0 , 617 , 0.727249 , 5 , 57 , 0 , 321 , 0 , 0.083 , 0.227 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-11.svrp , 4 , 621.52 , 619 , 2.52 , 2.52 , 621.52 , 621.52 , 0 , 608 , 2.17531 , 52 , 107 , 11 , 0 , 0 , 0.007 , 0.085 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-11.svrp , 4 , 621.52 , 619 , 2.52 , 2.52 , 621.52 , 621.52 , 0 , 608 , 2.17531 , 48 , 101 , 0 , 0 , 169 , 0.009 , 0.116 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-11.svrp , 4 , 621.52 , 619 , 2.52 , 2.52 , 621.52 , 621.52 , 0 , 621.31 , 0.0337881 , 1 , 60 , 0 , 12 , 0 , 0.017 , 0.121 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-11.svrp , 4 , 621.52 , 619 , 2.52 , 2.52 , 621.52 , 621.52 , 0 , 621.31 , 0.0337881 , 1 , 60 , 0 , 12 , 40 , 0.018 , 0.137 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-12.svrp , 4 , 621.69 , 619 , 2.69 , 2.69 , 621.69 , 621.69 , 0 , 615.115 , 1.0576 , 28 , 75 , 4 , 699 , 0 , 0.084 , 0.367 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-12.svrp , 4 , 621.69 , 619 , 2.69 , 2.69 , 621.69 , 621.69 , 0 , 608 , 2.20206 , 83 , 117 , 10 , 0 , 0 , 0.007 , 0.115 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-12.svrp , 4 , 621.69 , 619 , 2.69 , 2.69 , 621.69 , 621.69 , 0 , 608 , 2.20206 , 75 , 113 , 0 , 0 , 179 , 0.008 , 0.147 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-12.svrp , 4 , 621.69 , 619 , 2.69 , 2.69 , 621.69 , 621.69 , 0 , 614.97 , 1.08092 , 33 , 87 , 4 , 14 , 0 , 0.018 , 0.121 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-12.svrp , 4 , 621.69 , 619 , 2.69 , 2.69 , 621.69 , 621.69 , 0 , 614.97 , 1.08092 , 15 , 86 , 0 , 12 , 72 , 0.022 , 0.125 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-15.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 618.254 , 0.387692 , 5 , 59 , 1 , 322 , 0 , 0.096 , 0.252 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-15.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 608 , 2.03976 , 125 , 104 , 5 , 0 , 0 , 0.006 , 0.127 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-15.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 608 , 2.03976 , 47 , 106 , 0 , 0 , 149 , 0.009 , 0.127 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-15.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 620.56 , 0.0161119 , 1 , 63 , 2 , 11 , 0 , 0.013 , 0.137 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-15.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 616.93 , 0.600973 , 6 , 73 , 0 , 11 , 26 , 0.015 , 0.145 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-16.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 615.925 , 0.762898 , 8 , 58 , 2 , 251 , 0 , 0.075 , 0.207 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-16.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 608 , 2.03976 , 95 , 101 , 7 , 0 , 0 , 0.007 , 0.117 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-16.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 608 , 2.03976 , 45 , 91 , 0 , 0 , 155 , 0.009 , 0.126 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-16.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 615.48 , 0.834595 , 205 , 66 , 2 , 10 , 0 , 0.017 , 1.324 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-16.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 615.48 , 0.834595 , 12 , 65 , 0 , 10 , 25 , 0.018 , 0.127 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-19.svrp , 4 , 621.29 , 619 , 2.29 , 2.29 , 621.29 , 621.29 , 0 , 617.678 , 0.581361 , 8 , 57 , 1 , 465 , 0 , 0.089 , 0.284 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-19.svrp , 4 , 621.29 , 619 , 2.29 , 2.29 , 621.29 , 621.29 , 0 , 608 , 2.1391 , 50 , 107 , 11 , 0 , 0 , 0.006 , 0.082 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-19.svrp , 4 , 621.29 , 619 , 2.29 , 2.29 , 621.29 , 621.29 , 0 , 608 , 2.1391 , 52 , 97 , 0 , 0 , 165 , 0.009 , 0.121 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-19.svrp , 4 , 621.29 , 619 , 2.29 , 2.29 , 621.29 , 621.29 , 0 , 621.29 , 0 , 1 , 65 , 1 , 12 , 0 , 0.018 , 0.1 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-19.svrp , 4 , 621.29 , 619 , 2.29 , 2.29 , 621.29 , 621.29 , 0 , 619.89 , 0.225338 , 1 , 66 , 0 , 12 , 19 , 0.02 , 0.103 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-20.svrp , 4 , 623.18 , 619 , 4.18 , 4.18 , 623.18 , 623.18 , 0 , 618.326 , 0.778959 , 22 , 70 , 3 , 508 , 0 , 0.106 , 0.352 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-20.svrp , 4 , 623.18 , 619 , 4.18 , 4.18 , 623.18 , 623.18 , 0 , 608 , 2.43589 , 113 , 134 , 23 , 0 , 0 , 0.006 , 0.127 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-20.svrp , 4 , 623.18 , 619 , 4.18 , 4.18 , 623.18 , 623.18 , 0 , 608 , 2.43589 , 100 , 121 , 0 , 0 , 238 , 0.009 , 0.175 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-20.svrp , 4 , 623.18 , 619 , 4.18 , 4.18 , 623.18 , 623.18 , 0 , 623.18 , 1.8243e-14 , 1 , 64 , 1 , 13 , 0 , 0.016 , 0.079 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-20.svrp , 4 , 623.18 , 619 , 4.18 , 4.18 , 623.18 , 623.18 , 0 , 621.82 , 0.218236 , 1 , 64 , 0 , 11 , 19 , 0.018 , 0.089 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-3.svrp , 4 , 624.04 , 619 , 5.04 , 5.04 , 624.04 , 624.04 , 0 , 618.5 , 0.887764 , 5 , 57 , 0 , 512 , 0 , 0.101 , 0.237 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-3.svrp , 4 , 624.04 , 619 , 5.04 , 5.04 , 624.04 , 624.04 , 0 , 608 , 2.57035 , 142 , 145 , 33 , 0 , 0 , 0.006 , 0.155 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-3.svrp , 4 , 624.04 , 619 , 5.04 , 5.04 , 624.04 , 624.04 , 0 , 608 , 2.57035 , 125 , 135 , 0 , 0 , 272 , 0.009 , 0.195 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-3.svrp , 4 , 624.04 , 619 , 5.04 , 5.04 , 624.04 , 624.04 , 0 , 617 , 1.12813 , 10 , 75 , 0 , 11 , 0 , 0.016 , 0.098 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-3.svrp , 4 , 624.04 , 619 , 5.04 , 5.04 , 624.04 , 624.04 , 0 , 616.97 , 1.13294 , 11 , 77 , 0 , 11 , 31 , 0.018 , 0.096 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-4.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 616.24 , 0.712145 , 10 , 67 , 1 , 322 , 0 , 0.09 , 0.22 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-4.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 608 , 2.03976 , 95 , 101 , 7 , 0 , 0 , 0.006 , 0.116 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-4.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 608 , 2.03976 , 45 , 89 , 0 , 0 , 155 , 0.009 , 0.113 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-4.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 615.49 , 0.832984 , 6 , 72 , 0 , 8 , 0 , 0.021 , 0.088 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-4.svrp , 4 , 620.66 , 619 , 1.66 , 1.66 , 620.66 , 620.66 , 0 , 615.49 , 0.832984 , 6 , 71 , 0 , 8 , 51 , 0.023 , 0.1 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-7.svrp , 4 , 624.21 , 619 , 5.21 , 5.21 , 624.21 , 624.21 , 0 , 618.9 , 0.850675 , 6 , 58 , 0 , 376 , 0 , 0.109 , 0.241 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-7.svrp , 4 , 624.21 , 619 , 5.21 , 5.21 , 624.21 , 624.21 , 0 , 608 , 2.59688 , 138 , 152 , 36 , 0 , 0 , 0.007 , 0.148 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-7.svrp , 4 , 624.21 , 619 , 5.21 , 5.21 , 624.21 , 624.21 , 0 , 608 , 2.59688 , 128 , 133 , 0 , 0 , 283 , 0.008 , 0.206 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-7.svrp , 4 , 624.21 , 619 , 5.21 , 5.21 , 624.21 , 624.21 , 0 , 617.31 , 1.1054 , 28 , 93 , 0 , 16 , 0 , 0.018 , 0.163 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-7.svrp , 4 , 624.21 , 619 , 5.21 , 5.21 , 624.21 , 624.21 , 0 , 617.31 , 1.1054 , 32 , 93 , 0 , 18 , 69 , 0.019 , 0.17 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-8.svrp , 4 , 621.69 , 619 , 2.69 , 2.69 , 621.69 , 621.69 , 0 , 617.7 , 0.641799 , 18 , 59 , 1 , 693 , 0 , 0.075 , 0.282 , 1 , 
VRP-Gendreau-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-8.svrp , 4 , 621.69 , 619 , 2.69 , 2.69 , 621.69 , 621.69 , 0 , 608 , 2.20206 , 55 , 110 , 11 , 0 , 0 , 0.007 , 0.089 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/Correlated-Instances/Correlated-n16-LB5-UB33-High-scen200-8.svrp , 4 , 621.69 , 619 , 2.69 , 2.69 , 621.69 , 621.69 , 0 , 608 , 2.20206 , 73 , 98 , 0 , 0 , 158 , 0.009 , 0.135 , 1 , 
