Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Root Time (s) , Time (s) , Solved
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-7.svrp , 3 , 539.84 , 487 , 52.84 , 52.84 , 539.84 , 523.34 , 3.05646 , 480.5 , 10.9921 , 74829 , 1220 , 32712 , 0 , 0 , 0.005 , 1800.07 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-7.svrp , 3 , 539.84 , 487 , 52.84 , 52.84 , 539.84 , 539.84 , 0 , 480.5 , 10.9921 , 13065 , 812 , 0 , 0 , 22592 , 0.007 , 19.944 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-7.svrp , 3 , 539.84 , 487 , 52.84 , 52.84 , 539.84 , 539.84 , 0 , 486.21 , 9.93443 , 6687 , 283 , 1457 , 94 , 0 , 0.009 , 12.985 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-7.svrp , 3 , 539.84 , 487 , 52.84 , 52.84 , 539.84 , 539.84 , 0 , 486.21 , 9.93443 , 1743 , 271 , 0 , 100 , 2211 , 0.011 , 3.482 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-8.svrp , 3 , 576.88 , 518 , 58.88 , 58.88 , 576.88 , 561.77 , 2.61926 , 524.711 , 9.04326 , 40024 , 1136 , 7629 , 8297 , 0 , 0.073 , 1800.06 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-8.svrp , 3 , 576.88 , 518 , 58.88 , 58.88 , 576.88 , 536 , 7.0864 , 504.6 , 12.5295 , 66993 , 1786 , 34253 , 0 , 0 , 0.013 , 1800.13 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-8.svrp , 3 , 576.88 , 518 , 58.88 , 58.88 , 576.88 , 564.47 , 2.15123 , 505.23 , 12.4203 , 256838 , 2936 , 0 , 0 , 813965 , 0.014 , 1800.1 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-8.svrp , 3 , 576.88 , 518 , 58.88 , 58.88 , 576.88 , 576.88 , 0 , 526.29 , 8.76959 , 19887 , 788 , 3309 , 579 , 0 , 0.02 , 57.796 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-8.svrp , 3 , 576.88 , 518 , 58.88 , 58.88 , 576.88 , 576.88 , 0 , 526.29 , 8.76959 , 12415 , 762 , 0 , 429 , 29456 , 0.019 , 27.626 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-9.svrp , 3 , 615.6 , 541 , 74.6 , 74.6 , 615.6 , 615.6 , 0 , 574.803 , 6.62718 , 1573 , 169 , 333 , 556 , 0 , 0.24 , 14.073 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-9.svrp , 3 , 615.6 , 541 , 74.6 , 74.6 , 615.6 , 615.6 , 0 , 541 , 12.1183 , 44370 , 757 , 17129 , 0 , 0 , 0.005 , 480.574 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-9.svrp , 3 , 615.6 , 541 , 74.6 , 74.6 , 615.6 , 615.6 , 0 , 541 , 12.1183 , 7808 , 506 , 0 , 0 , 15676 , 0.006 , 10.649 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-9.svrp , 3 , 615.6 , 541 , 74.6 , 74.6 , 615.6 , 615.6 , 0 , 577.25 , 6.22969 , 852 , 128 , 127 , 116 , 0 , 0.025 , 1.621 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.05-9.svrp , 3 , 615.6 , 541 , 74.6 , 74.6 , 615.6 , 615.6 , 0 , 577.25 , 6.22969 , 689 , 113 , 0 , 112 , 696 , 0.026 , 1.873 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-11.svrp , 7 , 637.65 , 554 , 83.65 , 83.65 , 637.65 , 637.65 , 0 , 600.366 , 5.84709 , 1574 , 155 , 227 , 5565 , 0 , 0.246 , 16.491 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-11.svrp , 7 , 637.65 , 554 , 83.65 , 83.65 , 637.65 , 595 , 6.68862 , 531.5 , 16.6471 , 43084 , 703 , 43578 , 0 , 0 , 0.003 , 1800.07 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-11.svrp , 7 , 637.65 , 554 , 83.65 , 83.65 , 637.65 , 637.65 , 0 , 532.17 , 16.542 , 12891 , 649 , 0 , 0 , 39667 , 0.005 , 17.832 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-11.svrp , 7 , 637.65 , 554 , 83.65 , 83.65 , 637.65 , 637.65 , 0 , 574.84 , 9.85023 , 7054 , 252 , 1615 , 270 , 0 , 0.021 , 11.692 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-11.svrp , 7 , 637.65 , 554 , 83.65 , 83.65 , 637.65 , 637.65 , 0 , 574.84 , 9.85023 , 3549 , 257 , 0 , 236 , 8869 , 0.022 , 7.834 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-12.svrp , 7 , 793.94 , 700 , 93.94 , 93.94 , 793.94 , 793.94 , 0 , 755.741 , 4.81127 , 909 , 138 , 146 , 3808 , 0 , 0.056 , 6.244 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-12.svrp , 7 , 793.94 , 700 , 93.94 , 93.94 , 793.94 , 793.94 , 0 , 701.67 , 11.6218 , 33913 , 683 , 21762 , 0 , 0 , 0.002 , 497.376 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-12.svrp , 7 , 793.94 , 700 , 93.94 , 93.94 , 793.94 , 793.94 , 0 , 709.34 , 10.6557 , 5140 , 467 , 0 , 0 , 11361 , 0.005 , 5.8 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-12.svrp , 7 , 793.94 , 700 , 93.94 , 93.94 , 793.94 , 793.94 , 0 , 741.43 , 6.61385 , 2347 , 220 , 368 , 179 , 0 , 0.011 , 2.679 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-12.svrp , 7 , 793.94 , 700 , 93.94 , 93.94 , 793.94 , 793.94 , 0 , 744.41 , 6.23851 , 2280 , 232 , 0 , 162 , 6193 , 0.02 , 3.75 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-13.svrp , 7 , 571.46 , 519 , 52.46 , 52.46 , 571.46 , 571.46 , 0 , 540.119 , 5.4843 , 2377 , 150 , 672 , 5698 , 0 , 0.072 , 26.467 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-13.svrp , 7 , 571.46 , 519 , 52.46 , 52.46 , 571.46 , 571.46 , 0 , 509 , 10.9299 , 36548 , 667 , 28958 , 0 , 0 , 0.004 , 846.982 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-13.svrp , 7 , 571.46 , 519 , 52.46 , 52.46 , 571.46 , 571.46 , 0 , 509 , 10.9299 , 6411 , 471 , 0 , 0 , 20083 , 0.008 , 8.102 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-13.svrp , 7 , 571.46 , 519 , 52.46 , 52.46 , 571.46 , 571.46 , 0 , 521.92 , 8.66902 , 6223 , 274 , 1325 , 251 , 0 , 0.016 , 9.116 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-13.svrp , 7 , 571.46 , 519 , 52.46 , 52.46 , 571.46 , 571.46 , 0 , 521.92 , 8.66902 , 2704 , 233 , 0 , 173 , 6608 , 0.013 , 4.338 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-14.svrp , 7 , 716.27 , 606 , 110.27 , 110.27 , 716.27 , 716.27 , 0 , 672.334 , 6.13402 , 1040 , 130 , 215 , 2865 , 0 , 0.075 , 4.798 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-14.svrp , 7 , 716.27 , 606 , 110.27 , 110.27 , 716.27 , 716.27 , 0 , 605.5 , 15.4648 , 29026 , 563 , 26072 , 0 , 0 , 0.004 , 621.901 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-14.svrp , 7 , 716.27 , 606 , 110.27 , 110.27 , 716.27 , 716.27 , 0 , 613.117 , 14.4015 , 5873 , 462 , 0 , 0 , 19004 , 0.011 , 7.383 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-14.svrp , 7 , 716.27 , 606 , 110.27 , 110.27 , 716.27 , 716.27 , 0 , 642.402 , 10.3129 , 2461 , 217 , 316 , 123 , 0 , 0.01 , 2.421 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-14.svrp , 7 , 716.27 , 606 , 110.27 , 110.27 , 716.27 , 716.27 , 0 , 642.56 , 10.2908 , 2555 , 229 , 0 , 122 , 8516 , 0.012 , 3.88 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-15.svrp , 7 , 891.8 , 787 , 104.8 , 104.8 , 891.8 , 891.8 , 0 , 831.068 , 6.81005 , 6167 , 348 , 732 , 17578 , 0 , 0.096 , 170.64 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-15.svrp , 7 , 891.8 , 787 , 104.8 , 104.8 , 891.8 , 830.67 , 6.85468 , 779.75 , 12.5645 , 49667 , 1107 , 41447 , 0 , 0 , 0.005 , 1800.08 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-15.svrp , 7 , 891.8 , 787 , 104.8 , 104.8 , 891.8 , 891.8 , 0 , 781.17 , 12.4052 , 38466 , 1135 , 0 , 0 , 117733 , 0.009 , 70.931 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-15.svrp , 7 , 891.8 , 787 , 104.8 , 104.8 , 891.8 , 891.8 , 0 , 802.98 , 9.95963 , 19063 , 701 , 537 , 733 , 0 , 0.009 , 35.5 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-15.svrp , 7 , 891.8 , 787 , 104.8 , 104.8 , 891.8 , 891.8 , 0 , 802.98 , 9.95963 , 15524 , 664 , 0 , 626 , 70097 , 0.01 , 39.806 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-16.svrp , 7 , 772.18 , 673 , 99.18 , 99.18 , 772.18 , 772.18 , 0 , 712.065 , 7.78505 , 3165 , 311 , 460 , 9637 , 0 , 0.073 , 40.433 , 1 , 
VRP-Gendreau-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-16.svrp , 7 , 772.18 , 673 , 99.18 , 99.18 , 772.18 , 719 , 6.887 , 660 , 14.5277 , 40403 , 846 , 43453 , 0 , 0 , 0.005 , 1800.1 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-16.svrp , 7 , 772.18 , 673 , 99.18 , 99.18 , 772.18 , 772.18 , 0 , 663.18 , 14.1159 , 13672 , 747 , 0 , 0 , 45443 , 0.006 , 22.326 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/HFI-Instances/TO_RUN/HFI-n15-LB10-UB20-V5-scen200-B0.2-16.svrp , 7 , 772.18 , 673 , 99.18 , 99.18 , 772.18 , 772.18 , 0 , 695.89 , 9.87982 , 10816 , 555 , 1008 , 454 , 0 , 0.016 , 16.138 , 1 , 
