Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Root Time (s) , Time (s) , Solved
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-1.svrp , 3 , 355 , 355 , 0 , 0 , 355 , 355 , 0 , 350.74 , 1.2 , 3 , 28 , 1 , 194 , 0 , 0.043 , 0.26 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-1.svrp , 3 , 355 , 355 , 0 , 0 , 355 , 355 , 0 , 352.5 , 0.704225 , 1 , 33 , 4 , 0 , 0 , 0.006 , 0.046 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-1.svrp , 3 , 355 , 355 , 0 , 0 , 355 , 355 , 0 , 352.5 , 0.704225 , 1 , 33 , 0 , 0 , 29 , 0.007 , 0.063 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-1.svrp , 3 , 355 , 355 , 0 , 0 , 355 , 355 , 0 , 350.74 , 1.2 , 1 , 30 , 0 , 6 , 0 , 0.014 , 0.122 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-1.svrp , 3 , 355 , 355 , 0 , 0 , 355 , 355 , 0 , 350.74 , 1.2 , 1 , 30 , 0 , 6 , 14 , 0.016 , 0.137 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-10.svrp , 3 , 379 , 379 , 0 , 0 , 379 , 379 , 0 , 379 , 0 , 1 , 6 , 0 , 78 , 0 , 0.025 , 0.093 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-10.svrp , 3 , 379 , 379 , 0 , 0 , 379 , 379 , 0 , 379 , 0 , 1 , 5 , 1 , 0 , 0 , 0.001 , 0.023 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-10.svrp , 3 , 379 , 379 , 0 , 0 , 379 , 379 , 0 , 379 , 0 , 1 , 5 , 0 , 0 , 2 , 0.002 , 0.025 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-10.svrp , 3 , 379 , 379 , 0 , 0 , 379 , 379 , 0 , 379 , 0 , 1 , 3 , 0 , 1 , 0 , 0.011 , 0.051 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-10.svrp , 3 , 379 , 379 , 0 , 0 , 379 , 379 , 0 , 379 , 0 , 1 , 3 , 0 , 1 , 0 , 0.01 , 0.048 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-2.svrp , 3 , 500 , 500 , 0 , 0 , 500 , 500 , 0 , 500 , 0 , 0 , 13 , 0 , 0 , 0 , 0.022 , 0.052 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-2.svrp , 3 , 500 , 500 , 0 , 0 , 500 , 500 , 0 , 500 , 0 , 0 , 18 , 0 , 0 , 0 , 0.003 , 0.028 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-2.svrp , 3 , 500 , 500 , 0 , 0 , 500 , 500 , 0 , 500 , 0 , 0 , 18 , 0 , 0 , 0 , 0.004 , 0.029 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-2.svrp , 3 , 500 , 500 , 0 , 0 , 500 , 500 , 0 , 500 , 0 , 0 , 18 , 0 , 0 , 0 , 0.011 , 0.042 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-2.svrp , 3 , 500 , 500 , 0 , 0 , 500 , 500 , 0 , 500 , 0 , 0 , 18 , 0 , 0 , 0 , 0.013 , 0.047 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-3.svrp , 3 , 406.56 , 406 , 0.56 , 0.56 , 406.56 , 406.56 , 0 , 406.56 , 1.39816e-14 , 0 , 28 , 0 , 4 , 0 , 0.025 , 0.052 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-3.svrp , 3 , 406.56 , 406 , 0.56 , 0.56 , 406.56 , 406.56 , 0 , 406.5 , 0.014758 , 1 , 35 , 4 , 0 , 0 , 0.005 , 0.036 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-3.svrp , 3 , 406.56 , 406 , 0.56 , 0.56 , 406.56 , 406.56 , 0 , 406.5 , 0.014758 , 1 , 35 , 0 , 0 , 7 , 0.006 , 0.045 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-3.svrp , 3 , 406.56 , 406 , 0.56 , 0.56 , 406.56 , 406.56 , 0 , 406.56 , 0 , 0 , 33 , 0 , 1 , 0 , 0.006 , 0.032 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-3.svrp , 3 , 406.56 , 406 , 0.56 , 0.56 , 406.56 , 406.56 , 0 , 406.56 , 0 , 0 , 33 , 0 , 1 , 0 , 0.005 , 0.029 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-4.svrp , 3 , 465 , 465 , 0 , 0 , 465 , 465 , 0 , 465 , 0 , 0 , 10 , 0 , 0 , 0 , 0.017 , 0.056 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-4.svrp , 3 , 465 , 465 , 0 , 0 , 465 , 465 , 0 , 465 , 0 , 0 , 10 , 0 , 0 , 0 , 0.002 , 0.024 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-4.svrp , 3 , 465 , 465 , 0 , 0 , 465 , 465 , 0 , 465 , 0 , 0 , 10 , 0 , 0 , 0 , 0.003 , 0.027 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-4.svrp , 3 , 465 , 465 , 0 , 0 , 465 , 465 , 0 , 465 , 0 , 0 , 10 , 0 , 0 , 0 , 0.01 , 0.049 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-4.svrp , 3 , 465 , 465 , 0 , 0 , 465 , 465 , 0 , 465 , 0 , 0 , 10 , 0 , 0 , 0 , 0.011 , 0.05 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-5.svrp , 3 , 471 , 471 , -3.55271e-17 , 0 , 471 , 471 , 0 , 463 , 1.69851 , 3 , 25 , 2 , 165 , 0 , 0.065 , 0.388 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-5.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 457.5 , 2.86624 , 51 , 32 , 11 , 0 , 0 , 0.002 , 0.064 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-5.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 459.2 , 2.50531 , 18 , 27 , 0 , 0 , 27 , 0.006 , 0.08 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-5.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 463 , 1.69851 , 1 , 31 , 1 , 5 , 0 , 0.027 , 0.167 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-5.svrp , 3 , 471 , 471 , 0 , 0 , 471 , 471 , 0 , 463 , 1.69851 , 1 , 31 , 0 , 5 , 13 , 0.028 , 0.176 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-6.svrp , 3 , 416.06 , 411 , 5.06 , 5.06 , 416.06 , 416.06 , 0 , 416.06 , 1.50285e-13 , 1 , 14 , 1 , 146 , 0 , 0.023 , 0.067 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-6.svrp , 3 , 416.06 , 411 , 5.06 , 5.06 , 416.06 , 416.06 , 0 , 413 , 0.735471 , 5 , 19 , 7 , 0 , 0 , 0.002 , 0.038 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-6.svrp , 3 , 416.06 , 411 , 5.06 , 5.06 , 416.06 , 416.06 , 0 , 416 , 0.014421 , 1 , 22 , 0 , 0 , 16 , 0.007 , 0.047 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-6.svrp , 3 , 416.06 , 411 , 5.06 , 5.06 , 416.06 , 416.06 , 0 , 416.06 , 0 , 1 , 19 , 0 , 2 , 0 , 0.003 , 0.027 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-6.svrp , 3 , 416.06 , 411 , 5.06 , 5.06 , 416.06 , 416.06 , 0 , 416.06 , 0 , 1 , 19 , 0 , 2 , 0 , 0.004 , 0.027 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-7.svrp , 3 , 380.31 , 380 , 0.31 , 0.31 , 380.31 , 380.31 , 0 , 380.31 , 0 , 1 , 11 , 0 , 240 , 0 , 0.05 , 0.115 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-7.svrp , 3 , 380.31 , 380 , 0.31 , 0.31 , 380.31 , 380.31 , 0 , 376 , 1.13329 , 22 , 15 , 11 , 0 , 0 , 0.002 , 0.053 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-7.svrp , 3 , 380.31 , 380 , 0.31 , 0.31 , 380.31 , 380.31 , 0 , 376 , 1.13329 , 17 , 16 , 0 , 0 , 27 , 0.003 , 0.063 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-7.svrp , 3 , 380.31 , 380 , 0.31 , 0.31 , 380.31 , 380.31 , 0 , 380.28 , 0.0078883 , 1 , 10 , 0 , 4 , 0 , 0.011 , 0.065 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-7.svrp , 3 , 380.31 , 380 , 0.31 , 0.31 , 380.31 , 380.31 , 0 , 380.28 , 0.0078883 , 1 , 10 , 0 , 4 , 3 , 0.012 , 0.066 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-8.svrp , 3 , 433 , 433 , 0 , 0 , 433 , 433 , 0 , 433 , 0 , 1 , 14 , 0 , 65 , 0 , 0.028 , 0.068 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-8.svrp , 3 , 433 , 433 , 0 , 0 , 433 , 433 , 0 , 429 , 0.923788 , 15 , 22 , 16 , 0 , 0 , 0.003 , 0.064 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-8.svrp , 3 , 433 , 433 , 0 , 0 , 433 , 433 , 0 , 428.15 , 1.12009 , 5 , 22 , 0 , 0 , 28 , 0.005 , 0.074 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-8.svrp , 3 , 433 , 433 , 0 , 0 , 433 , 433 , 0 , 433 , 0 , 1 , 19 , 0 , 2 , 0 , 0.012 , 0.044 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-8.svrp , 3 , 433 , 433 , 0 , 0 , 433 , 433 , 0 , 433 , 0 , 1 , 19 , 0 , 2 , 0 , 0.013 , 0.044 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-9.svrp , 3 , 438 , 438 , 0 , 0 , 438 , 438 , 0 , 438 , 0 , 0 , 19 , 0 , 81 , 0 , 0.036 , 0.072 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-9.svrp , 3 , 438 , 438 , 0 , 0 , 438 , 438 , 0 , 436.5 , 0.342466 , 12 , 35 , 4 , 0 , 0 , 0.006 , 0.046 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-9.svrp , 3 , 438 , 438 , 0 , 0 , 438 , 438 , 0 , 436.67 , 0.303653 , 5 , 33 , 0 , 0 , 17 , 0.007 , 0.048 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI1/RI-NEW-n16-LB0-UB20-V1-scen200-9.svrp , 3 , 438 , 438 , 0 , 0 , 438 , 438 , 0 , 438 , 0 , 1 , 26 , 0 , 1 , 0 , 0.013 , 0.056 , 1 , 
