Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Root Time (s) , Time (s) , Solved
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-61.svrp , 5 , 628.72 , 594 , 34.72 , 34.72 , 628.72 , 628.72 , 0 , 597.609 , 4.94826 , 14500 , 495 , 2639 , 15085 , 0 , 0.448 , 841.848 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-61.svrp , 5 , 628.72 , 594 , 34.72 , 34.72 , 628.72 , 600.19 , 4.53779 , 580.25 , 7.70931 , 59621 , 1779 , 23214 , 0 , 0 , 0.03 , 1800.1 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-61.svrp , 5 , 628.72 , 594 , 34.72 , 34.72 , 628.72 , 628.72 , 0 , 580.25 , 7.70931 , 61392 , 2736 , 0 , 0 , 172779 , 0.029 , 387.412 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-61.svrp , 5 , 628.72 , 594 , 34.72 , 34.72 , 628.72 , 628.72 , 0 , 591.118 , 5.98072 , 45854 , 881 , 7013 , 611 , 0 , 0.057 , 494.301 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-61.svrp , 5 , 628.72 , 594 , 34.72 , 34.72 , 628.72 , 628.72 , 0 , 591.118 , 5.98072 , 9898 , 749 , 0 , 503 , 27566 , 0.06 , 42.742 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-62.svrp , 3 , 500.34 , 484 , 16.34 , 16.34 , 500.34 , 500.34 , 0 , 489.72 , 2.12256 , 82 , 65 , 16 , 743 , 0 , 0.148 , 1.272 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-62.svrp , 3 , 500.34 , 484 , 16.34 , 16.34 , 500.34 , 500.34 , 0 , 474.5 , 5.16449 , 7292 , 201 , 2742 , 0 , 0 , 0.008 , 22.929 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-62.svrp , 3 , 500.34 , 484 , 16.34 , 16.34 , 500.34 , 500.34 , 0 , 474.58 , 5.1485 , 1180 , 163 , 0 , 0 , 2015 , 0.009 , 2.136 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-62.svrp , 3 , 500.34 , 484 , 16.34 , 16.34 , 500.34 , 500.34 , 0 , 484.07 , 3.25179 , 769 , 130 , 94 , 63 , 0 , 0.017 , 1.109 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-62.svrp , 3 , 500.34 , 484 , 16.34 , 16.34 , 500.34 , 500.34 , 0 , 484.07 , 3.25179 , 262 , 79 , 0 , 29 , 182 , 0.019 , 0.634 , 1 , 
