Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Root Time (s) , Time (s) , Solved
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-63.svrp , 5 , 666.91 , 596 , 70.91 , 70.91 , 666.91 , 666.91 , 0 , 628.98 , 5.68742 , 20043 , 695 , 3580 , 9603 , 0 , 0.339 , 766.33 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-63.svrp , 5 , 666.91 , 596 , 70.91 , 70.91 , 666.91 , 605 , 9.28311 , 591.25 , 11.3449 , 47006 , 1613 , 23506 , 0 , 0 , 0.026 , 1800.08 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-63.svrp , 5 , 666.91 , 596 , 70.91 , 70.91 , 666.91 , 666.91 , 0 , 592.84 , 11.1064 , 144742 , 4887 , 0 , 0 , 440659 , 0.03 , 1624.62 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-63.svrp , 5 , 666.91 , 596 , 70.91 , 70.91 , 666.91 , 666.91 , 0 , 612.873 , 8.10265 , 12002 , 872 , 2032 , 391 , 0 , 0.037 , 51.802 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-63.svrp , 5 , 666.91 , 596 , 70.91 , 70.91 , 666.91 , 666.91 , 0 , 612.873 , 8.10265 , 18150 , 1372 , 0 , 611 , 60103 , 0.037 , 110.151 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-64.svrp , 4 , 582.29 , 543 , 39.29 , 39.29 , 582.29 , 582.29 , 0 , 539.697 , 7.31469 , 20892 , 1137 , 4063 , 22434 , 0 , 0.511 , 1459.08 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-64.svrp , 4 , 587.3 , 550 , 37.3 , 37.3 , 587.3 , 536 , 8.73489 , 516.29 , 12.0909 , 43068 , 2248 , 21795 , 0 , 0 , 0.033 , 1800.1 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-64.svrp , 4 , 582.29 , 543 , 39.29 , 39.29 , 582.29 , 574.47 , 1.34297 , 517.1 , 11.1955 , 141461 , 5760 , 0 , 0 , 389837 , 0.035 , 1800.07 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-64.svrp , 4 , 582.29 , 543 , 39.29 , 39.29 , 582.29 , 582.29 , 0 , 532.41 , 8.56618 , 15099 , 1437 , 1582 , 685 , 0 , 0.062 , 92.758 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-64.svrp , 4 , 582.29 , 543 , 39.29 , 39.29 , 582.29 , 582.29 , 0 , 532.41 , 8.56618 , 13632 , 1563 , 0 , 656 , 23428 , 0.063 , 84.141 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-65.svrp , 5 , 740.45 , 656 , 84.45 , 84.45 , 740.45 , 716.499 , 3.23469 , 682.338 , 7.84825 , 14574 , 2073 , 1386 , 35637 , 0 , 0.653 , 1800.1 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-65.svrp , 5 , 740.45 , 656 , 84.45 , 84.45 , 740.45 , 673.56 , 9.0337 , 652 , 11.9454 , 52411 , 4076 , 19524 , 0 , 0 , 0.03 , 1800.12 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-65.svrp , 5 , 736.97 , 694 , 42.97 , 42.92 , 736.97 , 697.11 , 5.40863 , 652 , 11.5296 , 94868 , 7973 , 0 , 0 , 382613 , 0.031 , 1800.08 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-65.svrp , 5 , 739.57 , 677 , 62.57 , 62.57 , 739.57 , 721.54 , 2.4379 , 667.5 , 9.74485 , 76000 , 5382 , 6951 , 1771 , 0 , 0.044 , 1800.07 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-65.svrp , 5 , 736.92 , 694 , 42.92 , 42.92 , 736.92 , 728.4 , 1.15616 , 667.5 , 9.42029 , 99687 , 5464 , 0 , 1955 , 357622 , 0.047 , 1800.08 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-66.svrp , 4 , 610.37 , 568 , 42.37 , 42.37 , 610.37 , 610.37 , 0 , 573.615 , 6.02168 , 12047 , 881 , 2049 , 24301 , 0 , 0.584 , 800.005 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-66.svrp , 4 , 614.63 , 556 , 58.63 , 58.63 , 614.63 , 568 , 7.58668 , 550 , 10.5153 , 44912 , 2930 , 21850 , 0 , 0 , 0.023 , 1800.1 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-66.svrp , 4 , 610.37 , 568 , 42.37 , 42.37 , 610.37 , 591.37 , 3.11287 , 550 , 9.89072 , 112661 , 7108 , 0 , 0 , 266311 , 0.023 , 1800.1 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-66.svrp , 4 , 610.37 , 568 , 42.37 , 42.37 , 610.37 , 610.37 , 0 , 567.96 , 6.94824 , 19323 , 1522 , 2701 , 850 , 0 , 0.04 , 123.639 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-66.svrp , 4 , 610.37 , 568 , 42.37 , 42.37 , 610.37 , 610.37 , 0 , 568.59 , 6.84503 , 15540 , 1377 , 0 , 953 , 24402 , 0.044 , 99.517 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-67.svrp , 5 , 869.49 , 826 , 43.49 , 43.49 , 869.49 , 845.815 , 2.72282 , 823.973 , 5.23492 , 13716 , 1237 , 1593 , 39035 , 0 , 0.614 , 1800.07 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-67.svrp , 5 , 893.54 , 787 , 106.54 , 106.54 , 893.54 , 780 , 12.7068 , 764.5 , 14.4414 , 44623 , 4344 , 19914 , 0 , 0 , 0.02 , 1800.1 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-67.svrp , 5 , 879.01 , 816 , 63.01 , 63.01 , 879.01 , 793.97 , 9.67452 , 764.5 , 13.0272 , 85902 , 8381 , 0 , 0 , 382090 , 0.023 , 1800.1 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-67.svrp , 5 , 868.32 , 835 , 33.32 , 33.32 , 868.32 , 848.07 , 2.33209 , 805.24 , 7.2646 , 86956 , 3462 , 10707 , 2514 , 0 , 0.103 , 1800.11 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-67.svrp , 5 , 868.32 , 835 , 33.32 , 33.32 , 868.32 , 853.35 , 1.72402 , 804.831 , 7.31168 , 119530 , 3901 , 0 , 3212 , 460016 , 0.11 , 1800.09 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-68.svrp , 5 , 593.62 , 529 , 64.62 , 64.62 , 593.62 , 593.62 , 0 , 559.732 , 5.70873 , 6968 , 358 , 930 , 2818 , 0 , 0.08 , 75.372 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-68.svrp , 5 , 593.62 , 529 , 64.62 , 64.62 , 593.62 , 553.42 , 6.77201 , 529.5 , 10.8015 , 54338 , 1714 , 22477 , 0 , 0 , 0.008 , 1800.09 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-68.svrp , 5 , 593.62 , 529 , 64.62 , 64.62 , 593.62 , 593.62 , 0 , 535 , 9.875 , 3486 , 773 , 0 , 0 , 10908 , 0.015 , 11.145 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-68.svrp , 5 , 593.62 , 529 , 64.62 , 64.62 , 593.62 , 593.62 , 0 , 537.26 , 9.49429 , 3324 , 284 , 626 , 94 , 0 , 0.009 , 5.555 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-68.svrp , 5 , 593.62 , 529 , 64.62 , 64.62 , 593.62 , 593.62 , 0 , 539.91 , 9.04788 , 2071 , 542 , 0 , 235 , 4368 , 0.023 , 7.817 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-69.svrp , 4 , 579.16 , 550 , 29.16 , 29.16 , 579.16 , 579.16 , 0 , 560.947 , 3.14477 , 1046 , 215 , 216 , 2133 , 0 , 0.732 , 12.54 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-69.svrp , 4 , 582.21 , 553 , 29.21 , 29.2 , 582.21 , 549 , 5.70413 , 531.25 , 8.75286 , 57270 , 1395 , 22544 , 0 , 0 , 0.024 , 1800.09 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-69.svrp , 4 , 579.16 , 550 , 29.16 , 29.16 , 579.16 , 579.16 , 0 , 531.25 , 8.27233 , 3023 , 758 , 0 , 0 , 8226 , 0.03 , 10.178 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-69.svrp , 4 , 579.16 , 550 , 29.16 , 29.16 , 579.16 , 579.16 , 0 , 551.75 , 4.73272 , 28517 , 608 , 4025 , 230 , 0 , 0.061 , 121.106 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-69.svrp , 4 , 579.16 , 550 , 29.16 , 29.16 , 579.16 , 579.16 , 0 , 551.75 , 4.73272 , 886 , 287 , 0 , 101 , 1809 , 0.064 , 2.812 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-70.svrp , 4 , 897.18 , 801 , 96.18 , 96.18 , 897.18 , 830.363 , 7.44749 , 799.384 , 10.9004 , 9299 , 2185 , 590 , 52459 , 0 , 0.206 , 1800.08 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-70.svrp , 4 , 886.35 , 783 , 103.35 , 103.35 , 886.35 , 787 , 11.2089 , 771.41 , 12.9678 , 47075 , 3037 , 21376 , 0 , 0 , 0.028 , 1800.1 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-70.svrp , 4 , 885.47 , 794 , 91.47 , 91.47 , 885.47 , 808.5 , 8.69256 , 771.82 , 12.835 , 79924 , 8272 , 0 , 0 , 263282 , 0.03 , 1800.1 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-70.svrp , 4 , 889.44 , 806 , 83.44 , 83.42 , 889.44 , 835.91 , 6.01839 , 789.17 , 11.2734 , 68819 , 6519 , 4693 , 4635 , 0 , 0.033 , 1800.11 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-70.svrp , 4 , 886.35 , 783 , 103.35 , 103.35 , 886.35 , 835.36 , 5.75281 , 789.72 , 10.902 , 64519 , 6533 , 0 , 4783 , 287000 , 0.035 , 1800.1 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-71.svrp , 5 , 620.91 , 580 , 40.91 , 40.91 , 620.91 , 600.253 , 3.32691 , 581.778 , 6.30243 , 12753 , 2029 , 2096 , 31203 , 0 , 1.417 , 1800.14 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-71.svrp , 5 , 622.21 , 568 , 54.21 , 54.21 , 622.21 , 579.25 , 6.90442 , 563.5 , 9.43572 , 45946 , 4045 , 19390 , 0 , 0 , 0.036 , 1800.1 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-71.svrp , 5 , 620.86 , 580 , 40.86 , 40.85 , 620.86 , 604.5 , 2.63505 , 563.5 , 9.2388 , 100847 , 7925 , 0 , 0 , 471345 , 0.039 , 1800.08 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-71.svrp , 5 , 621.95 , 580 , 41.95 , 41.95 , 621.95 , 605.33 , 2.67224 , 575.805 , 7.41935 , 67152 , 3967 , 13165 , 1491 , 0 , 0.08 , 1800.11 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-71.svrp , 5 , 620.85 , 580 , 40.85 , 40.85 , 620.85 , 620.85 , 0 , 575.805 , 7.25532 , 101915 , 5420 , 0 , 2427 , 371359 , 0.085 , 1593.28 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-72.svrp , 6 , 998.94 , 887 , 111.94 , 111.94 , 998.94 , 930.33 , 6.86831 , 894.157 , 10.4894 , 7510 , 2837 , 505 , 45499 , 0 , 1.232 , 1800.11 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-72.svrp , 6 , 990.85 , 889 , 101.85 , 101.85 , 990.85 , 882 , 10.9855 , 858.34 , 13.3734 , 41185 , 5891 , 19205 , 0 , 0 , 0.035 , 1800.1 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-72.svrp , 6 , 992.89 , 910 , 82.89 , 82.89 , 992.89 , 903 , 9.05337 , 858.34 , 13.5514 , 74014 , 11883 , 0 , 0 , 471358 , 0.039 , 1800.08 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-72.svrp , 6 , 1005.28 , 882 , 123.28 , 123.28 , 1005.28 , 933.32 , 7.1582 , 879.979 , 12.4642 , 52969 , 7347 , 9122 , 2865 , 0 , 0.102 , 1800.1 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-72.svrp , 6 , 992.15 , 910 , 82.15 , 82.15 , 992.15 , 942.5 , 5.00428 , 879.979 , 11.3058 , 55700 , 8155 , 0 , 4623 , 317603 , 0.103 , 1800.09 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-73.svrp , 6 , 765.01 , 710 , 55.01 , 55.01 , 765.01 , 733.891 , 4.06775 , 705.601 , 7.76576 , 8775 , 2714 , 816 , 50332 , 0 , 0.705 , 1800.1 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-73.svrp , 6 , 761.72 , 706 , 55.72 , 55.72 , 761.72 , 711.88 , 6.54309 , 683.333 , 10.2907 , 35276 , 5361 , 20834 , 0 , 0 , 0.024 , 1800.11 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-73.svrp , 6 , 760.72 , 705 , 55.72 , 55.72 , 760.72 , 725.83 , 4.58644 , 684.17 , 10.0628 , 78654 , 10871 , 0 , 0 , 405134 , 0.036 , 1800.1 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-73.svrp , 6 , 761.64 , 728 , 33.64 , 33.62 , 761.64 , 737.21 , 3.20755 , 694.94 , 8.75742 , 61629 , 7281 , 5358 , 3469 , 0 , 0.04 , 1800.09 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-73.svrp , 6 , 763.34 , 709 , 54.34 , 54.34 , 763.34 , 736.48 , 3.51875 , 695.329 , 8.90971 , 71149 , 7080 , 0 , 3375 , 436645 , 0.05 , 1800.07 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-74.svrp , 7 , 963.87 , 901 , 62.87 , 62.87 , 963.87 , 925.639 , 3.96637 , 881.128 , 8.5844 , 16992 , 3231 , 1705 , 35520 , 0 , 0.409 , 1800.08 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-74.svrp , 7 , 955.77 , 875 , 80.77 , 80.77 , 955.77 , 868.5 , 9.13086 , 848 , 11.2757 , 44819 , 5392 , 19810 , 0 , 0 , 0.033 , 1800.11 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-74.svrp , 7 , 955.77 , 875 , 80.77 , 80.77 , 955.77 , 906.94 , 5.10897 , 848.2 , 11.2548 , 89397 , 9358 , 0 , 0 , 643888 , 0.049 , 1800.09 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-74.svrp , 7 , 954.77 , 886 , 68.77 , 68.77 , 954.77 , 943.1 , 1.22228 , 874.79 , 8.37689 , 82676 , 6035 , 2727 , 2169 , 0 , 0.064 , 1800.08 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-74.svrp , 7 , 954.77 , 886 , 68.77 , 68.77 , 954.77 , 938.64 , 1.68941 , 874.79 , 8.37689 , 94764 , 6282 , 0 , 1701 , 558968 , 0.066 , 1800.08 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-75.svrp , 6 , 937.5 , 807 , 130.5 , 130.5 , 937.5 , 860.259 , 8.23906 , 821.108 , 12.4151 , 8620 , 3268 , 1195 , 44686 , 0 , 0.304 , 1800.09 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-75.svrp , 6 , 927.91 , 812 , 115.91 , 115.91 , 927.91 , 817.09 , 11.943 , 794 , 14.4314 , 37008 , 5490 , 18596 , 0 , 0 , 0.036 , 1800.09 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-75.svrp , 6 , 927.92 , 812 , 115.92 , 115.91 , 927.92 , 833.5 , 10.1754 , 794 , 14.4323 , 63337 , 12483 , 0 , 0 , 315935 , 0.04 , 1800.1 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-75.svrp , 6 , 927.91 , 812 , 115.91 , 115.91 , 927.91 , 855.61 , 7.7917 , 817.042 , 11.9481 , 44797 , 7962 , 5628 , 4108 , 0 , 0.096 , 1800.1 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-75.svrp , 6 , 929.91 , 816 , 113.91 , 113.91 , 929.91 , 865.44 , 6.93293 , 817.042 , 12.1375 , 44854 , 9182 , 0 , 5724 , 203223 , 0.098 , 1800.09 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-76.svrp , 6 , 904.86 , 840 , 64.86 , 64.86 , 904.86 , 872.28 , 3.60056 , 838.062 , 7.38214 , 8384 , 2211 , 1175 , 35854 , 0 , 2.246 , 1800.09 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-76.svrp , 6 , 927.41 , 813 , 114.41 , 114.41 , 927.41 , 818.57 , 11.7359 , 804.667 , 13.2351 , 38891 , 5045 , 19731 , 0 , 0 , 0.048 , 1800.09 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB30-V10-scen200-76.svrp , 6 , 904.95 , 840 , 64.95 , 64.95 , 904.95 , 851.62 , 5.89314 , 804.667 , 11.0816 , 72158 , 10554 , 0 , 0 , 358934 , 0.053 , 1800.09 , 1 , 
