Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Root Time (s) , Time (s) , Solved
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.83 , 485 , 44.83 , 44.83 , 529.83 , 529.83 , 0 , 508.03 , 4.11453 , 181 , 88 , 25 , 758 , 0 , 0.049 , 0.775 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.83 , 485 , 44.83 , 44.83 , 529.83 , 529.83 , 0 , 487 , 8.08372 , 2300 , 253 , 910 , 0 , 0 , 0.007 , 2.545 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.83 , 485 , 44.83 , 44.83 , 529.83 , 529.83 , 0 , 488.2 , 7.85724 , 1100 , 215 , 0 , 0 , 2746 , 0.008 , 1.324 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.83 , 485 , 44.83 , 44.83 , 529.83 , 529.83 , 0 , 502.61 , 5.1375 , 306 , 132 , 44 , 18 , 0 , 0.01 , 0.347 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.83 , 485 , 44.83 , 44.83 , 529.83 , 529.83 , 0 , 503.39 , 4.99028 , 284 , 111 , 0 , 36 , 523 , 0.016 , 0.456 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 738.54 , 719 , 19.54 , 19.54 , 738.54 , 738.54 , 0 , 722.633 , 2.15384 , 185 , 46 , 10 , 3534 , 0 , 0.075 , 1.702 , 1 , 
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 738.54 , 719 , 19.54 , 19.54 , 738.54 , 738.54 , 0 , 700 , 5.2184 , 14263 , 617 , 4628 , 0 , 0 , 0.003 , 38.477 , 1 , 
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 738.54 , 719 , 19.54 , 19.54 , 738.54 , 738.54 , 0 , 700 , 5.2184 , 4783 , 517 , 0 , 0 , 9494 , 0.005 , 6.965 , 1 , 
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 738.54 , 719 , 19.54 , 19.54 , 738.54 , 738.54 , 0 , 718.92 , 2.65659 , 304 , 86 , 21 , 120 , 0 , 0.016 , 0.401 , 1 , 
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 738.54 , 719 , 19.54 , 19.54 , 738.54 , 738.54 , 0 , 718.92 , 2.65659 , 521 , 66 , 0 , 147 , 688 , 0.017 , 0.967 , 1 , 
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 649.94 , 605 , 44.94 , 44.94 , 649.94 , 649.94 , 0 , 634.257 , 2.41292 , 334 , 71 , 43 , 1150 , 0 , 0.06 , 1.343 , 1 , 
