Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k3/70_3_0.85_1_5.svrp , 779.77 , 702.5 , 9.90933 , 0.023 , 1800.06 , 3 , 765 , 14.77 , 14.61 , 14.77 , 779.77 , 720.5 , 7.60096 , 31996 , 1167 , 9.74749 , 7108 , 6.19263 , 4292 , 13.5952 , 0 , 0 , 0 , 0 , 0
ILS+SRI2 , ./data/Jabali/k3/70_3_0.85_1_5.svrp , 750.35 , 740.47 , 1.31672 , 60.239 , 71.107 , 3 , 748 , 2.35 , 2.35 , 2.35 , 750.35 , 750.35 , 0 , 1443 , 121 , 0.54791 , 135 , 0.249093 , 0 , 0 , 2140 , 0.660095 , 148 , 2.65859 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.85_1_5.svrp , 750.35 , 739.83 , 1.40201 , 60.299 , 89.223 , 3 , 748 , 2.35 , 2.35 , 2.35 , 750.35 , 750.35 , 0 , 1831 , 123 , 0.617289 , 210 , 15.4158 , 0 , 0 , 2170 , 0.67163 , 169 , 3.04251 , 1
ILS+SRI2 , ./data/Jabali/k3/70_3_0.85_1_6.svrp , 731.14 , 724.63 , 0.89039 , 60.196 , 75.171 , 3 , 729 , 2.14 , 1.94 , 2.14 , 731.14 , 731.14 , 0 , 881 , 169 , 0.320381 , 224 , 0.216365 , 0 , 0 , 2540 , 0.717356 , 130 , 1.81225 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.85_1_6.svrp , 731.14 , 725.33 , 0.794649 , 60.119 , 88.713 , 3 , 729 , 2.14 , 1.94 , 2.14 , 731.14 , 731.14 , 0 , 798 , 134 , 0.305494 , 241 , 21.8498 , 0 , 0 , 2540 , 0.719019 , 115 , 1.48386 , 1
ILS+SRI2 , ./data/Jabali/k3/70_3_0.85_1_7.svrp , 799.61 , 792.04 , 0.946712 , 60.491 , 66.89 , 3 , 795 , 4.61 , 4.33 , 4.61 , 799.61 , 799.61 , 0 , 970 , 154 , 0.248722 , 130 , 0.221105 , 0 , 0 , 1754 , 0.597109 , 156 , 1.55214 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.85_1_7.svrp , 799.61 , 791.81 , 0.975476 , 60.347 , 75.492 , 3 , 795 , 4.61 , 4.33 , 4.61 , 799.61 , 799.61 , 0 , 686 , 127 , 0.20748 , 153 , 10.1034 , 0 , 0 , 1744 , 0.593644 , 148 , 0.967509 , 1
ILS , ./data/Jabali/k3/70_3_0.85_1_8.svrp , 781.81 , 693.34 , 11.316 , 0.031 , 1800.15 , 3 , 709 , 72.81 , 66.05 , 72.81 , 781.81 , 717.46 , 8.2309 , 25313 , 1088 , 6.15826 , 9016 , 8.76363 , 3475 , 10.9689 , 0 , 0 , 0 , 0 , 0
ILS+SRI2 , ./data/Jabali/k3/70_3_0.85_1_8.svrp , 761.96 , 733.33 , 3.75742 , 60.298 , 407.32 , 3 , 753 , 8.96 , 8.96 , 8.96 , 761.96 , 761.96 , 0 , 39791 , 544 , 9.02296 , 946 , 2.3873 , 0 , 0 , 2711 , 0.701397 , 938 , 28.8302 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.85_1_8.svrp , 761.96 , 734.16 , 3.64849 , 60.229 , 1045.03 , 3 , 753 , 8.96 , 8.96 , 8.96 , 761.96 , 761.96 , 0 , 56901 , 593 , 11.0409 , 2378 , 269.313 , 0 , 0 , 2755 , 0.713759 , 949 , 34.3592 , 1
