Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS+SRI2 , ./data/Jabali/k3/70_3_0.90_1_3.svrp , 715.4 , 706.06 , 1.30556 , 60.65 , 100.081 , 3 , 708 , 7.4 , 7.07 , 7.4 , 715.4 , 715.4 , 0 , 2485 , 1339 , 6.18862 , 109 , 0.200287 , 0 , 0 , 1168 , 43.3119 , 119 , 2.25475 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_3.svrp , 715.4 , 706.11 , 1.29857 , 60.411 , 107.557 , 3 , 708 , 7.4 , 7.07 , 7.4 , 715.4 , 715.4 , 0 , 2984 , 1548 , 6.24913 , 180 , 5.52248 , 0 , 0 , 1168 , 43.1519 , 136 , 2.67157 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_4.svrp , 746.62 , 732.73 , 1.86036 , 0.213 , 34.712 , 3 , 739 , 7.62 , 6.28 , 7.62 , 746.62 , 746.62 , 0 , 3791 , 860 , 0.695682 , 342 , 0.781054 , 184 , 0.741862 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k3/70_3_0.90_1_4.svrp , 746.62 , 737.62 , 1.20543 , 60.207 , 79.211 , 3 , 739 , 7.62 , 6.28 , 7.62 , 746.62 , 746.62 , 0 , 1699 , 692 , 19.7851 , 187 , 0.266471 , 0 , 0 , 1579 , 22.8485 , 203 , 1.6385 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_4.svrp , 746.62 , 737.64 , 1.20275 , 60.243 , 110.357 , 3 , 739 , 7.62 , 6.28 , 7.62 , 746.62 , 746.62 , 0 , 2959 , 863 , 20.0733 , 324 , 6.45482 , 0 , 0 , 1584 , 22.8757 , 232 , 2.85995 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_5.svrp , 802.72 , 785.83 , 2.1041 , 0.33 , 289.835 , 3 , 797 , 5.72 , 5.72 , 5.72 , 802.72 , 802.72 , 0 , 10560 , 2729 , 3.00692 , 584 , 1.96212 , 405 , 2.54113 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k3/70_3_0.90_1_5.svrp , 802.72 , 793.02 , 1.20839 , 60.294 , 263.848 , 3 , 797 , 5.72 , 5.72 , 5.72 , 802.72 , 802.72 , 0 , 5434 , 2217 , 3.90094 , 561 , 0.739022 , 0 , 0 , 545 , 54.5632 , 448 , 5.77861 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.90_1_5.svrp , 802.72 , 793.02 , 1.20839 , 60.371 , 155.541 , 3 , 797 , 5.72 , 5.72 , 5.72 , 802.72 , 802.72 , 0 , 3956 , 1527 , 2.95909 , 351 , 7.45229 , 0 , 0 , 545 , 54.5575 , 232 , 3.72167 , 1
ILS , ./data/Jabali/k3/70_3_0.90_1_6.svrp , 771.14 , 748.38 , 2.95147 , 0.19 , 1554.52 , 3 , 765 , 6.14 , 6.14 , 6.14 , 771.14 , 771.14 , 0 , 41461 , 5745 , 12.1713 , 1587 , 4.96956 , 1510 , 8.62114 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k3/70_3_0.90_1_6.svrp , 771.14 , 752.77 , 2.38219 , 60.183 , 957.1 , 3 , 765 , 6.14 , 6.14 , 6.14 , 771.14 , 771.14 , 0 , 22969 , 5097 , 10.3893 , 1329 , 1.57269 , 0 , 0 , 543 , 51.4147 , 1367 , 12.7538 , 1
