Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
sri+inout , ./data/ccvrp/A-n55-k9-scen-H666.svrp , 1288.1 , 858.639 , 33.3407 , 60.106 , 130.16 , 11 , 715 , 573.1 , 531.04 , 573.1 , 1288.1 , 1001.27 , 22.2678 , 5744 , 541 , 4.09976 , 626 , 0.904071 , 0 , 0 , 0 , 5155 , 7.20627 , 984 , 4.24764 , 0
sri , ./data/ccvrp/A-n55-k9-scen-L666.svrp , 1200.84 , 959.909 , 20.0636 , 60.143 , 130.082 , 11 , 1177 , 23.84 , 23.75 , 23.84 , 1200.84 , 998.58 , 16.8432 , 5644 , 583 , 2.48333 , 452 , 0.489216 , 0 , 0 , 0 , 2511 , 4.29607 , 974 , 4.15498 , 0
sri+inout , ./data/ccvrp/A-n55-k9-scen-L666.svrp , 1205.68 , 973.463 , 19.2603 , 60.091 , 130.065 , 11 , 1182 , 23.68 , 23.68 , 23.68 , 1205.68 , 1017.93 , 15.5724 , 5908 , 457 , 2.6551 , 455 , 0.568391 , 0 , 0 , 0 , 3241 , 2.2591 , 883 , 4.38692 , 0
sri , ./data/ccvrp/B-n39-k5-scen-H666.svrp , 585.11 , 512.423 , 12.4229 , 60.293 , 130.091 , 6 , 496 , 89.11 , 89.11 , 89.11 , 585.11 , 556.849 , 4.82996 , 16938 , 610 , 3.23471 , 931 , 0.784136 , 0 , 0 , 0 , 2657 , 1.04859 , 756 , 5.14477 , 0
sri+inout , ./data/ccvrp/B-n39-k5-scen-H666.svrp , 594.9 , 508.87 , 14.4613 , 60.066 , 130.072 , 6 , 448 , 146.9 , 146.79 , 146.9 , 594.9 , 558.861 , 6.05807 , 17485 , 658 , 9.24369 , 1176 , 1.52577 , 0 , 0 , 0 , 11708 , 4.96975 , 691 , 4.93311 , 0
sri , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 563.95 , 532.482 , 5.57997 , 60.12 , 105.033 , 5 , 538 , 25.95 , 25.8 , 25.95 , 563.95 , 557.855 , 1.08082 , 21586 , 411 , 4.23831 , 1031 , 1.68206 , 0 , 0 , 0 , 1116 , 2.88992 , 601 , 4.36809 , 0
sri+inout , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 563.56 , 513.535 , 8.87661 , 60.048 , 105.043 , 5 , 537 , 26.56 , 25.26 , 26.56 , 563.56 , 556.842 , 1.19214 , 23303 , 381 , 4.41261 , 932 , 1.39042 , 0 , 0 , 0 , 1850 , 0.860584 , 609 , 4.7715 , 0
sri , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 832.9 , 612.941 , 26.4088 , 60.207 , 130.119 , 13 , 567 , 265.9 , 237.13 , 265.9 , 832.9 , 623.713 , 25.1155 , 6058 , 385 , 2.74093 , 764 , 1.10196 , 0 , 0 , 0 , 2984 , 1.71839 , 1233 , 3.52772 , 0
sri+inout , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 817.48 , 580.892 , 28.9411 , 60.253 , 130.106 , 13 , 483 , 334.48 , 305.04 , 334.48 , 817.48 , 623.426 , 23.7381 , 5652 , 367 , 6.29179 , 706 , 0.973828 , 0 , 0 , 0 , 3122 , 33.898 , 1232 , 3.40605 , 0
sri , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 833.28 , 602.172 , 27.7348 , 60.116 , 130.082 , 12 , 579 , 254.28 , 237.88 , 254.28 , 833.28 , 627.79 , 24.6603 , 6377 , 395 , 2.48257 , 725 , 0.857374 , 0 , 0 , 0 , 473 , 0.507429 , 1284 , 3.72903 , 0
sri+inout , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 812.79 , 597.336 , 26.508 , 60.323 , 130.092 , 12 , 531 , 281.79 , 281.32 , 281.79 , 812.79 , 619.559 , 23.7738 , 5800 , 352 , 4.84945 , 702 , 0.888341 , 0 , 0 , 0 , 575 , 53.0432 , 1324 , 3.33124 , 0
sri , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 904.58 , 650.279 , 28.1126 , 60.134 , 130.167 , 13 , 567 , 337.58 , 299.2 , 337.58 , 904.58 , 671.724 , 25.7419 , 5687 , 410 , 2.31768 , 795 , 0.947592 , 0 , 0 , 0 , 3053 , 1.72963 , 1187 , 3.5748 , 0
sri+inout , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 877.98 , 650.279 , 25.9346 , 60.223 , 130.13 , 13 , 559 , 318.98 , 298.72 , 318.98 , 877.98 , 671.213 , 23.5503 , 5556 , 416 , 2.31282 , 665 , 0.92987 , 0 , 0 , 0 , 3034 , 1.7182 , 1080 , 3.44005 , 0
sri , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 891.03 , 659.086 , 26.0309 , 60.331 , 130.078 , 12 , 853 , 38.03 , 38.03 , 38.03 , 891.03 , 673.048 , 24.464 , 5534 , 410 , 2.13778 , 720 , 0.844948 , 0 , 0 , 0 , 2275 , 1.47898 , 1184 , 3.38911 , 0
sri+inout , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 875.95 , 659.086 , 24.7575 , 60.208 , 130.126 , 12 , 569 , 306.95 , 284.63 , 306.95 , 875.95 , 675.075 , 22.9322 , 5513 , 431 , 2.27137 , 730 , 0.975562 , 0 , 0 , 0 , 2255 , 1.4669 , 1155 , 3.36183 , 0
