Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_9.svrp , 4 , 685.303 , 670.65 , 14.6538 , 14.6538 , 15.3681 , 685.303 , 685.303 , 0 , 674.278 , 1.60887 , 363 , 305 , 0 , 120 , 0 , 0 , 0.646 , 1.389 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/40_4_0.85_1_9.svrp , 4 , 685.303 , 670.65 , 14.6538 , 14.6538 , 15.3681 , 685.303 , 685.303 , 0 , 674.278 , 1.60887 , 369 , 412 , 0 , 211 , 0 , 0 , 0.64 , 5.406 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_0.svrp , 4 , 746.955 , 735.799 , 11.1553 , 11.1553 , 12.5571 , 746.955 , 746.955 , 0 , 734.836 , 1.62246 , 23576 , 763 , 0 , 269 , 0 , 0 , 1 , 25.982 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/50_4_0.85_1_0.svrp , 4 , 746.955 , 735.799 , 11.1553 , 11.1553 , 12.5571 , 746.955 , 746.955 , 0 , 734.836 , 1.62246 , 1111 , 1387 , 0 , 536 , 0 , 0 , 0.988 , 25.842 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_1.svrp , 4 , 775.985 , 762.434 , 13.5507 , 13.4594 , 13.8054 , 775.985 , 755.934 , 2.5839 , 736.04 , 5.14762 , 14590 , 7448 , 0 , 3344 , 0 , 0 , 1.303 , 600.075 , 0
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/50_4_0.85_1_1.svrp , 4 , 793.485 , 775.286 , 18.199 , 18.199 , 24.9 , 793.485 , 753.3 , 5.06435 , 736.04 , 7.23961 , 9215 , 7816 , 0 , 3503 , 0 , 0 , 1.299 , 600.023 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_2.svrp , 4 , 720.362 , 713.218 , 7.14375 , 7.14375 , 7.14375 , 720.362 , 720.362 , 0 , 710.472 , 1.37282 , 418 , 618 , 0 , 173 , 0 , 0 , 2.234 , 4.911 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/50_4_0.85_1_2.svrp , 4 , 720.362 , 713.218 , 7.14375 , 7.14375 , 7.14375 , 720.362 , 720.362 , 0 , 710.472 , 1.37282 , 418 , 618 , 0 , 173 , 0 , 0 , 2.186 , 4.872 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_3.svrp , 4 , 728.211 , 722.25 , 5.96087 , 5.96087 , 5.96087 , 728.211 , 728.211 , 0 , 699.588 , 3.93057 , 3673 , 2237 , 0 , 665 , 0 , 0 , 1.933 , 55.554 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/50_4_0.85_1_3.svrp , 4 , 728.211 , 722.25 , 5.96087 , 5.96087 , 5.96087 , 728.211 , 728.211 , 0 , 699.588 , 3.93057 , 3429 , 2897 , 0 , 820 , 0 , 0 , 1.95 , 72.701 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_4.svrp , 4 , 693.955 , 676.986 , 16.9695 , 16.9695 , 19.0847 , 693.955 , 693.955 , 0 , 682.916 , 1.5908 , 427 , 325 , 0 , 132 , 0 , 0 , 0.497 , 1.676 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/50_4_0.85_1_4.svrp , 4 , 693.955 , 676.986 , 16.9695 , 16.9695 , 19.0847 , 693.955 , 693.955 , 0 , 682.916 , 1.5908 , 263 , 291 , 0 , 117 , 0 , 0 , 0.492 , 1.983 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_5.svrp , 4 , 789.928 , 781.296 , 8.63139 , 8.63139 , 8.87241 , 789.928 , 789.928 , 0 , 778.367 , 1.46346 , 714 , 761 , 0 , 123 , 0 , 0 , 0.998 , 3.968 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/50_4_0.85_1_5.svrp , 4 , 789.928 , 781.296 , 8.63139 , 8.63139 , 8.87241 , 789.928 , 789.928 , 0 , 778.367 , 1.46346 , 567 , 834 , 0 , 138 , 0 , 0 , 1.001 , 4.39 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_6.svrp , 4 , 774.62 , 757.584 , 17.0362 , 17.0362 , 19.6867 , 774.62 , 774.62 , 0 , 754.633 , 2.58034 , 3043 , 1539 , 0 , 611 , 0 , 0 , 0.963 , 25.482 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/50_4_0.85_1_6.svrp , 4 , 774.62 , 757.584 , 17.0362 , 17.0362 , 19.6867 , 774.62 , 774.62 , 0 , 754.633 , 2.58034 , 2593 , 1779 , 0 , 695 , 0 , 0 , 0.962 , 32.902 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_7.svrp , 4 , 720.496 , 709.36 , 11.1355 , 11.1355 , 12.6737 , 720.496 , 720.496 , 0 , 715.046 , 0.756442 , 910 , 653 , 0 , 129 , 0 , 0 , 1.805 , 4.412 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/50_4_0.85_1_7.svrp , 4 , 720.496 , 709.36 , 11.1355 , 11.1355 , 12.6737 , 720.496 , 720.496 , 0 , 715.046 , 0.756442 , 383 , 518 , 0 , 157 , 0 , 0 , 1.804 , 6.137 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_8.svrp , 4 , 732.515 , 713.918 , 18.5969 , 18.5969 , 18.8383 , 732.515 , 732.515 , 0 , 715.94 , 2.26274 , 3481 , 1104 , 0 , 400 , 0 , 0 , 0.901 , 19.833 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/50_4_0.85_1_8.svrp , 4 , 732.515 , 713.918 , 18.5969 , 18.5969 , 18.8383 , 732.515 , 732.515 , 0 , 715.94 , 2.26274 , 2918 , 1949 , 0 , 744 , 0 , 0 , 0.902 , 32.006 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_9.svrp , 4 , 743.592 , 723.921 , 19.671 , 19.671 , 19.9871 , 743.592 , 743.592 , 0 , 718.979 , 3.31004 , 10324 , 3941 , 0 , 1923 , 0 , 0 , 0.857 , 206.883 , 1
VRP-SCEN_CUTS-NODE-BENDERS , ../../data/Jabali/SVRP/torun/50_4_0.85_1_9.svrp , 4 , 743.592 , 723.921 , 19.671 , 19.671 , 19.9871 , 743.592 , 743.592 , 0 , 718.979 , 3.31004 , 9030 , 4939 , 0 , 2047 , 0 , 0 , 0.829 , 218.042 , 1
