Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_6.svrp , 4 , 687.024 , 676.064 , 10.9606 , 10.9348 , 10.9606 , 687.024 , 687.024 , 0 , 663.007 , 3.49586 , 188244 , 2112 , 0 , 0 , 1299 , 729 , 0.039 , 574.11 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_6.svrp , 4 , 686.999 , 676.064 , 10.9348 , 10.9348 , 10.9606 , 686.999 , 686.999 , 0 , 670.237 , 2.43984 , 2437 , 974 , 0 , 581 , 0 , 0 , 1.174 , 124.483 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/40_4_0.85_1_6.svrp , 4 , 688.759 , 676.49 , 12.2696 , 12.2696 , 12.7289 , 688.759 , 685.786 , 0.431684 , 670.577 , 2.63982 , 5151 , 3132 , 0 , 5478 , 0 , 0 , 1.654 , 600.04 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_7.svrp , 4 , 687.232 , 669.897 , 17.335 , 17.0603 , 17.3171 , 687.232 , 663.574 , 3.4424 , 643.915 , 6.30306 , 29552 , 4967 , 0 , 0 , 3813 , 1395 , 0.033 , 600.014 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_7.svrp , 4 , 685.685 , 668.625 , 17.0603 , 17.0603 , 17.1142 , 685.685 , 685.685 , 0 , 659.073 , 3.88107 , 3539 , 1170 , 0 , 838 , 0 , 0 , 0.395 , 204.089 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/40_4_0.85_1_7.svrp , 4 , 690.035 , 674.106 , 15.9294 , 15.9294 , 15.9833 , 690.035 , 684.939 , 0.738506 , 659.073 , 4.48704 , 5011 , 3003 , 0 , 6111 , 0 , 0 , 0.836 , 600.121 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_8.svrp , 4 , 691.405 , 660.097 , 31.3079 , 30.3545 , 31.3067 , 691.405 , 691.404 , 0.00017339 , 659.667 , 4.59044 , 459732 , 990 , 0 , 0 , 547 , 215 , 0.025 , 600.014 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_8.svrp , 4 , 690.452 , 660.097 , 30.3545 , 30.3545 , 31.3067 , 690.452 , 690.452 , 0 , 673.52 , 2.45235 , 872 , 490 , 0 , 208 , 0 , 0 , 0.315 , 40.486 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/40_4_0.85_1_8.svrp , 4 , 690.452 , 660.097 , 30.3545 , 30.3545 , 31.3067 , 690.452 , 690.452 , 0 , 673.578 , 2.44384 , 2440 , 1696 , 0 , 2352 , 0 , 0 , 0.816 , 166.763 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_9.svrp , 4 , 686.018 , 670.65 , 15.3681 , 14.6538 , 15.3681 , 686.018 , 686.018 , 0 , 659.564 , 3.85617 , 160126 , 2040 , 0 , 0 , 842 , 390 , 0.019 , 411.615 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/40_4_0.85_1_9.svrp , 4 , 685.303 , 670.65 , 14.6538 , 14.6538 , 15.3681 , 685.303 , 685.303 , 0 , 674.278 , 1.60887 , 792 , 446 , 0 , 244 , 0 , 0 , 0.639 , 19.37 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/40_4_0.85_1_9.svrp , 4 , 685.303 , 670.65 , 14.6538 , 14.6538 , 15.3681 , 685.303 , 685.303 , 0 , 674.377 , 1.59432 , 1621 , 1745 , 0 , 2819 , 0 , 0 , 1.951 , 114.422 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_0.svrp , 4 , 748.357 , 735.799 , 12.5571 , 11.1553 , 12.5571 , 748.357 , 748.357 , 0 , 727.204 , 2.82653 , 339049 , 1284 , 0 , 0 , 390 , 167 , 0.08 , 576.173 , 1
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_0.svrp , 4 , 746.955 , 735.799 , 11.1553 , 11.1553 , 12.5571 , 746.955 , 746.955 , 0 , 734.836 , 1.62246 , 5153 , 398 , 0 , 185 , 0 , 0 , 0.996 , 73.934 , 1
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/50_4_0.85_1_0.svrp , 4 , 746.955 , 735.799 , 11.1553 , 11.1553 , 12.5571 , 746.955 , 746.955 , 0 , 734.841 , 1.62169 , 2528 , 3225 , 0 , 3753 , 0 , 0 , 2.453 , 261.784 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_1.svrp , 4 , 789.592 , 769.79 , 19.802 , 18.8716 , 19.6492 , 789.592 , 746.682 , 5.43446 , 728.006 , 7.79969 , 18062 , 8675 , 0 , 0 , 2599 , 1394 , 0.104 , 600.028 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_1.svrp , 4 , 777.539 , 768.099 , 9.44016 , 9.44016 , 10.3307 , 777.539 , 753.211 , 3.12889 , 736.04 , 5.33726 , 4817 , 3448 , 0 , 2101 , 0 , 0 , 1.303 , 600.291 , 0
VRP-SCEN_CUTS-NODE+SCEN , ../../data/Jabali/SVRP/torun/50_4_0.85_1_1.svrp , 4 , 1.79769e+308 , 0 , 0 , 1.79769e+308 , 0 , 1e+100 , 751.088 , 1e+102 , 736.123 , 100 , 3899 , 5107 , 0 , 5246 , 0 , 0 , 5.457 , 600.051 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_2.svrp , 4 , 720.362 , 713.218 , 7.14377 , 7.14375 , 7.14375 , 720.362 , 720.362 , 2.91798e-06 , 701.836 , 2.57174 , 241362 , 1637 , 0 , 0 , 318 , 168 , 0.081 , 600.012 , 0
VRP-SCEN_CUTS-NODE , ../../data/Jabali/SVRP/torun/50_4_0.85_1_2.svrp , 4 , 720.362 , 713.218 , 7.14375 , 7.14375 , 7.14375 , 720.362 , 720.362 , 0 , 710.472 , 1.37282 , 476 , 459 , 0 , 199 , 0 , 0 , 2.204 , 31.58 , 1
