Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-36.svrp , 4 , 516.4 , 502 , 14.4 , 14.4 , 516.4 , 516.4 , 0 , 496.762 , 3.8029 , 100 , 68 , 0 , 84 , 185 , 16 , 9.478 , 9.616 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-37.svrp , 3 , 507.8 , 488 , 19.8 , 19.8 , 507.8 , 507.8 , 0 , 491.083 , 3.29198 , 88 , 66 , 0 , 36 , 56 , 13 , 0.008 , 0.083 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-37.svrp , 3 , 507.8 , 488 , 19.8 , 19.8 , 507.8 , 507.8 , 0 , 491.1 , 3.2887 , 93 , 73 , 0 , 40 , 42 , 8 , 0.512 , 0.589 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-37.svrp , 3 , 507.8 , 488 , 19.8 , 19.8 , 507.8 , 507.8 , 0 , 491.1 , 3.2887 , 93 , 73 , 0 , 40 , 42 , 8 , 2.332 , 2.409 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-38.svrp , 4 , 534 , 534 , 0 , 0 , 534 , 534 , 0 , 523.673 , 1.9339 , 97 , 107 , 0 , 60 , 82 , 33 , 0.024 , 0.137 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-38.svrp , 4 , 534 , 534 , 0 , 0 , 534 , 534 , 0 , 523.698 , 1.9292 , 113 , 135 , 0 , 65 , 170 , 11 , 0.706 , 0.86 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-38.svrp , 4 , 534 , 534 , 0 , 0 , 534 , 534 , 0 , 523.698 , 1.9292 , 113 , 135 , 0 , 65 , 170 , 11 , 8.799 , 8.953 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-39.svrp , 4 , 589.8 , 535 , 54.8 , 54.8 , 589.8 , 589.8 , 0 , 565.689 , 4.08797 , 167 , 82 , 0 , 84 , 149 , 53 , 0.015 , 0.224 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-39.svrp , 4 , 589.8 , 535 , 54.8 , 54.8 , 589.8 , 589.8 , 0 , 566.493 , 3.95175 , 159 , 74 , 0 , 84 , 206 , 103 , 0.893 , 1.09 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-39.svrp , 4 , 589.8 , 535 , 54.8 , 54.8 , 589.8 , 589.8 , 0 , 568.172 , 3.66703 , 95 , 67 , 0 , 62 , 87 , 5 , 13.789 , 13.92 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 498.8 , 494 , 4.8 , 4.8 , 498.8 , 498.8 , 0 , 490.9 , 1.5838 , 52 , 63 , 0 , 27 , 60 , 43 , 0.009 , 0.068 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-MIPHEUR , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 498.8 , 494 , 4.8 , 4.8 , 498.8 , 498.8 , 0 , 490.9 , 1.5838 , 52 , 63 , 0 , 27 , 60 , 43 , 0.295 , 0.351 , 1
