Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.93_1_4.svrp , 2 , 640.849 , 636.54 , 4.30965 , 4.30965 , 640.849 , 640.849 , 0 , 634.47 , 0.995465 , 208 , 202 , 0 , 0 , 862 , 615 , 0.059 , 1.114 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.93_1_4.svrp , 2 , 640.849 , 636.54 , 4.30965 , 4.30965 , 640.849 , 640.849 , 0 , 634.936 , 0.922746 , 142 , 174 , 0 , 3 , 109 , 92 , 0.121 , 0.561 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.93_1_4.svrp , 2 , 640.849 , 636.54 , 4.30965 , 4.30965 , 640.849 , 640.849 , 0 , 634.936 , 0.922746 , 152 , 185 , 0 , 3 , 279 , 125 , 0.119 , 0.695 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.93_1_5.svrp , 2 , 671.476 , 657.752 , 13.7243 , 13.7243 , 671.476 , 671.476 , 0 , 650.792 , 3.08035 , 2048 , 391 , 0 , 0 , 907 , 464 , 0.028 , 7.695 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.93_1_5.svrp , 2 , 671.476 , 657.752 , 13.7243 , 13.7243 , 671.476 , 671.476 , 0 , 650.792 , 3.08035 , 1679 , 390 , 0 , 0 , 3293 , 1188 , 0.03 , 6.901 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.93_1_5.svrp , 2 , 671.476 , 657.752 , 13.7243 , 13.7243 , 671.476 , 671.476 , 0 , 655.985 , 2.307 , 1030 , 403 , 0 , 16 , 472 , 289 , 0.293 , 5.209 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.93_1_5.svrp , 2 , 671.476 , 657.752 , 13.7243 , 13.7243 , 671.476 , 671.476 , 0 , 655.985 , 2.307 , 1237 , 374 , 0 , 16 , 3200 , 1445 , 0.295 , 6.619 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.93_1_6.svrp , 2 , 675.489 , 670.767 , 4.72157 , 4.72157 , 675.489 , 675.489 , 0 , 656.992 , 2.73823 , 4546 , 1120 , 0 , 0 , 2486 , 1749 , 0.074 , 37.056 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.93_1_6.svrp , 2 , 675.489 , 670.767 , 4.72157 , 4.72157 , 675.489 , 675.489 , 0 , 656.992 , 2.73823 , 5674 , 1241 , 0 , 0 , 13010 , 7238 , 0.076 , 53.674 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.93_1_6.svrp , 2 , 675.489 , 670.767 , 4.72157 , 4.72157 , 675.489 , 675.489 , 0 , 659.834 , 2.31759 , 2173 , 820 , 0 , 11 , 1248 , 883 , 0.274 , 13.708 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.93_1_6.svrp , 2 , 675.489 , 670.767 , 4.72157 , 4.72157 , 675.489 , 675.489 , 0 , 659.834 , 2.31759 , 2266 , 787 , 0 , 11 , 4978 , 2505 , 0.278 , 17.336 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.93_1_7.svrp , 2 , 618.762 , 609.018 , 9.74461 , 9.74461 , 618.762 , 618.762 , 0 , 609.14 , 1.55506 , 1739 , 376 , 0 , 0 , 414 , 252 , 0.076 , 4.11 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.93_1_7.svrp , 2 , 618.762 , 609.018 , 9.74461 , 9.74461 , 618.762 , 618.762 , 0 , 609.14 , 1.55506 , 2097 , 402 , 0 , 0 , 2812 , 838 , 0.079 , 6.969 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.93_1_7.svrp , 2 , 618.762 , 609.018 , 9.74461 , 9.74461 , 618.762 , 618.762 , 0 , 611.351 , 1.19785 , 916 , 468 , 0 , 15 , 417 , 254 , 0.247 , 5.109 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.93_1_7.svrp , 2 , 618.762 , 609.018 , 9.74461 , 9.74461 , 618.762 , 618.762 , 0 , 611.351 , 1.19785 , 706 , 453 , 0 , 15 , 1283 , 342 , 0.248 , 4.639 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.93_1_8.svrp , 2 , 613.969 , 609.343 , 4.6259 , 4.6259 , 613.969 , 613.969 , 0 , 609.291 , 0.761838 , 208 , 160 , 0 , 0 , 136 , 115 , 0.036 , 0.629 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.93_1_8.svrp , 2 , 613.969 , 609.343 , 4.6259 , 4.6259 , 613.969 , 613.969 , 0 , 609.291 , 0.761838 , 206 , 162 , 0 , 0 , 528 , 378 , 0.039 , 0.759 , 1
