Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-39.svrp , 4 , 589.8 , 535 , 54.8 , 54.8 , 589.8 , 589.8 , 0 , 568.172 , 3.66703 , 95 , 67 , 0 , 62 , 87 , 5 , 13.868 , 14 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 498.8 , 494 , 4.8 , 4.8 , 498.8 , 498.8 , 0 , 490.9 , 1.5838 , 52 , 63 , 0 , 27 , 60 , 43 , 0.009 , 0.067 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 498.8 , 494 , 4.8 , 4.8 , 498.8 , 498.8 , 0 , 490.9 , 1.5838 , 52 , 63 , 0 , 27 , 60 , 43 , 9.004 , 9.061 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-41.svrp , 3 , 548 , 548 , 0 , 0 , 548 , 548 , 0 , 543.517 , 0.81801 , 20 , 157 , 0 , 27 , 4 , 0 , 0.038 , 0.139 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-41.svrp , 3 , 548 , 548 , 0 , 0 , 548 , 548 , 0 , 543.565 , 0.80936 , 14 , 154 , 0 , 20 , 4 , 0 , 124.533 , 124.619 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-42.svrp , 3 , 550.8 , 547 , 3.8 , 3.8 , 550.8 , 550.8 , 0 , 549.5 , 0.23602 , 11 , 108 , 0 , 6 , 6 , 0 , 0.021 , 0.069 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-42.svrp , 3 , 550.8 , 547 , 3.8 , 3.8 , 550.8 , 550.8 , 0 , 549.5 , 0.23602 , 11 , 108 , 0 , 6 , 6 , 0 , 277.084 , 277.129 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-43.svrp , 3 , 573 , 573 , 0 , 0 , 573 , 573 , 0 , 567.5 , 0.95986 , 15 , 134 , 0 , 6 , 7 , 0 , 0.015 , 0.077 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-43.svrp , 3 , 573 , 573 , 0 , 0 , 573 , 573 , 0 , 567.5 , 0.95986 , 15 , 134 , 0 , 6 , 7 , 0 , 126.701 , 126.755 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-44.svrp , 3 , 683 , 683 , 0 , 0 , 683 , 683 , 0 , 672.85 , 1.48609 , 171 , 249 , 0 , 37 , 366 , 3 , 0.035 , 0.508 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-44.svrp , 3 , 683 , 683 , 0 , 0 , 683 , 683 , 0 , 672.85 , 1.48609 , 171 , 249 , 0 , 37 , 366 , 3 , 98.243 , 98.695 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-45.svrp , 3 , 537 , 537 , 0 , 0 , 537 , 537 , 0 , 532.2 , 0.893855 , 30 , 132 , 0 , 8 , 58 , 0 , 0.016 , 0.11 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-45.svrp , 3 , 537 , 537 , 0 , 0 , 537 , 537 , 0 , 532.2 , 0.893855 , 30 , 132 , 0 , 8 , 58 , 0 , 133.248 , 133.337 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-46.svrp , 3 , 526.2 , 523 , 3.2 , 3.2 , 526.2 , 526.2 , 0 , 521.733 , 0.848853 , 8 , 74 , 0 , 11 , 22 , 1 , 0.016 , 0.062 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-46.svrp , 3 , 526.2 , 523 , 3.2 , 3.2 , 526.2 , 526.2 , 0 , 521.733 , 0.848853 , 8 , 74 , 0 , 11 , 22 , 1 , 94.493 , 94.538 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-47.svrp , 3 , 553 , 553 , 0 , 0 , 553 , 553 , 0 , 543.655 , 1.68996 , 35 , 234 , 0 , 11 , 53 , 0 , 0.031 , 0.159 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-47.svrp , 3 , 553 , 553 , 0 , 0 , 553 , 553 , 0 , 543.655 , 1.68996 , 35 , 234 , 0 , 11 , 53 , 0 , 273.323 , 273.443 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-48.svrp , 3 , 508 , 508 , 0 , 0 , 508 , 508 , 0 , 506.5 , 0.295276 , 3 , 129 , 0 , 5 , 24 , 0 , 0.02 , 0.093 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-48.svrp , 3 , 508 , 508 , 0 , 0 , 508 , 508 , 0 , 506.5 , 0.295276 , 3 , 129 , 0 , 5 , 24 , 0 , 110.23 , 110.301 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-49.svrp , 3 , 483 , 483 , 0 , 0 , 483 , 483 , 0 , 479 , 0.828157 , 14 , 91 , 0 , 1 , 49 , 0 , 0.009 , 0.07 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-49.svrp , 3 , 483 , 483 , 0 , 0 , 483 , 483 , 0 , 479 , 0.828157 , 14 , 91 , 0 , 1 , 49 , 0 , 13.384 , 13.443 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-50.svrp , 3 , 452.4 , 438 , 14.4 , 14.4 , 452.4 , 452.4 , 0 , 452.022 , 0.0835053 , 1 , 50 , 0 , 3 , 2 , 0 , 0.008 , 0.023 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-50.svrp , 3 , 452.4 , 438 , 14.4 , 14.4 , 452.4 , 452.4 , 0 , 452.022 , 0.0835053 , 1 , 50 , 0 , 3 , 2 , 0 , 275.567 , 275.581 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-51.svrp , 4 , 635 , 635 , 0 , 0 , 635 , 635 , 0 , 629.211 , 0.911655 , 53 , 407 , 0 , 22 , 85 , 8 , 0.09 , 0.31 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-51.svrp , 4 , 635 , 635 , 0 , 0 , 635 , 635 , 0 , 629.22 , 0.910226 , 57 , 460 , 0 , 25 , 30 , 0 , 395.916 , 396.166 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-52.svrp , 4 , 691.6 , 680 , 11.6 , 11.6 , 691.6 , 691.6 , 0 , 675.795 , 2.28535 , 220 , 284 , 0 , 28 , 373 , 1 , 0.053 , 0.572 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-EXACTSEP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-52.svrp , 4 , 691.6 , 680 , 11.6 , 11.6 , 691.6 , 691.6 , 0 , 675.795 , 2.28535 , 220 , 284 , 0 , 28 , 373 , 1 , 300.061 , 300.576 , 1
