Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-61.svrp , 5 , 628.72 , 594 , 34.72 , 34.72 , 628.72 , 628.72 , 0 , 580.25 , 7.70931 , 53125 , 2516 , 0 , 0 , 2396 , 1700 , 0.013 , 197.922 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-61.svrp , 5 , 628.72 , 594 , 34.72 , 34.72 , 628.72 , 628.72 , 0 , 580.25 , 7.70931 , 65925 , 2573 , 0 , 0 , 198506 , 25162 , 0.018 , 299.536 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-62.svrp , 3 , 500.34 , 484 , 16.34 , 16.34 , 500.34 , 500.34 , 0 , 474.5 , 5.16449 , 868 , 133 , 0 , 0 , 282 , 144 , 0.005 , 0.673 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-62.svrp , 3 , 500.34 , 484 , 16.34 , 16.34 , 500.34 , 500.34 , 0 , 474.5 , 5.16449 , 840 , 135 , 0 , 0 , 1198 , 420 , 0.005 , 0.844 , 1
