Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/B-n39-k5-scen-H666.svrp , 609.31 , 573 , 5.9592 , 0.032 , 1083.03 , 6 , 606 , 3.31 , 3.31 , 3.31 , 609.31 , 609.31 , 0 , 117136 , 3333 , 14.9608 , 6136 , 1.15736 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/ccvrp/B-n39-k5-scen-H666.svrp , 609.31 , 573 , 5.9592 , 0.032 , 959.706 , 6 , 606 , 3.31 , 3.31 , 3.31 , 609.31 , 609.31 , 0 , 102800 , 3427 , 14.2058 , 6147 , 0.983622 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/ccvrp/B-n39-k5-scen-H666.svrp , 609.31 , 583.419 , 4.24926 , 0.043 , 100.15 , 6 , 606 , 3.31 , 3.31 , 3.31 , 609.31 , 609.31 , 0 , 35185 , 931 , 5.90392 , 280 , 0.179774 , 0 , 303 , 0.946201 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/ccvrp/B-n39-k5-scen-H666.svrp , 609.31 , 591.538 , 2.91676 , 1.689 , 24.488 , 6 , 606 , 3.31 , 3.31 , 3.31 , 609.31 , 609.31 , 0 , 12850 , 607 , 2.15357 , 92 , 0.099839 , 0 , 0 , 0 , 263 , 0.309388 , 260 , 0.269618 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 548.167 , 2.93125 , 0.056 , 56.038 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 24174 , 916 , 2.11592 , 792 , 0.373196 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 548.167 , 2.93125 , 0.057 , 38.6 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 14704 , 917 , 1.40283 , 791 , 0.228572 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 556.09 , 1.52819 , 0.045 , 3.585 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 1977 , 524 , 0.284246 , 1 , 0.013235 , 0 , 112 , 0.037164 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 557.859 , 1.21489 , 1.37 , 4.653 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 1612 , 478 , 0.251742 , 12 , 0.014221 , 0 , 0 , 0 , 177 , 0.052028 , 124 , 0.013182 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 832.92 , 686.482 , 17.5812 , 0.278 , 1800.09 , 13 , 783 , 49.92 , 49.92 , 49.92 , 832.92 , 705.806 , 15.2613 , 11616 , 15144 , 6.53758 , 559 , 0.070143 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$ , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 813.35 , 686.482 , 15.5981 , 0.276 , 1800.26 , 13 , 763 , 50.35 , 49.36 , 50.35 , 813.35 , 706.466 , 13.1412 , 12364 , 15388 , 7.82019 , 509 , 0.062067 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 859.92 , 688.864 , 19.8921 , 0.325 , 1800.15 , 13 , 767 , 92.92 , 90.13 , 92.92 , 859.92 , 709.613 , 17.4792 , 9579 , 12462 , 6.63601 , 54 , 0.023219 , 0 , 752 , 0.72594 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 922.89 , 699.825 , 24.1703 , 60.594 , 1800.21 , 13 , 807 , 115.89 , 112.79 , 115.89 , 922.89 , 711.818 , 22.8708 , 12179 , 15993 , 9.60347 , 70 , 0.03701 , 0 , 0 , 0 , 2111 , 0.931398 , 1168 , 0.914773 , 0 , 0
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 762.13 , 672.964 , 11.6996 , 0.345 , 1800.11 , 12 , 736 , 26.13 , 26.13 , 26.13 , 762.13 , 696.338 , 8.63259 , 12639 , 14916 , 8.47931 , 379 , 0.055181 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$ , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 744.91 , 672.964 , 9.65838 , 0.373 , 1800.13 , 12 , 740 , 4.91 , 4.91 , 4.91 , 744.91 , 696.395 , 6.51289 , 14812 , 14983 , 11.6038 , 333 , 0.045598 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 777.48 , 673.123 , 13.4225 , 0.461 , 1800.06 , 12 , 753 , 24.48 , 23.79 , 24.48 , 777.48 , 692.737 , 10.8997 , 10839 , 14437 , 8.27983 , 12 , 0.014527 , 0 , 295 , 0.344962 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 746.57 , 676.972 , 9.32243 , 60.453 , 1800.16 , 12 , 741 , 5.57 , 5.57 , 5.57 , 746.57 , 700.939 , 6.11213 , 14311 , 13894 , 13.6232 , 2 , 0.015967 , 0 , 0 , 0 , 1806 , 1.1792 , 332 , 0.4275 , 0 , 0
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 899.97 , 728.28 , 19.0772 , 0.341 , 1800.12 , 13 , 805 , 94.97 , 94.16 , 94.97 , 899.97 , 745.333 , 17.1824 , 12333 , 14808 , 8.92936 , 517 , 0.076779 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$ , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 942.83 , 728.28 , 22.7559 , 0.343 , 1800.1 , 13 , 824 , 118.83 , 118.35 , 118.83 , 942.83 , 745.057 , 20.9765 , 9699 , 13218 , 5.80513 , 580 , 0.094385 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 1024.09 , 733.865 , 28.3398 , 0.367 , 1800.11 , 13 , 867 , 157.09 , 153.75 , 157.09 , 1024.09 , 753.072 , 26.4642 , 9009 , 12205 , 6.52371 , 47 , 0.019355 , 0 , 806 , 0.807774 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 934.84 , 739.433 , 20.9028 , 60.541 , 1800.15 , 13 , 852 , 82.84 , 81.22 , 82.84 , 934.84 , 757.728 , 18.9457 , 10517 , 13732 , 8.9452 , 59 , 0.026464 , 0 , 0 , 0 , 2531 , 1.06915 , 1186 , 0.956216 , 0 , 0
$\textsc{pr}^*$+$D1$ , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 792.41 , 712.955 , 10.0271 , 0.327 , 1800.14 , 12 , 769 , 23.41 , 23.4 , 23.41 , 792.41 , 733.731 , 7.4051 , 13480 , 13793 , 12.5506 , 268 , 0.039548 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$ , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 796.8 , 712.955 , 10.5228 , 0.361 , 1800.06 , 12 , 769 , 27.8 , 27.8 , 27.8 , 796.8 , 733.326 , 7.96609 , 13387 , 14588 , 12.0616 , 259 , 0.04968 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 790.77 , 713.408 , 9.78316 , 0.331 , 1800.13 , 12 , 774 , 16.77 , 16.76 , 16.77 , 790.77 , 736.113 , 6.91186 , 15630 , 13814 , 15.3773 , 26 , 0.020688 , 0 , 206 , 0.924878 , 0 , 0 , 0 , 0 , 0 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 790.64 , 719.146 , 9.04258 , 60.451 , 1800.12 , 12 , 769 , 21.64 , 21.63 , 21.64 , 790.64 , 736.011 , 6.90953 , 14067 , 12814 , 15.6971 , 15 , 0.021782 , 0 , 0 , 0 , 2050 , 1.74625 , 320 , 0.646166 , 0 , 0
