Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/60_3_0.90_1_9.svrp , 732.81 , 715.05 , 2.42355 , 0.095 , 45.311 , 3 , 723 , 9.81 , 9.81 , 9.81 , 732.81 , 732.81 , 0 , 4343 , 1141 , 1.18046 , 95 , 0.012091 , 0 , 240 , 0.689968 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/60_3_0.90_1_9.svrp , 732.81 , 717.547 , 2.08283 , 1.29 , 25.043 , 3 , 723 , 9.81 , 9.81 , 9.81 , 732.81 , 732.81 , 0 , 2733 , 850 , 0.876208 , 82 , 0.009663 , 0 , 0 , 0 , 220 , 0.122683 , 264 , 0.423267 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.85_1_0.svrp , 705.64 , 697 , 1.22442 , 0.098 , 12.734 , 3 , 704 , 1.64 , 1.64 , 1.64 , 705.64 , 705.64 , 0 , 1389 , 648 , 0.40062 , 176 , 0.022698 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k3/70_3_0.85_1_0.svrp , 705.64 , 697 , 1.22442 , 0.096 , 19.592 , 3 , 704 , 1.64 , 1.64 , 1.64 , 705.64 , 705.64 , 0 , 1937 , 804 , 0.532287 , 152 , 0.019179 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/70_3_0.85_1_0.svrp , 705.64 , 696.946 , 1.23201 , 0.1 , 20.471 , 3 , 704 , 1.64 , 1.64 , 1.64 , 705.64 , 705.64 , 0 , 797 , 776 , 0.278401 , 25 , 0.005412 , 0 , 60 , 0.050496 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/70_3_0.85_1_0.svrp , 705.64 , 700.551 , 0.721232 , 4.058 , 7.541 , 3 , 704 , 1.64 , 1.64 , 1.64 , 705.64 , 705.64 , 0 , 109 , 255 , 0.953183 , 1 , 0.00037 , 0 , 0 , 0 , 345 , 0.917887 , 68 , 0.007654 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.85_1_1.svrp , 785.99 , 764.5 , 2.73413 , 0.114 , 239.315 , 3 , 781 , 4.99 , 4.99 , 4.99 , 785.99 , 785.99 , 0 , 10470 , 2659 , 2.47396 , 2313 , 0.259456 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k3/70_3_0.85_1_1.svrp , 785.99 , 764.5 , 2.73413 , 0.118 , 324.317 , 3 , 781 , 4.99 , 4.99 , 4.99 , 785.99 , 785.99 , 0 , 14747 , 2817 , 3.81645 , 2808 , 0.325246 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/70_3_0.85_1_1.svrp , 785.99 , 764.5 , 2.73413 , 0.101 , 56.523 , 3 , 781 , 4.99 , 4.99 , 4.99 , 785.99 , 785.99 , 0 , 2294 , 1326 , 0.778999 , 80 , 0.013981 , 0 , 122 , 0.142834 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/70_3_0.85_1_1.svrp , 785.99 , 769.448 , 2.10459 , 2.488 , 26.052 , 3 , 781 , 4.99 , 4.99 , 4.99 , 785.99 , 785.99 , 0 , 1438 , 890 , 0.911227 , 47 , 0.007073 , 0 , 0 , 0 , 239 , 0.408435 , 104 , 0.028416 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.85_1_2.svrp , 705.55 , 693.25 , 1.74332 , 0.075 , 7.629 , 3 , 701 , 4.55 , 4.15 , 4.55 , 705.55 , 705.55 , 0 , 1903 , 273 , 0.219923 , 906 , 0.106344 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k3/70_3_0.85_1_2.svrp , 705.55 , 693.25 , 1.74332 , 0.077 , 13.095 , 3 , 701 , 4.55 , 4.15 , 4.55 , 705.55 , 705.55 , 0 , 1824 , 328 , 0.22018 , 864 , 0.108267 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/70_3_0.85_1_2.svrp , 705.55 , 693.25 , 1.74332 , 0.068 , 5.687 , 3 , 701 , 4.55 , 4.15 , 4.55 , 705.55 , 705.55 , 0 , 669 , 281 , 0.124381 , 178 , 0.022072 , 0 , 39 , 0.064068 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/70_3_0.85_1_2.svrp , 705.55 , 698.15 , 1.04883 , 2.672 , 4.58 , 3 , 701 , 4.55 , 4.15 , 4.55 , 705.55 , 705.55 , 0 , 212 , 201 , 0.182105 , 65 , 0.006193 , 0 , 0 , 0 , 337 , 0.170581 , 46 , 0.016391 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.85_1_3.svrp , 723.25 , 712.833 , 1.44026 , 0.087 , 7.58 , 3 , 718 , 5.25 , 4.73 , 5.25 , 723.25 , 723.25 , 0 , 949 , 413 , 0.146386 , 317 , 0.036161 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k3/70_3_0.85_1_3.svrp , 723.25 , 712.833 , 1.44026 , 0.088 , 11.745 , 3 , 718 , 5.25 , 4.73 , 5.25 , 723.25 , 723.25 , 9.54394e-09 , 1456 , 383 , 0.194671 , 352 , 0.048492 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/70_3_0.85_1_3.svrp , 723.25 , 714 , 1.27895 , 0.074 , 11.681 , 3 , 718 , 5.25 , 4.73 , 5.25 , 723.25 , 723.25 , 0 , 656 , 524 , 0.259229 , 19 , 0.003242 , 0 , 33 , 0.039475 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/70_3_0.85_1_3.svrp , 723.25 , 717.22 , 0.833737 , 0.813 , 1.994 , 3 , 718 , 5.25 , 4.73 , 5.25 , 723.25 , 723.25 , 0 , 274 , 239 , 0.159545 , 28 , 0.004544 , 0 , 0 , 0 , 72 , 0.102355 , 55 , 0.013547 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.85_1_4.svrp , 737.42 , 729.75 , 1.04011 , 0.17 , 9.948 , 3 , 736 , 1.42 , 1.42 , 1.42 , 737.42 , 737.42 , 0 , 1023 , 431 , 0.177416 , 237 , 0.033995 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k3/70_3_0.85_1_4.svrp , 737.42 , 729.75 , 1.04011 , 0.17 , 13.969 , 3 , 736 , 1.42 , 1.42 , 1.42 , 737.42 , 737.42 , 0 , 1214 , 590 , 0.26377 , 262 , 0.032192 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/70_3_0.85_1_4.svrp , 737.42 , 729.81 , 1.03198 , 0.176 , 1.95 , 3 , 736 , 1.42 , 1.42 , 1.42 , 737.42 , 737.42 , 0 , 300 , 291 , 0.07875 , 48 , 0.006305 , 0 , 35 , 0.068973 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/70_3_0.85_1_4.svrp , 737.42 , 732.09 , 0.72279 , 21.268 , 24.216 , 3 , 736 , 1.42 , 1.42 , 1.42 , 737.42 , 737.42 , 0 , 120 , 233 , 1.43318 , 26 , 0.003976 , 0 , 0 , 0 , 1120 , 2.00572 , 103 , 0.045651 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.85_1_5.svrp , 750.35 , 739.125 , 1.49597 , 0.211 , 9.957 , 3 , 748 , 2.35 , 2.35 , 2.35 , 750.35 , 750.35 , 0 , 1144 , 691 , 0.430365 , 145 , 0.017658 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k3/70_3_0.85_1_5.svrp , 750.35 , 739.125 , 1.49597 , 0.21 , 6.057 , 3 , 748 , 2.35 , 2.35 , 2.35 , 750.35 , 750.35 , 0 , 1109 , 600 , 0.310868 , 89 , 0.010091 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/70_3_0.85_1_5.svrp , 750.35 , 739.125 , 1.49597 , 0.196 , 12.311 , 3 , 748 , 2.35 , 2.35 , 2.35 , 750.35 , 750.35 , 0 , 691 , 582 , 0.272203 , 49 , 0.006318 , 0 , 58 , 0.046174 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/70_3_0.85_1_5.svrp , 750.35 , 740.18 , 1.35534 , 1.005 , 3.523 , 3 , 748 , 2.35 , 2.35 , 2.35 , 750.35 , 750.35 , 0 , 231 , 317 , 0.216413 , 34 , 0.004639 , 0 , 0 , 0 , 59 , 0.082436 , 38 , 0.010543 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.85_1_6.svrp , 731.14 , 720.5 , 1.45526 , 0.068 , 0.931 , 3 , 729 , 2.14 , 1.94 , 2.14 , 731.14 , 731.14 , 0 , 220 , 151 , 0.039766 , 49 , 0.008553 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k3/70_3_0.85_1_6.svrp , 731.14 , 720.5 , 1.45526 , 0.067 , 0.956 , 3 , 729 , 2.14 , 1.94 , 2.14 , 731.14 , 731.14 , 0 , 264 , 184 , 0.062474 , 51 , 0.007698 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/70_3_0.85_1_6.svrp , 731.14 , 720.5 , 1.45526 , 0.107 , 12.625 , 3 , 729 , 2.14 , 1.94 , 2.14 , 731.14 , 731.14 , 0 , 609 , 525 , 0.170427 , 40 , 0.007229 , 0 , 35 , 0.049575 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/70_3_0.85_1_6.svrp , 731.14 , 722.355 , 1.20155 , 0.888 , 1.969 , 3 , 729 , 2.14 , 1.94 , 2.14 , 731.14 , 731.14 , 0 , 1 , 166 , 0.038069 , 3 , 0.001346 , 0 , 0 , 0 , 142 , 0.01907 , 26 , 0.004954 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.85_1_7.svrp , 799.61 , 787.5 , 1.51449 , 0.086 , 6.379 , 3 , 795 , 4.61 , 4.33 , 4.61 , 799.61 , 799.61 , 0 , 1008 , 367 , 0.167773 , 139 , 0.025488 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k3/70_3_0.85_1_7.svrp , 799.61 , 787.5 , 1.51449 , 0.088 , 6.257 , 3 , 795 , 4.61 , 4.33 , 4.61 , 799.61 , 799.61 , 0 , 1024 , 369 , 0.137869 , 142 , 0.031557 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/70_3_0.85_1_7.svrp , 799.61 , 787.5 , 1.51449 , 0.123 , 2.973 , 3 , 795 , 4.61 , 4.33 , 4.61 , 799.61 , 799.61 , 0 , 217 , 304 , 0.067248 , 31 , 0.005226 , 0 , 14 , 0.019444 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/70_3_0.85_1_7.svrp , 799.61 , 789.154 , 1.30761 , 1.21 , 3.464 , 3 , 795 , 4.61 , 4.33 , 4.61 , 799.61 , 799.61 , 0 , 240 , 254 , 0.240575 , 31 , 0.003764 , 0 , 0 , 0 , 111 , 0.144813 , 52 , 0.012439 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.85_1_8.svrp , 761.96 , 731.75 , 3.96478 , 0.126 , 463.935 , 3 , 753 , 8.96 , 8.96 , 8.96 , 761.96 , 761.96 , 0 , 26865 , 3947 , 5.93048 , 2391 , 0.278967 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$ , ./data/Jabali/k3/70_3_0.85_1_8.svrp , 761.96 , 731.75 , 3.96478 , 0.131 , 768.333 , 3 , 753 , 8.96 , 8.96 , 8.96 , 761.96 , 761.96 , 0 , 28943 , 4241 , 6.77305 , 2156 , 0.309948 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{set} , ./data/Jabali/k3/70_3_0.85_1_8.svrp , 761.96 , 734.029 , 3.66574 , 0.181 , 229.531 , 3 , 753 , 8.96 , 8.96 , 8.96 , 761.96 , 761.96 , 0 , 9613 , 2545 , 3.15088 , 147 , 0.04171 , 0 , 186 , 0.487907 , 0 , 0 , 0 , 0 , 1 , 0
$\textsc{pr}^*$+$D2$+\textsc{sri} , ./data/Jabali/k3/70_3_0.85_1_8.svrp , 761.96 , 739.781 , 2.9108 , 60.397 , 299.488 , 3 , 753 , 8.96 , 8.96 , 8.96 , 761.96 , 761.96 , 0 , 8332 , 2269 , 4.06725 , 111 , 0.040336 , 0 , 0 , 0 , 1818 , 1.75354 , 229 , 0.207993 , 1 , 0
$\textsc{pr}^*$+$D1$ , ./data/Jabali/k3/70_3_0.85_1_9.svrp , 705.65 , 703.302 , 0.332808 , 0.207 , 1.343 , 3 , 701 , 4.65 , 4.17 , 4.65 , 705.65 , 705.65 , 0 , 1 , 196 , 0.030041 , 32 , 0.004 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
