Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.83 , 485 , 44.83 , 44.83 , 529.83 , 529.83 , 0 , 508.03 , 4.11453 , 181 , 88 , 25 , 758 , 0 , 0 , 0.015 , 0.334 , 1
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.83 , 485 , 44.83 , 44.83 , 529.83 , 529.83 , 0 , 487 , 8.08372 , 2300 , 253 , 910 , 0 , 0 , 0 , 0.005 , 2.018 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.83 , 485 , 44.83 , 44.83 , 529.83 , 529.83 , 0 , 488.2 , 7.85724 , 1100 , 215 , 0 , 0 , 2746 , 869 , 0.005 , 0.606 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.83 , 485 , 44.83 , 44.83 , 529.83 , 529.83 , 0 , 502.61 , 5.1375 , 306 , 132 , 44 , 18 , 0 , 0 , 0.007 , 0.225 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-31.svrp , 4 , 529.83 , 485 , 44.83 , 44.83 , 529.83 , 529.83 , 0 , 503.39 , 4.99028 , 284 , 111 , 0 , 36 , 523 , 203 , 0.008 , 0.236 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 738.54 , 719 , 19.54 , 19.54 , 738.54 , 738.54 , 0 , 722.633 , 2.15384 , 185 , 47 , 10 , 3533 , 0 , 0 , 0.034 , 1.27 , 1
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 738.54 , 719 , 19.54 , 19.54 , 738.54 , 738.54 , 0 , 700 , 5.2184 , 14263 , 617 , 4628 , 0 , 0 , 0 , 0.002 , 37.946 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 738.54 , 719 , 19.54 , 19.54 , 738.54 , 738.54 , 0 , 700 , 5.2184 , 4783 , 517 , 0 , 0 , 9494 , 2752 , 0.003 , 3.699 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 738.54 , 719 , 19.54 , 19.54 , 738.54 , 738.54 , 0 , 718.92 , 2.65659 , 304 , 86 , 21 , 120 , 0 , 0 , 0.01 , 0.258 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-32.svrp , 4 , 738.54 , 719 , 19.54 , 19.54 , 738.54 , 738.54 , 0 , 718.92 , 2.65659 , 521 , 66 , 0 , 147 , 688 , 104 , 0.01 , 0.439 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 649.94 , 605 , 44.94 , 44.94 , 649.94 , 649.94 , 0 , 634.257 , 2.41292 , 334 , 71 , 43 , 1150 , 0 , 0 , 0.021 , 0.691 , 1
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 649.94 , 605 , 44.94 , 44.94 , 649.94 , 623 , 4.145 , 577.17 , 11.1964 , 36107 , 817 , 20750 , 0 , 0 , 0 , 0.005 , 600.047 , 0
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 649.94 , 605 , 44.94 , 44.94 , 649.94 , 649.94 , 0 , 580.84 , 10.6318 , 2727 , 478 , 0 , 0 , 9032 , 1810 , 0.007 , 2.347 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-33.svrp , 4 , 649.94 , 605 , 44.94 , 44.94 , 649.94 , 649.94 , 0 , 614.36 , 5.47435 , 430 , 134 , 81 , 54 , 0 , 0 , 0.008 , 0.331 , 1
