Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-61.svrp , 5 , 628.72 , 594 , 34.72 , 34.72 , 628.72 , 622.544 , 0.982245 , 597.562 , 4.95577 , 11610 , 557 , 2161 , 14858 , 0 , 0 , 0.098 , 600.064 , 0
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-61.svrp , 5 , 628.72 , 594 , 34.72 , 34.72 , 628.72 , 598.5 , 4.80659 , 580.25 , 7.70931 , 32462 , 1461 , 14083 , 0 , 0 , 0 , 0.018 , 600.079 , 0
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-61.svrp , 5 , 628.72 , 594 , 34.72 , 34.72 , 628.72 , 628.72 , 0 , 580.25 , 7.70931 , 56062 , 2803 , 0 , 0 , 174968 , 21083 , 0.016 , 251.233 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-61.svrp , 5 , 628.72 , 594 , 34.72 , 34.72 , 628.72 , 628.72 , 0 , 591.118 , 5.98072 , 45160 , 809 , 8438 , 561 , 0 , 0 , 0.028 , 446.64 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-61.svrp , 5 , 628.72 , 594 , 34.72 , 34.72 , 628.72 , 628.72 , 0 , 591.118 , 5.98072 , 8429 , 667 , 0 , 446 , 21495 , 1719 , 0.031 , 19.817 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-62.svrp , 3 , 500.34 , 484 , 16.34 , 16.34 , 500.34 , 500.34 , 0 , 489.72 , 2.12256 , 82 , 65 , 16 , 743 , 0 , 0 , 0.042 , 0.476 , 1
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-62.svrp , 3 , 500.34 , 484 , 16.34 , 16.34 , 500.34 , 500.34 , 0 , 474.5 , 5.16449 , 7292 , 201 , 2742 , 0 , 0 , 0 , 0.005 , 17.043 , 1
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-62.svrp , 3 , 500.34 , 484 , 16.34 , 16.34 , 500.34 , 500.34 , 0 , 474.58 , 5.1485 , 1180 , 163 , 0 , 0 , 2015 , 820 , 0.006 , 0.962 , 1
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-62.svrp , 3 , 500.34 , 484 , 16.34 , 16.34 , 500.34 , 500.34 , 0 , 484.07 , 3.25179 , 769 , 130 , 94 , 63 , 0 , 0 , 0.011 , 0.6 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-62.svrp , 3 , 500.34 , 484 , 16.34 , 16.34 , 500.34 , 500.34 , 0 , 484.07 , 3.25179 , 262 , 79 , 0 , 29 , 182 , 68 , 0.011 , 0.234 , 1
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-63.svrp , 5 , 666.91 , 596 , 70.91 , 70.91 , 666.91 , 660.33 , 0.986639 , 628.98 , 5.68742 , 14528 , 814 , 2659 , 11264 , 0 , 0 , 0.092 , 600.029 , 0
VRP-Gendreau-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-63.svrp , 5 , 666.91 , 596 , 70.91 , 70.91 , 666.91 , 602.5 , 9.65797 , 591.25 , 11.3449 , 28591 , 1471 , 13163 , 0 , 0 , 0 , 0.018 , 600.067 , 0
VRP-PARTIAL_ROUTE-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-63.svrp , 5 , 669.61 , 595 , 74.61 , 74.55 , 669.61 , 648.33 , 3.17797 , 592.84 , 11.4649 , 67853 , 4461 , 0 , 0 , 258482 , 26331 , 0.014 , 600.065 , 0
VRP-Gendreau-SCEN_CUTS-NODE , ../Tina/RI-Instances/RI3/RI-NEW-n25-LB0-UB20-V10-scen200-63.svrp , 5 , 666.91 , 596 , 70.91 , 70.91 , 666.91 , 666.91 , 0 , 612.873 , 8.10265 , 17241 , 907 , 3010 , 368 , 0 , 0 , 0.021 , 71.539 , 1
