Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_0.svrp , 4 , 733.428 , 710.503 , 22.9257 , 22.3823 , 22.9257 , 733.428 , 733.428 , 0 , 707.892 , 3.48178 , 32550 , 3066 , 0 , 0 , 71514 , 25853 , 0.028 , 208.472 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_0.svrp , 4 , 733.428 , 710.503 , 22.9257 , 22.3823 , 22.9257 , 733.428 , 733.428 , 0 , 717.102 , 2.22596 , 2387 , 1220 , 0 , 431 , 7020 , 2055 , 0.553 , 13.622 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_1.svrp , 4 , 737.958 , 719.342 , 18.6154 , 18.0865 , 18.6154 , 737.958 , 737.958 , 0 , 703.458 , 4.67501 , 16465 , 2575 , 0 , 0 , 52124 , 7868 , 0.026 , 102.628 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_1.svrp , 4 , 737.958 , 719.342 , 18.6154 , 18.0865 , 18.6154 , 737.958 , 737.958 , 0 , 712.582 , 3.43862 , 2209 , 1542 , 0 , 229 , 6303 , 2471 , 0.818 , 17.396 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_2.svrp , 4 , 636.306 , 622.265 , 14.041 , 13.1338 , 14.041 , 636.306 , 636.306 , 0 , 615.671 , 3.24297 , 2790 , 1037 , 0 , 0 , 10695 , 2370 , 0.06 , 12.979 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_2.svrp , 4 , 636.306 , 622.265 , 14.041 , 13.1338 , 14.041 , 636.306 , 636.306 , 0 , 621.082 , 2.39258 , 909 , 1022 , 0 , 193 , 2582 , 615 , 2.16 , 10.611 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_3.svrp , 4 , 741.058 , 712.977 , 28.0813 , 27.4021 , 28.0813 , 741.058 , 720.43 , 2.7836 , 694.206 , 6.32235 , 25183 , 6687 , 0 , 0 , 109982 , 8580 , 0.032 , 600.04 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_3.svrp , 4 , 736.553 , 718.677 , 17.8763 , 16.5793 , 17.8763 , 736.553 , 736.553 , 0 , 703.924 , 4.43008 , 10766 , 3162 , 0 , 478 , 32174 , 2733 , 0.636 , 119.176 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_4.svrp , 4 , 644.86 , 621.317 , 23.5429 , 23.4611 , 23.5429 , 644.86 , 644.86 , 0 , 623.514 , 3.31022 , 2031 , 624 , 0 , 0 , 8468 , 604 , 0.021 , 5.381 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_4.svrp , 4 , 644.86 , 621.317 , 23.5429 , 23.4611 , 23.5429 , 644.86 , 644.86 , 0 , 638.192 , 1.03398 , 280 , 477 , 0 , 98 , 826 , 669 , 0.611 , 1.816 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_5.svrp , 4 , 725.63 , 710.272 , 15.3581 , 15.3581 , 15.3581 , 725.63 , 725.63 , 0 , 705.523 , 2.77102 , 13645 , 2286 , 0 , 0 , 36093 , 6992 , 0.017 , 92.566 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_5.svrp , 4 , 725.63 , 710.272 , 15.3581 , 15.3581 , 15.3581 , 725.63 , 725.63 , 0 , 716.205 , 1.2989 , 358 , 448 , 0 , 158 , 509 , 383 , 0.754 , 2.118 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_6.svrp , 4 , 687.024 , 676.064 , 10.9606 , 10.9348 , 10.9606 , 687.024 , 687.024 , 0 , 663.125 , 3.4787 , 24546 , 2353 , 0 , 0 , 94370 , 23764 , 0.039 , 174.588 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_6.svrp , 4 , 687.024 , 676.064 , 10.9606 , 10.9348 , 10.9606 , 687.024 , 687.024 , 0 , 670.237 , 2.44349 , 2150 , 867 , 0 , 234 , 7108 , 2134 , 0.971 , 10.952 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_7.svrp , 4 , 687.323 , 669.898 , 17.4252 , 17.3713 , 17.4252 , 687.323 , 666.081 , 3.09058 , 643.915 , 6.31556 , 28028 , 5239 , 0 , 0 , 103060 , 34775 , 0.038 , 600.022 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_7.svrp , 4 , 685.739 , 668.625 , 17.1142 , 17.0603 , 17.1142 , 685.739 , 685.739 , 0 , 659.073 , 3.88862 , 3924 , 1467 , 0 , 533 , 10331 , 6114 , 0.393 , 28.185 , 1
