Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_8.svrp , 4 , 691.404 , 660.097 , 31.3067 , 30.3545 , 31.3067 , 691.404 , 691.404 , 0 , 673.52 , 2.58669 , 1352 , 444 , 0 , 86 , 4907 , 343 , 0.336 , 3.819 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_9.svrp , 4 , 686.018 , 670.65 , 15.3681 , 14.6538 , 15.3681 , 686.018 , 686.018 , 0 , 660.253 , 3.75567 , 9386 , 1702 , 0 , 0 , 34800 , 15524 , 0.034 , 59.247 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/40_4_0.85_1_9.svrp , 4 , 686.018 , 670.65 , 15.3681 , 14.6538 , 15.3681 , 686.018 , 686.018 , 0 , 674.278 , 1.71133 , 949 , 543 , 0 , 192 , 4319 , 1866 , 0.655 , 4.683 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_0.svrp , 4 , 748.357 , 735.799 , 12.5571 , 11.1553 , 12.5571 , 748.357 , 748.357 , 0 , 727.204 , 2.82653 , 7416 , 1627 , 0 , 0 , 29315 , 2520 , 0.065 , 56.61 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_0.svrp , 4 , 748.357 , 735.799 , 12.5571 , 11.1553 , 12.5571 , 748.357 , 748.357 , 0 , 734.836 , 1.80675 , 889 , 723 , 0 , 192 , 3839 , 560 , 0.939 , 11.129 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_1.svrp , 4 , 789.276 , 774.373 , 14.9032 , 14.3994 , 14.9032 , 789.276 , 747.239 , 5.32609 , 728.006 , 7.76281 , 13737 , 7988 , 0 , 0 , 56097 , 9609 , 0.087 , 600.055 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_1.svrp , 4 , 774.974 , 766.395 , 8.57933 , 7.13333 , 8.57933 , 774.974 , 757.489 , 2.2563 , 736.048 , 5.02293 , 17853 , 7971 , 0 , 3244 , 40423 , 6615 , 1.784 , 600.038 , 0
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_2.svrp , 4 , 720.362 , 713.218 , 7.14375 , 7.14375 , 7.14375 , 720.362 , 720.362 , 0 , 701.836 , 2.57174 , 2037 , 1377 , 0 , 0 , 7354 , 2659 , 0.064 , 17.001 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_2.svrp , 4 , 720.362 , 713.218 , 7.14375 , 7.14375 , 7.14375 , 720.362 , 720.362 , 0 , 710.472 , 1.37282 , 368 , 557 , 0 , 111 , 707 , 111 , 2.138 , 4.94 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ./instances/Jabali/50_4_0.85_1_3.svrp , 4 , 732.471 , 709.493 , 22.9788 , 22.9616 , 22.9788 , 732.471 , 712.196 , 2.76804 , 691.901 , 5.53878 , 15856 , 7271 , 0 , 0 , 59423 , 13870 , 0.153 , 600.093 , 0
