Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 789.65 , 591.61 , 25.0794 , 0.013 , 1000.1 , 4 , 647 , 142.65 , 133.88 , 142.65 , 789.65 , 646.712 , 18.1014 , 35569 , 2124 , 6.36365 , 6652 , 1.51346 , 0 , 4713 , 3.58161 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.4 , 685.889 , 6.35054 , 60.075 , 1000.11 , 4 , 722 , 10.4 , 10.03 , 10.4 , 732.4 , 719.364 , 1.77997 , 143695 , 783 , 20.0922 , 1333 , 0.317865 , 0 , 0 , 0 , 3248 , 0.255233 , 1454 , 19.0981 , 0
SRI2 , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 733.92 , 685.9 , 6.54297 , 60.196 , 1000.07 , 4 , 665 , 68.92 , 63.43 , 68.92 , 733.92 , 722.143 , 1.60467 , 103707 , 882 , 14.026 , 2332 , 30.5881 , 0 , 0 , 0 , 3303 , 0.258902 , 1749 , 13.9857 , 0
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.4 , 685.892 , 6.35012 , 60.137 , 1000.09 , 4 , 722 , 10.4 , 10.03 , 10.4 , 732.4 , 728.679 , 0.508076 , 117174 , 572 , 14.6744 , 1589 , 26.325 , 0 , 0 , 0 , 3267 , 0.277869 , 1552 , 48.3851 , 0
ILS , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 690.56 , 555.072 , 19.62 , 0.024 , 1000.11 , 4 , 545 , 145.56 , 127.9 , 145.56 , 690.56 , 589.401 , 14.6489 , 31819 , 1203 , 6.11242 , 5585 , 1.35916 , 0 , 4185 , 3.26075 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.47 , 608.116 , 7.50659 , 60.107 , 868.375 , 4 , 646 , 11.47 , 11.36 , 11.47 , 657.47 , 657.47 , 0 , 120103 , 499 , 10.9622 , 2116 , 0.544043 , 0 , 0 , 0 , 2158 , 0.323966 , 1149 , 13.5297 , 1
SRI2 , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.47 , 608.115 , 7.50684 , 60.081 , 838.223 , 4 , 646 , 11.47 , 11.36 , 11.47 , 657.47 , 657.47 , 0 , 103153 , 545 , 11.9528 , 2450 , 29.0626 , 0 , 0 , 0 , 2153 , 0.324281 , 1335 , 13.3632 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.47 , 611.548 , 6.98467 , 60.108 , 1000.1 , 4 , 646 , 11.47 , 11.36 , 11.47 , 657.47 , 650.315 , 1.08826 , 173020 , 570 , 22.3048 , 574 , 5.292 , 0 , 0 , 0 , 2139 , 0.388443 , 1591 , 70.6168 , 0
ILS , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 731.64 , 582.059 , 20.4446 , 0.015 , 1000.11 , 4 , 650 , 81.64 , 72.23 , 81.64 , 731.64 , 634.076 , 13.335 , 30386 , 864 , 5.06986 , 9947 , 2.41587 , 0 , 3730 , 3.09723 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 696.48 , 654.036 , 6.09411 , 60.174 , 1000.08 , 4 , 673 , 23.48 , 22.34 , 23.48 , 696.48 , 694.197 , 0.32775 , 104758 , 555 , 9.50787 , 7553 , 2.35108 , 0 , 0 , 0 , 3353 , 0.188972 , 768 , 12.4242 , 0
SRI2 , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 696.48 , 654.032 , 6.09464 , 60.274 , 920.375 , 4 , 673 , 23.48 , 22.34 , 23.48 , 696.48 , 696.48 , 0 , 73020 , 551 , 7.33209 , 7924 , 205.376 , 0 , 0 , 0 , 3313 , 0.191694 , 658 , 9.6411 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 696.48 , 654.154 , 6.0772 , 60.187 , 1000.12 , 4 , 673 , 23.48 , 22.34 , 23.48 , 696.48 , 690.153 , 0.908364 , 114396 , 509 , 12.7164 , 4560 , 105.889 , 0 , 0 , 0 , 3313 , 0.187435 , 640 , 51.9973 , 0
ILS , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 603.88 , 527.063 , 12.7206 , 0.018 , 1000.09 , 4 , 589 , 14.88 , 14.65 , 14.88 , 603.88 , 562.588 , 6.83783 , 40516 , 1679 , 7.08055 , 5381 , 1.63208 , 0 , 3257 , 3.83558 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 596.75 , 561.873 , 5.84447 , 60.466 , 85.438 , 4 , 591 , 5.75 , 5.66 , 5.75 , 596.75 , 596.75 , 0 , 9543 , 245 , 0.825291 , 560 , 0.169248 , 0 , 0 , 0 , 2150 , 0.145971 , 370 , 1.10391 , 1
