Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 718.04 , 585.011 , 18.5266 , 0.014 , 1000.09 , 3 , 713 , 5.04 , 4.6 , 5.04 , 718.04 , 621.857 , 13.3952 , 19946 , 1080 , 4.5222 , 8260 , 2.35611 , 0 , 3692 , 3.76768 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 666.14 , 635.316 , 4.62725 , 60.059 , 353.089 , 3 , 658 , 8.14 , 8.14 , 8.14 , 666.14 , 666.14 , 0 , 21359 , 660 , 4.74327 , 1729 , 0.544171 , 0 , 0 , 0 , 2704 , 0.340684 , 1227 , 5.30243 , 1
SRI2 , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 666.14 , 635.324 , 4.62609 , 60.297 , 495.072 , 3 , 658 , 8.14 , 8.14 , 8.14 , 666.14 , 666.14 , 0 , 19568 , 805 , 4.5771 , 2020 , 55.5627 , 0 , 0 , 0 , 2757 , 0.34796 , 1459 , 5.87502 , 1
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 666.14 , 635.339 , 4.62373 , 60.225 , 137.186 , 3 , 658 , 8.14 , 8.14 , 8.14 , 666.14 , 666.14 , 0 , 8914 , 376 , 2.22968 , 375 , 8.66407 , 0 , 0 , 0 , 2889 , 0.365098 , 722 , 6.76095 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 684.67 , 601.304 , 12.1761 , 0.021 , 1000.11 , 3 , 566 , 118.67 , 110.96 , 118.67 , 684.67 , 627.202 , 8.39349 , 27707 , 1173 , 4.62724 , 6823 , 1.9447 , 0 , 2966 , 5.1373 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 657.64 , 628.991 , 4.35635 , 60.266 , 101.444 , 3 , 650 , 7.64 , 7.64 , 7.64 , 657.64 , 657.64 , 0 , 10060 , 266 , 1.31851 , 477 , 0.152986 , 0 , 0 , 0 , 2269 , 0.352581 , 554 , 2.26695 , 1
SRI2 , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 657.64 , 628.969 , 4.35975 , 60.148 , 151.628 , 3 , 650 , 7.64 , 7.64 , 7.64 , 657.64 , 657.64 , 0 , 13048 , 338 , 1.90788 , 627 , 16.4172 , 0 , 0 , 0 , 2202 , 0.345151 , 647 , 3.00882 , 1
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 657.64 , 636.46 , 3.22064 , 60.283 , 84.063 , 3 , 650 , 7.64 , 7.64 , 7.64 , 657.64 , 657.64 , 0 , 4000 , 179 , 0.624339 , 216 , 4.79339 , 0 , 0 , 0 , 2250 , 0.350109 , 402 , 3.0407 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 665.84 , 593.923 , 10.801 , 0.025 , 1000.19 , 3 , 653 , 12.84 , 10.51 , 12.84 , 665.84 , 621.733 , 6.62431 , 25405 , 662 , 6.29583 , 3595 , 0.918755 , 0 , 3166 , 4.75369 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 661.37 , 640.988 , 3.08177 , 60.047 , 168.809 , 3 , 652 , 9.37 , 8.54 , 9.37 , 661.37 , 661.37 , 0 , 24668 , 296 , 3.43852 , 916 , 0.281466 , 0 , 0 , 0 , 2821 , 0.514519 , 615 , 5.23123 , 1
SRI2 , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 661.37 , 640.988 , 3.08172 , 60.048 , 167.751 , 3 , 652 , 9.37 , 8.54 , 9.37 , 661.37 , 661.37 , 0 , 21200 , 294 , 2.58148 , 1128 , 29.0571 , 0 , 0 , 0 , 2841 , 0.519597 , 600 , 4.44485 , 1
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 661.37 , 640.988 , 3.0818 , 60.195 , 117.026 , 3 , 652 , 9.37 , 8.54 , 9.37 , 661.37 , 661.37 , 0 , 9984 , 245 , 1.37609 , 686 , 15.2178 , 0 , 0 , 0 , 2801 , 0.534747 , 554 , 7.14679 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 673.98 , 613.75 , 8.93647 , 0.021 , 1000.07 , 3 , 666 , 7.98 , 7.59 , 7.98 , 673.98 , 657.194 , 2.49051 , 37308 , 821 , 7.2192 , 3184 , 0.994447 , 0 , 2829 , 5.85547 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 673.98 , 664.204 , 1.45049 , 60.093 , 67.699 , 3 , 666 , 7.98 , 7.59 , 7.98 , 673.98 , 673.98 , 0 , 3140 , 200 , 0.502804 , 163 , 0.061363 , 0 , 0 , 0 , 3467 , 0.331629 , 227 , 0.779131 , 1
SRI2 , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 673.98 , 664.168 , 1.45582 , 60.14 , 66.568 , 3 , 666 , 7.98 , 7.59 , 7.98 , 673.98 , 673.98 , 0 , 1683 , 176 , 0.338198 , 107 , 2.82687 , 0 , 0 , 0 , 3437 , 0.3289 , 194 , 0.428683 , 1
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 673.98 , 664.204 , 1.45049 , 60.15 , 81.353 , 3 , 666 , 7.98 , 7.59 , 7.98 , 673.98 , 673.98 , 0 , 2371 , 253 , 0.487638 , 368 , 9.03859 , 0 , 0 , 0 , 3467 , 0.333152 , 374 , 2.13735 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 674.9 , 602.118 , 10.7841 , 0.02 , 1000.08 , 3 , 610 , 64.9 , 58.09 , 64.9 , 674.9 , 637.824 , 5.49353 , 26030 , 788 , 5.47473 , 6127 , 1.69747 , 0 , 3982 , 4.68075 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 666.33 , 648.504 , 2.6753 , 60.19 , 106.299 , 3 , 650 , 16.33 , 15.48 , 16.33 , 666.33 , 666.33 , 0 , 14963 , 257 , 2.29723 , 295 , 0.091582 , 0 , 0 , 0 , 2852 , 0.377725 , 452 , 3.06818 , 1
SRI2 , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 666.33 , 648.52 , 2.67286 , 60.398 , 103.445 , 3 , 650 , 16.33 , 15.48 , 16.33 , 666.33 , 666.33 , 0 , 12812 , 249 , 1.89428 , 400 , 9.35136 , 0 , 0 , 0 , 2927 , 0.389943 , 457 , 2.65257 , 1
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 666.33 , 648.5 , 2.67591 , 60.294 , 130.897 , 3 , 650 , 16.33 , 15.48 , 16.33 , 666.33 , 666.33 , 0 , 20389 , 276 , 3.08614 , 178 , 4.37628 , 0 , 0 , 0 , 2842 , 0.375314 , 430 , 14.1598 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.88 , 676.5 , 7.18637 , 0.012 , 1000.05 , 3 , 726 , 2.88 , 2.86 , 2.88 , 728.88 , 715.221 , 1.87398 , 55999 , 595 , 12.9767 , 2701 , 0.624356 , 0 , 2904 , 8.78527 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.88 , 723.988 , 0.671227 , 60.157 , 60.602 , 3 , 726 , 2.88 , 2.86 , 2.88 , 728.88 , 728.88 , 0 , 62 , 57 , 0.151957 , 20 , 0.007667 , 0 , 0 , 0 , 2527 , 0.389225 , 65 , 0.022211 , 1
SRI2 , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.88 , 723.985 , 0.67153 , 60.308 , 61.707 , 3 , 726 , 2.88 , 2.86 , 2.88 , 728.88 , 728.88 , 0 , 184 , 62 , 0.159479 , 45 , 0.89046 , 0 , 0 , 0 , 2507 , 0.38477 , 89 , 0.050951 , 1
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.88 , 723.983 , 0.671888 , 60.036 , 60.822 , 3 , 726 , 2.88 , 2.86 , 2.88 , 728.88 , 728.88 , 0 , 83 , 57 , 0.148464 , 23 , 0.379977 , 0 , 0 , 0 , 2487 , 0.382446 , 74 , 0.060814 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_6.svrp , 720.44 , 596 , 17.2728 , 0.012 , 1000.11 , 3 , 615 , 105.44 , 91.89 , 105.44 , 720.44 , 628.091 , 12.8184 , 23307 , 1555 , 4.45779 , 6095 , 1.85503 , 0 , 2818 , 4.37519 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/50_3_0.85_1_6.svrp , 658.03 , 635.863 , 3.36873 , 60.321 , 90.846 , 3 , 653 , 5.03 , 4.33 , 5.03 , 658.03 , 658.03 , 0 , 6140 , 312 , 0.957377 , 396 , 0.150917 , 0 , 0 , 0 , 2385 , 0.340639 , 446 , 1.4956 , 1
SRI2 , ./data/Jabali/k3/50_3_0.85_1_6.svrp , 658.03 , 635.865 , 3.36844 , 60.35 , 190.788 , 3 , 653 , 5.03 , 4.33 , 5.03 , 658.03 , 658.03 , 0 , 9245 , 686 , 1.60042 , 1135 , 42.907 , 0 , 0 , 0 , 2395 , 0.344605 , 879 , 2.77018 , 1
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_6.svrp , 658.03 , 635.919 , 3.36024 , 60.218 , 123.2 , 3 , 653 , 5.03 , 4.33 , 5.03 , 658.03 , 658.03 , 0 , 4417 , 360 , 0.910404 , 545 , 20.9049 , 0 , 0 , 0 , 2347 , 0.336461 , 641 , 3.92232 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_7.svrp , 705.67 , 638.047 , 9.5828 , 0.019 , 1000.06 , 3 , 694 , 11.67 , 11.37 , 11.67 , 705.67 , 677.957 , 3.92724 , 29382 , 1223 , 6.36179 , 5603 , 1.48544 , 0 , 4435 , 5.42426 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/50_3_0.85_1_7.svrp , 704.5 , 681.32 , 3.29031 , 60.03 , 82.096 , 3 , 697 , 7.5 , 7.02 , 7.5 , 704.5 , 704.5 , 0 , 7334 , 267 , 0.835853 , 363 , 0.128322 , 0 , 0 , 0 , 3129 , 0.362359 , 326 , 1.61804 , 1
SRI2 , ./data/Jabali/k3/50_3_0.85_1_7.svrp , 704.5 , 681.317 , 3.29067 , 60.242 , 131.692 , 3 , 697 , 7.5 , 7.02 , 7.5 , 704.5 , 704.5 , 0 , 12799 , 333 , 1.4987 , 694 , 21.6249 , 0 , 0 , 0 , 3099 , 0.360091 , 412 , 2.92292 , 1
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_7.svrp , 704.5 , 681.326 , 3.28937 , 60.251 , 87.986 , 3 , 697 , 7.5 , 7.02 , 7.5 , 704.5 , 704.5 , 0 , 3554 , 184 , 0.534802 , 449 , 14.1669 , 0 , 0 , 0 , 3188 , 0.368644 , 260 , 2.46316 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_8.svrp , 689.54 , 599 , 13.1305 , 0.015 , 1000.08 , 3 , 678 , 11.54 , 9.86 , 11.54 , 689.54 , 647.221 , 6.13721 , 33054 , 1294 , 5.65793 , 7978 , 2.9875 , 0 , 2213 , 5.92814 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/50_3_0.85_1_8.svrp , 669.19 , 653.434 , 2.35455 , 60.181 , 69.618 , 3 , 663 , 6.19 , 5.55 , 6.19 , 669.19 , 669.19 , 0 , 2738 , 197 , 0.571383 , 153 , 0.054867 , 0 , 0 , 0 , 2866 , 0.60497 , 272 , 0.67103 , 1
SRI2 , ./data/Jabali/k3/50_3_0.85_1_8.svrp , 669.19 , 653.431 , 2.35499 , 60.133 , 79.636 , 3 , 663 , 6.19 , 5.55 , 6.19 , 669.19 , 669.19 , 0 , 8723 , 183 , 1.32033 , 113 , 3.02384 , 0 , 0 , 0 , 2845 , 0.597549 , 247 , 1.96807 , 1
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_8.svrp , 669.19 , 653.432 , 2.35474 , 60.341 , 74.453 , 3 , 663 , 6.19 , 5.55 , 6.19 , 669.19 , 669.19 , 0 , 4571 , 156 , 0.823769 , 86 , 2.40173 , 0 , 0 , 0 , 2854 , 0.601027 , 238 , 3.39535 , 1
ILS , ./data/Jabali/k3/50_3_0.85_1_9.svrp , 695.74 , 616 , 11.4612 , 0.032 , 1000.13 , 3 , 638 , 57.74 , 48.07 , 57.74 , 695.74 , 650.363 , 6.52205 , 26119 , 1516 , 4.89034 , 5294 , 2.28648 , 0 , 2271 , 4.87748 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/50_3_0.85_1_9.svrp , 677.44 , 668.041 , 1.38739 , 60.331 , 64.743 , 3 , 675 , 2.44 , 2.2 , 2.44 , 677.44 , 677.44 , 0 , 1900 , 126 , 0.377064 , 135 , 0.044234 , 0 , 0 , 0 , 2645 , 0.310103 , 205 , 0.510656 , 1
SRI2 , ./data/Jabali/k3/50_3_0.85_1_9.svrp , 677.44 , 668.049 , 1.38631 , 60.431 , 82.018 , 3 , 675 , 2.44 , 2.2 , 2.44 , 677.44 , 677.44 , 0 , 2490 , 212 , 0.439523 , 391 , 11.1262 , 0 , 0 , 0 , 2715 , 0.31804 , 355 , 0.727629 , 1
ILS+SRI , ./data/Jabali/k3/50_3_0.85_1_9.svrp , 677.44 , 668.048 , 1.38645 , 60.213 , 69.57 , 3 , 675 , 2.44 , 2.2 , 2.44 , 677.44 , 677.44 , 0 , 1535 , 149 , 0.352877 , 135 , 2.82189 , 0 , 0 , 0 , 2705 , 0.316179 , 278 , 1.42006 , 1
ILS , ./data/Jabali/k3/50_3_0.88_1_0.svrp , 715.42 , 614.5 , 14.1064 , 0.013 , 1000.1 , 3 , 635 , 80.42 , 63.05 , 80.42 , 715.42 , 650.505 , 9.07364 , 25437 , 1751 , 5.22067 , 5651 , 1.67825 , 0 , 3016 , 4.66796 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/50_3_0.88_1_0.svrp , 680.99 , 667.13 , 2.03521 , 60.125 , 86.831 , 3 , 673 , 7.99 , 7.95 , 7.99 , 680.99 , 680.99 , 0 , 6734 , 400 , 1.14907 , 340 , 0.114066 , 0 , 0 , 0 , 690 , 0.519859 , 456 , 0.72893 , 1
SRI2 , ./data/Jabali/k3/50_3_0.88_1_0.svrp , 680.99 , 667.089 , 2.04135 , 60.15 , 104.482 , 3 , 673 , 7.99 , 7.95 , 7.99 , 680.99 , 680.99 , 0 , 9428 , 366 , 1.56041 , 344 , 10.4242 , 0 , 0 , 0 , 651 , 0.539062 , 436 , 0.446352 , 1
ILS , ./data/Jabali/k3/50_3_0.88_1_1.svrp , 735.85 , 620 , 15.7437 , 0.011 , 1000.16 , 3 , 648 , 87.85 , 72.32 , 87.85 , 735.85 , 665 , 9.62832 , 22360 , 1403 , 4.18807 , 8274 , 2.9498 , 0 , 2829 , 4.2155 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/50_3_0.88_1_1.svrp , 702.02 , 681.238 , 2.96029 , 60.096 , 462.084 , 3 , 694 , 8.02 , 6.67 , 8.02 , 702.02 , 702.02 , 0 , 37047 , 787 , 7.6829 , 1096 , 0.367868 , 0 , 0 , 0 , 3400 , 0.33295 , 1252 , 8.76241 , 1
SRI2 , ./data/Jabali/k3/50_3_0.88_1_1.svrp , 702.02 , 681.242 , 2.95976 , 60.054 , 224.312 , 3 , 694 , 8.02 , 6.67 , 8.02 , 702.02 , 702.02 , 0 , 17143 , 540 , 3.06811 , 1041 , 25.7682 , 0 , 0 , 0 , 3569 , 0.343687 , 938 , 4.09075 , 1
ILS+SRI , ./data/Jabali/k3/50_3_0.88_1_1.svrp , 702.02 , 681.241 , 2.95982 , 60.11 , 196.377 , 3 , 694 , 8.02 , 6.67 , 8.02 , 702.02 , 702.02 , 0 , 17131 , 392 , 3.57547 , 592 , 12.1936 , 0 , 0 , 0 , 3550 , 0.341654 , 869 , 13.0998 , 1
ILS , ./data/Jabali/k3/50_3_0.88_1_2.svrp , 702.53 , 629.051 , 10.4591 , 0.01 , 1000.07 , 3 , 695 , 7.53 , 7.53 , 7.53 , 702.53 , 667.965 , 4.9201 , 25756 , 849 , 7.53734 , 5428 , 1.24411 , 0 , 5435 , 4.77655 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/50_3_0.88_1_2.svrp , 692.93 , 681.787 , 1.60808 , 60.083 , 63.847 , 3 , 686 , 6.93 , 6.68 , 6.93 , 692.93 , 692.93 , 0 , 1509 , 128 , 0.390782 , 105 , 0.034159 , 0 , 0 , 0 , 2894 , 0.445905 , 200 , 0.40701 , 1
