Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k4/40_4_0.82_1_7.svrp , 714.8 , 689.359 , 3.55914 , 0.042 , 22.818 , 4 , 705 , 9.8 , 9.8 , 9.8 , 714.8 , 714.8 , 0 , 2919 , 1359 , 0.654628 , 145 , 0.024833 , 0 , 134 , 0.042903 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.82_1_7.svrp , 714.8 , 700.13 , 2.05232 , 60.085 , 71.986 , 4 , 705 , 9.8 , 9.8 , 9.8 , 714.8 , 714.8 , 0 , 2093 , 1178 , 2.83056 , 74 , 0.009923 , 0 , 0 , 0 , 5991 , 2.21797 , 1071 , 0.218968 , 1
SRI2 , ./data/Jabali/k4/40_4_0.82_1_7.svrp , 714.8 , 700.133 , 2.05189 , 60.129 , 131.126 , 4 , 705 , 9.8 , 9.8 , 9.8 , 714.8 , 714.8 , 0 , 5154 , 1983 , 3.73545 , 286 , 0.349672 , 0 , 0 , 0 , 5995 , 2.23141 , 1924 , 0.556896 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.82_1_7.svrp , 714.8 , 700.135 , 2.05157 , 60.081 , 165.075 , 4 , 705 , 9.8 , 9.8 , 9.8 , 714.8 , 714.8 , 0 , 6196 , 2341 , 4.20749 , 291 , 0.381234 , 0 , 0 , 0 , 5997 , 2.22543 , 2160 , 2.20731 , 1
ILS , ./data/Jabali/k4/40_4_0.82_1_8.svrp , 724.83 , 711.25 , 1.87354 , 0.03 , 1.07 , 4 , 718 , 6.83 , 6.66 , 6.83 , 724.83 , 724.83 , 0 , 163 , 205 , 0.043017 , 21 , 0.00454 , 0 , 23 , 0.003702 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.82_1_8.svrp , 724.83 , 721.441 , 0.467549 , 69.336 , 69.851 , 4 , 718 , 6.83 , 6.66 , 6.83 , 724.83 , 724.83 , 0 , 78 , 277 , 3.66462 , 11 , 0.00343 , 0 , 0 , 0 , 2798 , 44.2614 , 217 , 0.013717 , 1
SRI2 , ./data/Jabali/k4/40_4_0.82_1_8.svrp , 724.83 , 721.441 , 0.467549 , 68.931 , 70.428 , 4 , 718 , 6.83 , 6.66 , 6.83 , 724.83 , 724.83 , 0 , 319 , 436 , 3.72465 , 65 , 0.066034 , 0 , 0 , 0 , 2798 , 43.6315 , 416 , 0.043004 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.82_1_8.svrp , 724.83 , 721.441 , 0.467549 , 69.261 , 69.81 , 4 , 718 , 6.83 , 6.66 , 6.83 , 724.83 , 724.83 , 0 , 152 , 264 , 3.68253 , 17 , 0.020946 , 0 , 0 , 0 , 2798 , 44.1097 , 227 , 0.058942 , 1
ILS , ./data/Jabali/k4/40_4_0.82_1_9.svrp , 679.93 , 666.453 , 1.98207 , 0.068 , 1.692 , 4 , 670 , 9.93 , 9.71 , 9.93 , 679.93 , 679.93 , 0 , 370 , 449 , 0.069013 , 75 , 0.013392 , 0 , 51 , 0.009077 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.82_1_9.svrp , 679.93 , 679.71 , 0.0323563 , 43.446 , 43.606 , 4 , 670 , 9.93 , 9.71 , 9.93 , 679.93 , 679.93 , 0 , 1 , 364 , 3.46158 , 8 , 0.002505 , 0 , 0 , 0 , 3846 , 9.67971 , 163 , 0.008039 , 1
SRI2 , ./data/Jabali/k4/40_4_0.82_1_9.svrp , 679.93 , 679.71 , 0.0323563 , 43.024 , 43.242 , 4 , 670 , 9.93 , 9.71 , 9.93 , 679.93 , 679.93 , 0 , 1 , 366 , 3.44761 , 11 , 0.017306 , 0 , 0 , 0 , 3846 , 9.90348 , 164 , 0.008063 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.82_1_9.svrp , 679.93 , 679.71 , 0.0323563 , 43.39 , 43.64 , 4 , 670 , 9.93 , 9.71 , 9.93 , 679.93 , 679.93 , 0 , 1 , 366 , 3.44789 , 11 , 0.017383 , 0 , 0 , 0 , 3846 , 9.74221 , 164 , 0.012091 , 1
ILS , ./data/Jabali/k4/40_4_0.85_1_0.svrp , 733.19 , 710.255 , 3.12811 , 0.039 , 7.138 , 4 , 711 , 22.19 , 21.37 , 22.19 , 733.19 , 733.19 , 0 , 2357 , 743 , 0.238444 , 239 , 0.079863 , 0 , 245 , 0.10255 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/40_4_0.85_1_0.svrp , 733.19 , 723 , 1.38982 , 38.082 , 48.617 , 4 , 711 , 22.19 , 21.37 , 22.19 , 733.19 , 733.19 , 0 , 3069 , 987 , 1.90677 , 207 , 0.079442 , 0 , 0 , 0 , 893 , 33.7082 , 869 , 0.253854 , 1
