Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI1 , ./data/Jabali/k2/70_2_0.90_1_0.svrp , 698.13 , 693.798 , 0.620488 , 98.081 , 100.196 , 2 , 690 , 8.13 , 6.99 , 8.13 , 698.13 , 698.13 , 0 , 391 , 109 , 0.763581 , 81 , 0.041457 , 0 , 0 , 0 , 3577 , 41.4331 , 125 , 0.27392 , 1
SRI2 , ./data/Jabali/k2/70_2_0.90_1_0.svrp , 698.13 , 693.798 , 0.620488 , 96.611 , 113.172 , 2 , 690 , 8.13 , 6.99 , 8.13 , 698.13 , 698.13 , 0 , 612 , 188 , 0.820282 , 124 , 11.4519 , 0 , 0 , 0 , 3577 , 41.4192 , 200 , 0.518256 , 1
ILS+SRI , ./data/Jabali/k2/70_2_0.90_1_0.svrp , 698.13 , 693.798 , 0.620551 , 60.102 , 65.547 , 2 , 690 , 8.13 , 6.99 , 8.13 , 698.13 , 698.13 , 0 , 198 , 78 , 0.671448 , 60 , 4.37492 , 0 , 0 , 0 , 3543 , 2.96497 , 93 , 0.326431 , 1
ILS , ./data/Jabali/k2/70_2_0.90_1_1.svrp , 750.01 , 720.887 , 3.88301 , 0.042 , 103.115 , 2 , 742 , 8.01 , 7.97 , 8.01 , 750.01 , 750.01 , 0 , 6183 , 498 , 1.06346 , 2162 , 1.02908 , 0 , 203 , 2.31064 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/70_2_0.90_1_1.svrp , 750.01 , 733.66 , 2.17997 , 37.252 , 75.862 , 2 , 742 , 8.01 , 7.97 , 8.01 , 750.01 , 750.01 , 0 , 4581 , 242 , 0.83959 , 852 , 0.404983 , 0 , 0 , 0 , 91 , 36.1882 , 294 , 2.88416 , 1
SRI2 , ./data/Jabali/k2/70_2_0.90_1_1.svrp , 750.01 , 733.66 , 2.17997 , 36.855 , 123.482 , 2 , 745 , 5.01 , 3.78 , 5.01 , 750.01 , 750.01 , 0 , 3096 , 411 , 0.797948 , 620 , 54.9922 , 0 , 0 , 0 , 91 , 35.8048 , 506 , 2.49767 , 1
ILS+SRI , ./data/Jabali/k2/70_2_0.90_1_1.svrp , 750.01 , 733.66 , 2.17997 , 36.91 , 59.906 , 2 , 742 , 8.01 , 7.97 , 8.01 , 750.01 , 750.01 , 0 , 1575 , 225 , 0.497133 , 157 , 6.04099 , 0 , 0 , 0 , 91 , 35.8512 , 306 , 3.27042 , 1
ILS , ./data/Jabali/k2/70_2_0.90_1_2.svrp , 638.92 , 627.139 , 1.84392 , 0.039 , 44.266 , 2 , 636 , 2.92 , 2.76 , 2.92 , 638.92 , 638.92 , 0 , 2787 , 516 , 0.529154 , 952 , 0.579274 , 0 , 116 , 1.34028 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/70_2_0.90_1_2.svrp , 638.92 , 635.206 , 0.581317 , 60.233 , 60.665 , 2 , 636 , 2.92 , 2.76 , 2.92 , 638.92 , 638.92 , 0 , 43 , 77 , 0.128343 , 6 , 0.002838 , 0 , 0 , 0 , 1408 , 0.542202 , 52 , 0.039628 , 1
SRI2 , ./data/Jabali/k2/70_2_0.90_1_2.svrp , 638.92 , 635.207 , 0.581163 , 60.071 , 60.889 , 2 , 636 , 2.92 , 2.76 , 2.92 , 638.92 , 638.92 , 0 , 120 , 88 , 0.142296 , 36 , 0.19536 , 0 , 0 , 0 , 1435 , 0.548068 , 62 , 0.083456 , 1
ILS+SRI , ./data/Jabali/k2/70_2_0.90_1_2.svrp , 638.92 , 635.207 , 0.581127 , 60.362 , 60.965 , 2 , 636 , 2.92 , 2.76 , 2.92 , 638.92 , 638.92 , 0 , 54 , 80 , 0.130202 , 14 , 0.09129 , 0 , 0 , 0 , 1444 , 0.550479 , 56 , 0.131734 , 1
ILS , ./data/Jabali/k2/70_2_0.90_1_3.svrp , 712.88 , 698.279 , 2.04814 , 0.032 , 15.77 , 2 , 711 , 1.88 , 1.86 , 1.88 , 712.88 , 712.88 , 0 , 3399 , 139 , 0.251217 , 1512 , 0.666858 , 0 , 51 , 1.0178 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/70_2_0.90_1_3.svrp , 712.88 , 703.793 , 1.27464 , 112.432 , 114.827 , 2 , 711 , 1.88 , 1.86 , 1.88 , 712.88 , 712.88 , 0 , 1070 , 127 , 0.703349 , 121 , 0.054237 , 0 , 0 , 0 , 1697 , 57.9249 , 148 , 0.538553 , 1
SRI2 , ./data/Jabali/k2/70_2_0.90_1_3.svrp , 712.88 , 703.793 , 1.27464 , 112.078 , 123.556 , 2 , 711 , 1.88 , 1.86 , 1.88 , 712.88 , 712.88 , 0 , 1417 , 106 , 0.728402 , 237 , 8.21778 , 0 , 0 , 0 , 1697 , 58.0005 , 129 , 0.711366 , 1
ILS+SRI , ./data/Jabali/k2/70_2_0.90_1_3.svrp , 712.88 , 703.793 , 1.27464 , 113.513 , 125.985 , 2 , 711 , 1.88 , 1.86 , 1.88 , 712.88 , 712.88 , 0 , 1290 , 93 , 0.726815 , 232 , 8.15225 , 0 , 0 , 0 , 1697 , 57.9493 , 136 , 1.84182 , 1
ILS , ./data/Jabali/k2/70_2_0.90_1_4.svrp , 700.31 , 682.537 , 2.53794 , 0.037 , 14.05 , 2 , 697 , 3.31 , 3.2 , 3.31 , 700.31 , 700.31 , 0 , 2774 , 237 , 0.359311 , 435 , 0.199224 , 0 , 186 , 1.01753 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/70_2_0.90_1_4.svrp , 700.31 , 689.577 , 1.53259 , 59.354 , 62.633 , 2 , 697 , 3.31 , 3.2 , 3.31 , 700.31 , 700.31 , 0 , 1234 , 131 , 0.432511 , 121 , 0.055961 , 0 , 0 , 0 , 640 , 45.4512 , 208 , 0.695296 , 1
SRI2 , ./data/Jabali/k2/70_2_0.90_1_4.svrp , 700.31 , 689.577 , 1.53259 , 59.619 , 77.372 , 2 , 697 , 3.31 , 3.2 , 3.31 , 700.31 , 700.31 , 0 , 2833 , 150 , 0.690667 , 152 , 9.44974 , 0 , 0 , 0 , 640 , 46.1323 , 250 , 1.77595 , 1
ILS+SRI , ./data/Jabali/k2/70_2_0.90_1_4.svrp , 700.31 , 689.577 , 1.53259 , 59.992 , 72.253 , 2 , 697 , 3.31 , 3.2 , 3.31 , 700.31 , 700.31 , 0 , 1656 , 142 , 0.525991 , 116 , 5.0237 , 0 , 0 , 0 , 640 , 46.0341 , 294 , 2.99846 , 1
ILS , ./data/Jabali/k2/70_2_0.90_1_5.svrp , 725.25 , 715.213 , 1.38394 , 0.048 , 6.626 , 2 , 723 , 2.25 , 2.25 , 2.25 , 725.25 , 725.25 , 0 , 688 , 190 , 0.116127 , 237 , 0.133869 , 0 , 52 , 0.323813 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/70_2_0.90_1_5.svrp , 725.25 , 722.253 , 0.413197 , 43.935 , 45.013 , 2 , 723 , 2.25 , 2.25 , 2.25 , 725.25 , 725.25 , 0 , 292 , 85 , 0.266719 , 32 , 0.018123 , 0 , 0 , 0 , 142 , 42.0432 , 66 , 0.208977 , 1
SRI2 , ./data/Jabali/k2/70_2_0.90_1_5.svrp , 725.25 , 722.253 , 0.413197 , 43.216 , 52.143 , 2 , 723 , 2.25 , 2.25 , 2.25 , 725.25 , 725.25 , 0 , 474 , 140 , 0.295413 , 61 , 7.25067 , 0 , 0 , 0 , 142 , 41.3791 , 125 , 0.349184 , 1
ILS+SRI , ./data/Jabali/k2/70_2_0.90_1_5.svrp , 725.25 , 722.253 , 0.413197 , 43.847 , 48.335 , 2 , 723 , 2.25 , 2.25 , 2.25 , 725.25 , 725.25 , 0 , 36 , 68 , 0.247719 , 27 , 3.87493 , 0 , 0 , 0 , 142 , 42.0116 , 58 , 0.140414 , 1
ILS , ./data/Jabali/k2/70_2_0.90_1_6.svrp , 675.4 , 656.848 , 2.74678 , 0.031 , 69.447 , 2 , 668 , 7.4 , 7.11 , 7.4 , 675.4 , 675.4 , 0 , 7312 , 163 , 0.548336 , 3365 , 1.61244 , 0 , 48 , 2.3562 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/70_2_0.90_1_6.svrp , 675.4 , 673.775 , 0.240544 , 60.259 , 62.705 , 2 , 668 , 7.4 , 7.11 , 7.4 , 675.4 , 675.4 , 0 , 92 , 86 , 0.204896 , 89 , 0.053353 , 0 , 0 , 0 , 2314 , 0.853201 , 69 , 0.169971 , 1
SRI2 , ./data/Jabali/k2/70_2_0.90_1_6.svrp , 675.4 , 673.774 , 0.240793 , 60.313 , 70.289 , 2 , 668 , 7.4 , 7.11 , 7.4 , 675.4 , 675.4 , 0 , 166 , 90 , 0.200669 , 75 , 9.16992 , 0 , 0 , 0 , 2297 , 0.846889 , 67 , 0.154046 , 1
ILS+SRI , ./data/Jabali/k2/70_2_0.90_1_6.svrp , 675.4 , 673.771 , 0.241143 , 60.261 , 86.134 , 2 , 668 , 7.4 , 7.11 , 7.4 , 675.4 , 675.4 , 0 , 685 , 163 , 0.285556 , 174 , 19.9485 , 0 , 0 , 0 , 2243 , 0.829119 , 159 , 1.67921 , 1
ILS , ./data/Jabali/k2/70_2_0.90_1_7.svrp , 697.34 , 671.385 , 3.72198 , 0.039 , 75.827 , 2 , 695 , 2.34 , 2.13 , 2.34 , 697.34 , 697.34 , 0 , 7647 , 424 , 0.977547 , 2556 , 1.32896 , 0 , 288 , 2.55621 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/70_2_0.90_1_7.svrp , 697.34 , 682.168 , 2.17573 , 60.338 , 90.575 , 2 , 695 , 2.34 , 2.13 , 2.34 , 697.34 , 697.34 , 0 , 4263 , 294 , 1.01971 , 658 , 0.317136 , 0 , 0 , 0 , 1189 , 0.562746 , 505 , 3.19081 , 1
SRI2 , ./data/Jabali/k2/70_2_0.90_1_7.svrp , 697.34 , 682.168 , 2.17573 , 60.374 , 464.04 , 2 , 695 , 2.34 , 2.13 , 2.34 , 697.34 , 697.34 , 0 , 7198 , 669 , 1.52327 , 1987 , 229.331 , 0 , 0 , 0 , 1179 , 0.554704 , 1066 , 6.42808 , 1
ILS+SRI , ./data/Jabali/k2/70_2_0.90_1_7.svrp , 697.34 , 682.168 , 2.17573 , 60.197 , 170.919 , 2 , 695 , 2.34 , 2.13 , 2.34 , 697.34 , 697.34 , 0 , 4645 , 370 , 1.3164 , 667 , 42.6482 , 0 , 0 , 0 , 1191 , 0.559443 , 841 , 10.8549 , 1
ILS , ./data/Jabali/k2/70_2_0.90_1_8.svrp , 717.32 , 701.58 , 2.19424 , 0.055 , 29.856 , 2 , 716 , 1.32 , 1.32 , 1.32 , 717.32 , 717.32 , 0 , 3010 , 399 , 0.512417 , 986 , 0.531197 , 0 , 175 , 1.22225 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/70_2_0.90_1_8.svrp , 717.32 , 711.176 , 0.856489 , 60.1 , 67.375 , 2 , 716 , 1.32 , 1.32 , 1.32 , 717.32 , 717.32 , 0 , 1856 , 214 , 0.444851 , 172 , 0.117378 , 0 , 0 , 0 , 2149 , 0.690312 , 211 , 1.25689 , 1
SRI2 , ./data/Jabali/k2/70_2_0.90_1_8.svrp , 717.32 , 711.175 , 0.856625 , 60.159 , 99.368 , 2 , 716 , 1.32 , 1.32 , 1.32 , 717.32 , 717.32 , 0 , 3259 , 252 , 0.635608 , 246 , 28.4111 , 0 , 0 , 0 , 2139 , 0.686959 , 268 , 2.15543 , 1
ILS+SRI , ./data/Jabali/k2/70_2_0.90_1_8.svrp , 717.32 , 711.175 , 0.856625 , 60.444 , 74.939 , 2 , 716 , 1.32 , 1.32 , 1.32 , 717.32 , 717.32 , 0 , 904 , 225 , 0.374465 , 124 , 7.57553 , 0 , 0 , 0 , 2139 , 0.686706 , 271 , 2.02792 , 1
ILS , ./data/Jabali/k2/70_2_0.90_1_9.svrp , 764.13 , 754.929 , 1.20417 , 0.031 , 0.504 , 2 , 762 , 2.13 , 1.74 , 2.13 , 764.13 , 764.13 , 0 , 84 , 60 , 0.013088 , 20 , 0.009925 , 0 , 24 , 0.035374 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/70_2_0.90_1_9.svrp , 764.13 , 762.317 , 0.237237 , 60.282 , 60.77 , 2 , 762 , 2.13 , 1.74 , 2.13 , 764.13 , 764.13 , 0 , 23 , 55 , 0.148059 , 21 , 0.010717 , 0 , 0 , 0 , 2589 , 0.842726 , 47 , 0.057081 , 1
SRI2 , ./data/Jabali/k2/70_2_0.90_1_9.svrp , 764.13 , 762.32 , 0.236929 , 60.142 , 61.053 , 2 , 762 , 2.13 , 1.74 , 2.13 , 764.13 , 764.13 , 0 , 20 , 49 , 0.145061 , 24 , 0.472686 , 0 , 0 , 0 , 2619 , 0.855195 , 38 , 0.034114 , 1
ILS+SRI , ./data/Jabali/k2/70_2_0.90_1_9.svrp , 764.13 , 762.329 , 0.235693 , 60.049 , 61.207 , 2 , 762 , 2.13 , 1.74 , 2.13 , 764.13 , 764.13 , 0 , 16 , 48 , 0.153454 , 23 , 0.715718 , 0 , 0 , 0 , 2709 , 0.892038 , 40 , 0.110622 , 1
ILS , ./data/Jabali/k2/70_2_0.93_1_0.svrp , 710.94 , 688.252 , 3.19127 , 0.03 , 12.204 , 2 , 701 , 9.94 , 9.34 , 9.94 , 710.94 , 710.94 , 0 , 2234 , 150 , 0.301484 , 723 , 0.322961 , 0 , 143 , 0.802166 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/70_2_0.93_1_0.svrp , 710.94 , 701.28 , 1.35876 , 76.574 , 81.942 , 2 , 701 , 9.94 , 9.34 , 9.94 , 710.94 , 710.94 , 0 , 1653 , 179 , 0.436602 , 133 , 0.047174 , 0 , 0 , 0 , 939 , 57.0635 , 231 , 1.07966 , 1
SRI2 , ./data/Jabali/k2/70_2_0.93_1_0.svrp , 710.94 , 701.28 , 1.35876 , 76.872 , 90.013 , 2 , 701 , 9.94 , 9.34 , 9.94 , 710.94 , 710.94 , 0 , 1735 , 144 , 0.454745 , 224 , 7.04466 , 0 , 0 , 0 , 939 , 56.6918 , 210 , 1.17641 , 1
ILS+SRI , ./data/Jabali/k2/70_2_0.93_1_0.svrp , 710.94 , 701.28 , 1.35876 , 75.494 , 86.674 , 2 , 701 , 9.94 , 9.34 , 9.94 , 710.94 , 710.94 , 0 , 1344 , 162 , 0.410292 , 130 , 4.05235 , 0 , 0 , 0 , 939 , 54.7845 , 242 , 2.76569 , 1
ILS , ./data/Jabali/k2/70_2_0.93_1_1.svrp , 691.42 , 676 , 2.23019 , 0.031 , 4.962 , 2 , 687 , 4.42 , 3.82 , 4.42 , 691.42 , 691.42 , 0 , 663 , 247 , 0.098282 , 132 , 0.096428 , 0 , 52 , 0.256902 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/70_2_0.93_1_1.svrp , 691.42 , 689.724 , 0.245243 , 60.083 , 60.675 , 2 , 687 , 4.42 , 3.82 , 4.42 , 691.42 , 691.42 , 0 , 71 , 59 , 0.243377 , 51 , 0.023899 , 0 , 0 , 0 , 2848 , 0.789534 , 65 , 0.081225 , 1
SRI2 , ./data/Jabali/k2/70_2_0.93_1_1.svrp , 691.42 , 689.724 , 0.245243 , 60.403 , 67.236 , 2 , 687 , 4.42 , 3.82 , 4.42 , 691.42 , 691.42 , 0 , 63 , 58 , 0.244787 , 65 , 6.19782 , 0 , 0 , 0 , 2848 , 0.789222 , 68 , 0.089952 , 1
ILS+SRI , ./data/Jabali/k2/70_2_0.93_1_1.svrp , 691.42 , 689.723 , 0.245391 , 60.482 , 64.99 , 2 , 687 , 4.42 , 3.82 , 4.42 , 691.42 , 691.42 , 0 , 66 , 47 , 0.241023 , 60 , 3.99922 , 0 , 0 , 0 , 2824 , 0.783504 , 52 , 0.128594 , 1
ILS , ./data/Jabali/k2/70_2_0.93_1_2.svrp , 719.27 , 696.89 , 3.1115 , 0.032 , 75.326 , 2 , 711 , 8.27 , 6.62 , 8.27 , 719.27 , 719.27 , 0 , 9076 , 395 , 1.47998 , 1375 , 0.68352 , 0 , 359 , 3.02965 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/70_2_0.93_1_2.svrp , 719.27 , 708.492 , 1.49851 , 60.189 , 72.069 , 2 , 711 , 8.27 , 6.62 , 8.27 , 719.27 , 719.27 , 0 , 3056 , 227 , 0.868348 , 309 , 0.111698 , 0 , 0 , 0 , 1067 , 0.856291 , 299 , 1.85189 , 1
SRI2 , ./data/Jabali/k2/70_2_0.93_1_2.svrp , 719.27 , 708.492 , 1.49851 , 60.07 , 92.975 , 2 , 711 , 8.27 , 6.62 , 8.27 , 719.27 , 719.27 , 0 , 2891 , 245 , 0.788471 , 314 , 17.7494 , 0 , 0 , 0 , 1067 , 0.852544 , 313 , 1.80052 , 1
ILS+SRI , ./data/Jabali/k2/70_2_0.93_1_2.svrp , 719.27 , 708.492 , 1.49852 , 60.155 , 86.724 , 2 , 711 , 8.27 , 6.62 , 8.27 , 719.27 , 719.27 , 0 , 3442 , 167 , 1.04984 , 191 , 7.11852 , 0 , 0 , 0 , 1057 , 0.823562 , 287 , 6.84671 , 1
