Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI2 , ./data/Jabali/k4/50_4_0.82_1_1.svrp , 734.27 , 724.236 , 1.36648 , 71.517 , 99.498 , 4 , 730 , 4.27 , 3.98 , 4.27 , 734.27 , 734.27 , 0 , 1006 , 1146 , 3.07987 , 125 , 0.349323 , 0 , 0 , 0 , 2189 , 33.9342 , 1006 , 0.239214 , 1
ILS+SRI , ./data/Jabali/k4/50_4_0.82_1_1.svrp , 734.27 , 724.236 , 1.36648 , 71.713 , 81.004 , 4 , 730 , 4.27 , 3.98 , 4.27 , 734.27 , 734.27 , 0 , 677 , 850 , 2.97259 , 86 , 0.170362 , 0 , 0 , 0 , 2189 , 34.3847 , 763 , 0.409097 , 1
ILS , ./data/Jabali/k4/50_4_0.82_1_2.svrp , 722.13 , 692.34 , 4.1253 , 0.055 , 71.073 , 4 , 712 , 10.13 , 10.05 , 10.13 , 722.13 , 722.13 , 0 , 4121 , 2537 , 1.20773 , 240 , 0.049485 , 0 , 201 , 0.087636 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/50_4_0.82_1_2.svrp , 722.13 , 706.837 , 2.11781 , 60.096 , 351.712 , 4 , 712 , 10.13 , 10.05 , 10.13 , 722.13 , 722.13 , 0 , 11270 , 3109 , 6.40966 , 238 , 0.062019 , 0 , 0 , 0 , 4744 , 2.78163 , 2846 , 2.00413 , 1
SRI2 , ./data/Jabali/k4/50_4_0.82_1_2.svrp , 722.13 , 706.814 , 2.12096 , 60.121 , 225.554 , 4 , 712 , 10.13 , 10.05 , 10.13 , 722.13 , 722.13 , 0 , 8148 , 2489 , 5.248 , 224 , 0.514711 , 0 , 0 , 0 , 4726 , 2.69548 , 2306 , 1.42075 , 1
ILS+SRI , ./data/Jabali/k4/50_4_0.82_1_2.svrp , 722.13 , 706.808 , 2.12183 , 60.118 , 347.718 , 4 , 712 , 10.13 , 10.05 , 10.13 , 722.13 , 722.13 , 0 , 6447 , 3324 , 5.16614 , 348 , 0.762768 , 0 , 0 , 0 , 4724 , 2.68332 , 2939 , 3.94337 , 1
ILS , ./data/Jabali/k4/50_4_0.82_1_3.svrp , 784.79 , 761.609 , 2.95384 , 0.098 , 74.028 , 4 , 774 , 10.79 , 10.29 , 10.79 , 784.79 , 784.79 , 0 , 6161 , 2002 , 1.98636 , 319 , 0.057293 , 0 , 251 , 0.122025 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/50_4_0.82_1_3.svrp , 784.79 , 770.824 , 1.77959 , 60.094 , 288.648 , 4 , 774 , 10.79 , 10.29 , 10.79 , 784.79 , 784.79 , 0 , 8501 , 2421 , 5.35724 , 269 , 0.051418 , 0 , 0 , 0 , 3399 , 1.72509 , 2236 , 1.68571 , 1
SRI2 , ./data/Jabali/k4/50_4_0.82_1_3.svrp , 784.79 , 770.804 , 1.78216 , 60.174 , 171.06 , 4 , 774 , 10.79 , 10.29 , 10.79 , 784.79 , 784.79 , 0 , 4845 , 2166 , 4.09211 , 367 , 0.768459 , 0 , 0 , 0 , 3286 , 1.67131 , 1974 , 0.979674 , 1
ILS+SRI , ./data/Jabali/k4/50_4_0.82_1_3.svrp , 784.79 , 770.797 , 1.78308 , 60.153 , 160.632 , 4 , 774 , 10.79 , 10.29 , 10.79 , 784.79 , 784.79 , 0 , 6312 , 1687 , 4.57225 , 133 , 0.374729 , 0 , 0 , 0 , 3261 , 1.69706 , 1468 , 4.00974 , 1
