Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 680.79 , 1.04077 , 0.047 , 0.63 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 112 , 137 , 0.026561 , 34 , 0.011756 , 0 , 17 , 0.020202 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 681.314 , 0.964641 , 49.708 , 69.324 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 655 , 592 , 0.886666 , 92 , 0.028379 , 0 , 0 , 0 , 188 , 48.6864 , 586 , 0.340318 , 1
SRI2 , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 681.314 , 0.964641 , 51.968 , 56.934 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 365 , 331 , 0.822871 , 70 , 0.477855 , 0 , 0 , 0 , 188 , 50.7977 , 279 , 0.186411 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 681.314 , 0.964641 , 51.227 , 66.901 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 573 , 549 , 0.893831 , 98 , 0.794573 , 0 , 0 , 0 , 188 , 50.0415 , 528 , 0.826073 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 642.56 , 1.51281 , 0.04 , 1.371 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 231 , 228 , 0.063247 , 50 , 0.011866 , 0 , 27 , 0.043384 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 644.613 , 1.19809 , 65.59 , 67.782 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 369 , 312 , 1.70243 , 69 , 0.017133 , 0 , 0 , 0 , 174 , 64.6089 , 268 , 0.14328 , 1
SRI2 , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 644.613 , 1.19809 , 66.363 , 69.548 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 477 , 303 , 1.71461 , 118 , 0.514048 , 0 , 0 , 0 , 174 , 65.3489 , 255 , 0.180838 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 644.613 , 1.19809 , 66.454 , 69.86 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 463 , 309 , 1.7137 , 118 , 0.518216 , 0 , 0 , 0 , 174 , 65.3971 , 261 , 0.452473 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 688.06 , 3.13107 , 0.023 , 68.414 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 4113 , 1495 , 1.04906 , 206 , 0.053702 , 0 , 154 , 0.744655 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 689.07 , 2.98888 , 35.546 , 56.212 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 1937 , 765 , 0.529662 , 95 , 0.028711 , 0 , 0 , 0 , 12 , 35.3329 , 728 , 0.647384 , 1
