Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI2 , ./data/Jabali/k3/70_3_0.88_1_6.svrp , 727.41 , 715.607 , 1.62261 , 60.393 , 186.773 , 3 , 724 , 3.41 , 3.13 , 3.41 , 727.41 , 727.41 , 0 , 6858 , 615 , 1.63566 , 734 , 54.167 , 0 , 0 , 0 , 2395 , 0.805858 , 727 , 4.7992 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.88_1_6.svrp , 727.41 , 715.605 , 1.6229 , 60.219 , 88.041 , 3 , 724 , 3.41 , 3.13 , 3.41 , 727.41 , 727.41 , 0 , 1059 , 264 , 0.486868 , 226 , 8.76658 , 0 , 0 , 0 , 2385 , 0.796709 , 439 , 2.2466 , 1
ILS , ./data/Jabali/k3/70_3_0.88_1_7.svrp , 878.13 , 757.5 , 13.7371 , 0.034 , 1000.1 , 3 , 801 , 77.13 , 61.74 , 77.13 , 878.13 , 770.665 , 12.2379 , 15734 , 1560 , 3.60242 , 5026 , 2.2287 , 0 , 2344 , 6.91838 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.88_1_7.svrp , 811.96 , 794.135 , 2.19536 , 60.253 , 197.682 , 3 , 805 , 6.96 , 6.84 , 6.96 , 811.96 , 811.96 , 0 , 11839 , 595 , 2.56573 , 785 , 0.387815 , 0 , 0 , 0 , 1989 , 0.736629 , 878 , 7.61853 , 1
SRI2 , ./data/Jabali/k3/70_3_0.88_1_7.svrp , 811.96 , 794.135 , 2.19536 , 60.188 , 242.319 , 3 , 805 , 6.96 , 6.84 , 6.96 , 811.96 , 811.96 , 0 , 14537 , 488 , 3.26527 , 638 , 37.1184 , 0 , 0 , 0 , 1989 , 0.732048 , 893 , 9.14196 , 1
ILS+SRI , ./data/Jabali/k3/70_3_0.88_1_7.svrp , 811.96 , 794.135 , 2.19535 , 60.097 , 141.548 , 3 , 805 , 6.96 , 6.84 , 6.96 , 811.96 , 811.96 , 0 , 6077 , 345 , 1.29518 , 330 , 15.0447 , 0 , 0 , 0 , 1989 , 0.728106 , 755 , 10.5087 , 1
ILS , ./data/Jabali/k3/70_3_0.88_1_8.svrp , 796.34 , 708 , 11.0933 , 0.031 , 1000.12 , 3 , 749 , 47.34 , 41.71 , 47.34 , 796.34 , 744.889 , 6.46091 , 21210 , 1364 , 4.95429 , 5985 , 2.60783 , 0 , 2948 , 9.22883 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/70_3_0.88_1_8.svrp , 777.83 , 759.245 , 2.38937 , 60.31 , 981.003 , 3 , 753 , 24.83 , 24.83 , 24.83 , 777.83 , 777.83 , 0 , 53329 , 614 , 7.65424 , 7634 , 3.6501 , 0 , 0 , 0 , 2270 , 0.60975 , 925 , 30.1093 , 1
SRI2 , ./data/Jabali/k3/70_3_0.88_1_8.svrp , 777.83 , 759.239 , 2.39012 , 60.508 , 1000.25 , 3 , 753 , 24.83 , 24.83 , 24.83 , 777.83 , 771.895 , 0.762989 , 23956 , 499 , 3.83867 , 4494 , 409.19 , 0 , 0 , 0 , 2250 , 0.604055 , 746 , 14.8271 , 0
ILS+SRI , ./data/Jabali/k3/70_3_0.88_1_8.svrp , 777.83 , 759.242 , 2.38972 , 60.207 , 1000.21 , 3 , 753 , 24.83 , 24.83 , 24.83 , 777.83 , 774.547 , 0.422098 , 24167 , 452 , 3.42384 , 5702 , 526.8 , 0 , 0 , 0 , 2260 , 0.609399 , 680 , 36.556 , 0
