Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k4/60_4_0.80_1_6.svrp , 758.78 , 746.548 , 1.61203 , 0.11 , 18.113 , 4 , 756 , 2.78 , 2.56 , 2.78 , 758.78 , 758.78 , 0 , 931 , 999 , 0.415158 , 72 , 0.030441 , 0 , 60 , 0.03773 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/60_4_0.80_1_6.svrp , 758.78 , 749.935 , 1.16569 , 42.663 , 54.649 , 4 , 756 , 2.78 , 2.56 , 2.78 , 758.78 , 758.78 , 0 , 712 , 879 , 0.868474 , 37 , 0.02461 , 0 , 0 , 0 , 1560 , 32.7021 , 676 , 0.274823 , 1
SRI2 , ./data/Jabali/k4/60_4_0.80_1_6.svrp , 758.78 , 749.935 , 1.16569 , 42.884 , 59.372 , 4 , 756 , 2.78 , 2.56 , 2.78 , 758.78 , 758.78 , 0 , 1081 , 1034 , 1.04486 , 63 , 0.130918 , 0 , 0 , 0 , 1560 , 32.9106 , 864 , 0.393227 , 1
ILS+SRI , ./data/Jabali/k4/60_4_0.80_1_6.svrp , 758.78 , 749.935 , 1.16569 , 42.75 , 51.829 , 4 , 756 , 2.78 , 2.56 , 2.78 , 758.78 , 758.78 , 0 , 837 , 848 , 0.898276 , 50 , 0.09143 , 0 , 0 , 0 , 1560 , 32.7295 , 667 , 0.753232 , 1
ILS , ./data/Jabali/k4/60_4_0.80_1_7.svrp , 764.11 , 744.198 , 2.60586 , 0.099 , 40.139 , 4 , 760 , 4.11 , 3.27 , 4.11 , 764.11 , 764.11 , 0 , 2350 , 1614 , 0.644714 , 220 , 0.092982 , 0 , 169 , 0.10898 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/60_4_0.80_1_7.svrp , 764.11 , 748.702 , 2.01646 , 60.278 , 179.696 , 4 , 760 , 4.11 , 3.27 , 4.11 , 764.11 , 764.11 , 0 , 3152 , 2106 , 2.6828 , 220 , 0.068403 , 0 , 0 , 0 , 3321 , 1.89888 , 2073 , 1.00603 , 1
SRI2 , ./data/Jabali/k4/60_4_0.80_1_7.svrp , 764.11 , 748.701 , 2.01665 , 60.247 , 215.559 , 4 , 760 , 4.11 , 3.27 , 4.11 , 764.11 , 764.11 , 0 , 4906 , 1998 , 3.14423 , 262 , 0.854526 , 0 , 0 , 0 , 3305 , 1.88675 , 1990 , 1.52112 , 1
ILS+SRI , ./data/Jabali/k4/60_4_0.80_1_7.svrp , 764.11 , 748.7 , 2.01669 , 60.19 , 256.325 , 4 , 760 , 4.11 , 3.27 , 4.11 , 764.11 , 764.11 , 0 , 4875 , 2376 , 3.49368 , 471 , 1.36019 , 0 , 0 , 0 , 3287 , 1.94134 , 2432 , 5.8009 , 1
ILS , ./data/Jabali/k4/60_4_0.80_1_8.svrp , 787.6 , 766.577 , 2.66925 , 0.089 , 10.592 , 4 , 783 , 4.6 , 4.6 , 4.6 , 787.6 , 787.6 , 0 , 1918 , 784 , 0.333681 , 247 , 0.113821 , 0 , 188 , 0.155419 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/60_4_0.80_1_8.svrp , 787.6 , 776.147 , 1.45411 , 65.088 , 86.003 , 4 , 783 , 4.6 , 4.6 , 4.6 , 787.6 , 787.6 , 0 , 1992 , 826 , 0.978798 , 194 , 0.096513 , 0 , 0 , 0 , 1137 , 60.0607 , 834 , 0.569971 , 1
SRI2 , ./data/Jabali/k4/60_4_0.80_1_8.svrp , 787.6 , 776.147 , 1.45411 , 65.369 , 92.384 , 4 , 783 , 4.6 , 4.6 , 4.6 , 787.6 , 787.6 , 0 , 1437 , 975 , 0.922593 , 220 , 0.667263 , 0 , 0 , 0 , 1137 , 60.3309 , 972 , 0.44885 , 1
ILS+SRI , ./data/Jabali/k4/60_4_0.80_1_8.svrp , 787.6 , 776.147 , 1.45411 , 65.567 , 109.181 , 4 , 783 , 4.6 , 4.6 , 4.6 , 787.6 , 787.6 , 0 , 1747 , 1113 , 0.979855 , 222 , 0.717257 , 0 , 0 , 0 , 1137 , 60.5904 , 1125 , 1.62542 , 1
ILS , ./data/Jabali/k4/60_4_0.80_1_9.svrp , 719.54 , 711.214 , 1.15718 , 0.09 , 0.748 , 4 , 708 , 11.54 , 11.5 , 11.54 , 719.54 , 719.54 , 0 , 253 , 225 , 0.036319 , 71 , 0.026902 , 0 , 33 , 0.01497 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/60_4_0.80_1_9.svrp , 719.54 , 717.078 , 0.342233 , 43.932 , 44.945 , 4 , 708 , 11.54 , 11.5 , 11.54 , 719.54 , 719.54 , 0 , 352 , 428 , 0.48944 , 54 , 0.028337 , 0 , 0 , 0 , 520 , 40.8166 , 202 , 0.09575 , 1
