Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap , Root Lower Bound , Root Gap , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Node Recourse Cuts , Root Time (s) , Time (s)
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-39.svrp , 4 , 560.72 , 535 , 25.72 , 25.72 , 560.72 , 560.72 , 0% , 529.72 , 5.52861% , 1031 , 86 , 424 , 0 , 11 , 0.004 , 0.627
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 500.42 , 487 , 13.42 , 13.42 , 500.42 , 500.42 , 0% , 489.085 , 2.26517% , 35 , 53 , 275 , 984 , 0 , 0.068 , 0.277
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 500.42 , 487 , 13.42 , 13.42 , 500.42 , 500.42 , 0% , 482.42 , 3.59698% , 979 , 94 , 409 , 0 , 14 , 0.007 , 0.641
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-41.svrp , 3 , 548 , 548 , 0 , 0 , 548 , 548 , 0% , 542.581 , 0.988914% , 13 , 145 , 0 , 525 , 0 , 0.906 , 1.341
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-41.svrp , 3 , 548 , 548 , 0 , 0 , 548 , 548 , 0% , 535.34 , 2.31022% , 129 , 272 , 3 , 0 , 1 , 0.023 , 0.265
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-42.svrp , 3 , 551.57 , 551 , 0.57 , 0.57 , 551.57 , 551.57 , 0% , 549.62 , 0.353536% , 16 , 106 , 2 , 696 , 0 , 0.405 , 0.752
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-42.svrp , 3 , 551.57 , 551 , 0.57 , 0.57 , 551.57 , 551.57 , 0% , 547.5 , 0.737894% , 131 , 107 , 21 , 0 , 1 , 0.019 , 0.154
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-43.svrp , 3 , 573.11 , 573 , 0.11 , 0.11 , 573.11 , 573.11 , 0% , 568 , 0.891626% , 204 , 229 , 5 , 1475 , 0 , 0.392 , 4.304
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-43.svrp , 3 , 573.11 , 573 , 0.11 , 0.11 , 573.11 , 573.11 , 0% , 566 , 1.2406% , 287 , 240 , 131 , 0 , 0 , 0.009 , 0.543
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-44.svrp , 3 , 685.07 , 683 , 2.07 , 2.07 , 685.07 , 685.07 , 0% , 672.458 , 1.84102% , 194 , 255 , 248 , 1182 , 0 , 0.649 , 2.525
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-44.svrp , 3 , 705 , 705 , 0 , 0 , 705 , 670 , 4.96454% , 662.69 , 6.00142% , 18352 , 1564 , 4463 , 0 , 4 , 0.021 , 100.006
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-45.svrp , 3 , 540.72 , 537 , 3.72 , 3.72 , 540.72 , 540.72 , 0% , 532.52 , 1.5165% , 19 , 99 , 25 , 109 , 0 , 0.343 , 0.722
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-45.svrp , 3 , 540.72 , 537 , 3.72 , 3.72 , 540.72 , 540.72 , 0% , 531 , 1.7976% , 191 , 152 , 57 , 0 , 0 , 0.015 , 0.291
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-46.svrp , 3 , 527.29 , 524 , 3.29 , 3.29 , 527.29 , 527.29 , 0% , 520.76 , 1.23841% , 61 , 111 , 15 , 1162 , 0 , 0.343 , 1.256
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-46.svrp , 3 , 527.29 , 524 , 3.29 , 3.29 , 527.29 , 527.29 , 0% , 518 , 1.76184% , 596 , 148 , 187 , 0 , 1 , 0.014 , 0.59
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-47.svrp , 3 , 556.16 , 550 , 6.16 , 6.16 , 556.16 , 556.16 , 0% , 544.82 , 2.03898% , 145 , 315 , 140 , 1202 , 0 , 1.079 , 2.294
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-47.svrp , 3 , 556.16 , 550 , 6.16 , 6.16 , 556.16 , 556.16 , 0% , 536 , 3.62486% , 2513 , 605 , 633 , 0 , 1 , 0.031 , 4.591
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-48.svrp , 3 , 510.25 , 508 , 2.25 , 2.25 , 510.25 , 510.25 , 0% , 509.56 , 0.135228% , 9 , 136 , 1 , 427 , 0 , 0.623 , 0.905
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-48.svrp , 3 , 510.25 , 508 , 2.25 , 2.25 , 510.25 , 510.25 , 0% , 503.32 , 1.35816% , 138 , 133 , 43 , 0 , 3 , 0.022 , 0.238
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-49.svrp , 3 , 485.88 , 483 , 2.88 , 2.88 , 485.88 , 485.88 , 0% , 480.16 , 1.17725% , 77 , 146 , 124 , 464 , 0 , 0.276 , 1.556
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-49.svrp , 3 , 485.88 , 483 , 2.88 , 2.88 , 485.88 , 485.88 , 0% , 479.3 , 1.35424% , 156 , 203 , 24 , 0 , 1 , 0.012 , 0.256
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-50.svrp , 3 , 450.61 , 438 , 12.61 , 12.61 , 450.61 , 450.61 , 0% , 449.85 , 0.16866% , 8 , 46 , 20 , 169 , 0 , 0.14 , 0.256
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-50.svrp , 3 , 450.61 , 438 , 12.61 , 12.61 , 450.61 , 450.61 , 0% , 439.25 , 2.52103% , 2833 , 76 , 1067 , 0 , 2 , 0.005 , 2.712
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-51.svrp , 4 , 635.39 , 635 , 0.39 , 0.39 , 635.39 , 635.39 , 0% , 629.595 , 0.912038% , 126 , 487 , 72 , 1518 , 0 , 1.11 , 2.836
