Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Recourse Cost , Model Recourse Cost , Computed Total Cost , Upper Bound , Lower Bound , Gap , Root Lower Bound , Root Gap , Node Count , CVRPSEP Cuts , Benders Cuts , Parada Cuts , Cone Cuts , Root Time (s) , Time (s) , Flow Formulation LB , Flow Formulation Time (s) , Rays in Corner LP , Network Nodes , Network Arcs
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-38.svrp , 4 , 540.71 , 504 , 36.71 , 36.71 , 540.71 , 540.71 , 540.71 , 0% , 510.31 , 5.62224% , 5481 , 358 , 0 , 0 , 0 , 0.006 , 8.279 , 0 , 0 , 0 , 1162 , 13894
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-39.svrp , 4 , 560.72 , 535 , 25.72 , 25.72 , 560.72 , 560.72 , 560.72 , 0% , 523.95 , 6.55764% , 2394 , 142 , 0 , 0 , 0 , 0.003 , 2.533 , 0 , 0 , 0 , 1087 , 12876
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-39.svrp , 4 , 560.72 , 535 , 25.72 , 25.72 , 560.72 , 560.72 , 560.72 , 0% , 534.83 , 4.61728% , 1771 , 133 , 0 , 0 , 0 , 0.004 , 1.912 , 0 , 0 , 0 , 1087 , 12876
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 500.42 , 487 , 13.42 , 13.42 , 500.42 , 500.42 , 500.42 , 0% , 482 , 3.68091% , 1221 , 147 , 0 , 0 , 0 , 0.006 , 1.313 , 0 , 0 , 0 , 1124 , 13336
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n16-LB0-UB30-V10-scen200-40.svrp , 4 , 500.42 , 487 , 13.42 , 13.42 , 500.42 , 500.42 , 500.42 , 0% , 484.14 , 3.25327% , 1014 , 117 , 0 , 0 , 0 , 0.006 , 0.839 , 0 , 0 , 0 , 1124 , 13336
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-50.svrp , 3 , 450.61 , 438 , 12.61 , 12.61 , 450.61 , 450.61 , 450.61 , 0% , 439 , 2.57651% , 2531 , 78 , 0 , 0 , 0 , 0.004 , 3.583 , 0 , 0 , 0 , 2213 , 48212
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-50.svrp , 3 , 450.61 , 438 , 12.61 , 12.61 , 450.61 , 450.61 , 450.61 , 0% , 439.94 , 2.3679% , 2643 , 75 , 0 , 0 , 0 , 0.005 , 3.898 , 0 , 0 , 0 , 2213 , 48212
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-51.svrp , 4 , 650.68 , 635 , 15.58 , 15.68 , 650.58 , 650.68 , 628.91 , 3.34573% , 616 , 5.32981% , 36019 , 2015 , 0 , 0 , 0 , 0.027 , 600.023 , 0 , 0 , 0 , 2009 , 39770
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-51.svrp , 4 , 650.68 , 635 , 15.58 , 15.68 , 650.58 , 650.68 , 628.83 , 3.35803% , 616 , 5.32981% , 35963 , 2015 , 0 , 0 , 0 , 0.041 , 600.017 , 0 , 0 , 0 , 2009 , 39770
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-52.svrp , 4 , 690.94 , 680 , 10.94 , 10.94 , 690.94 , 690.94 , 690.94 , 0% , 669.67 , 3.07841% , 12421 , 767 , 0 , 0 , 0 , 0.018 , 86.129 , 0 , 0 , 0 , 2093 , 42595
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-52.svrp , 4 , 690.94 , 680 , 10.94 , 10.94 , 690.94 , 690.94 , 690.94 , 0% , 670 , 3.03065% , 3021 , 625 , 0 , 0 , 0 , 0.019 , 11.976 , 0 , 0 , 0 , 2093 , 42595
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-54.svrp , 4 , 603.44 , 603 , 0.44 , 0.44 , 603.44 , 603.44 , 603.44 , 0% , 591.5 , 1.97866% , 445 , 339 , 0 , 0 , 0 , 0.012 , 0.534 , 0 , 0 , 0 , 2037 , 41596
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-54.svrp , 4 , 603.44 , 603 , 0.44 , 0.44 , 603.44 , 603.44 , 603.44 , 0% , 591.5 , 1.97866% , 582 , 439 , 0 , 0 , 0 , 0.017 , 0.849 , 0 , 0 , 0 , 2037 , 41596
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-57.svrp , 4 , 665.08 , 664 , 1.08 , 1.08 , 665.08 , 665.08 , 665.08 , 0% , 644 , 3.16954% , 3548 , 1347 , 0 , 0 , 0 , 0.014 , 19.107 , 0 , 0 , 0 , 2087 , 42355
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-57.svrp , 4 , 665.08 , 664 , 1.08 , 1.08 , 665.08 , 665.08 , 665.08 , 0% , 644 , 3.16954% , 3805 , 1087 , 0 , 0 , 0 , 0.021 , 17.174 , 0 , 0 , 0 , 2087 , 42355
SVRP , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-59.svrp , 5 , 699.26 , 689 , 10.26 , 10.26 , 699.26 , 699.26 , 699.26 , 0% , 670.5 , 4.11292% , 1267 , 1028 , 0 , 0 , 0 , 0.02 , 8.159 , 0 , 0 , 0 , 1959 , 37529
SVRP-SCEN_CUT , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-59.svrp , 5 , 699.26 , 689 , 10.26 , 10.26 , 699.26 , 699.26 , 699.26 , 0% , 670.25 , 4.14867% , 1629 , 1260 , 0 , 0 , 0 , 0.031 , 10.036 , 0 , 0 , 0 , 1959 , 37529
