Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap , Root Lower Bound , Root Gap , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Node Recourse Cuts , Root Time (s) , Time (s)
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-55.svrp , 4 , 696.97 , 688 , 8.97 , 8.97 , 696.97 , 696.97 , 0% , 672.25 , 3.54678% , 1431 , 527 , 11701 , 30 , 0 , 0.689 , 17.989
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-55.svrp , 4 , 696.97 , 688 , 8.97 , 8.97 , 696.97 , 696.97 , 0% , 672.5 , 3.51091% , 1260 , 383 , 291 , 0 , 0 , 0.032 , 1.438
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-56.svrp , 5 , 732 , 732 , 0 , 0 , 732 , 723 , 1.22951% , 711 , 2.86885% , 2652 , 690 , 90096 , 0 , 0 , 0.015 , 100.031
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-56.svrp , 5 , 732 , 732 , 0 , 0 , 732 , 732 , 0% , 712 , 2.73224% , 1885 , 884 , 33306 , 185 , 0 , 0.774 , 36.019
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-56.svrp , 5 , 732 , 732 , 0 , 0 , 732 , 732 , 0% , 710.5 , 2.93716% , 1762 , 1041 , 673 , 0 , 2 , 0.034 , 6.34
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-57.svrp , 4 , 682.3 , 656 , 26.3 , 26.3 , 682.3 , 662.2 , 2.94592% , 643.5 , 5.68665% , 2478 , 1319 , 81792 , 0 , 0 , 0.014 , 100.018
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-57.svrp , 4 , 682.3 , 656 , 26.3 , 26.3 , 682.3 , 663 , 2.82867% , 644 , 5.61337% , 2354 , 1023 , 74201 , 103 , 0 , 0.472 , 100.035
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-57.svrp , 4 , 665.08 , 664 , 1.08 , 1.08 , 665.08 , 665.08 , 0% , 643.5 , 3.24472% , 2508 , 912 , 1120 , 0 , 2 , 0.026 , 8.274
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-58.svrp , 5 , 613.06 , 613 , 0.06 , 0.06 , 613.06 , 613.06 , 0% , 579 , 5.55574% , 1925 , 673 , 34434 , 0 , 0 , 0.011 , 22.372
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-58.svrp , 5 , 613.06 , 613 , 0.06 , 0.06 , 613.06 , 613.06 , 0% , 579 , 5.55574% , 1925 , 673 , 34434 , 0 , 0 , 0.505 , 33.68
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-58.svrp , 5 , 613.06 , 613 , 0.06 , 0.06 , 613.06 , 613.06 , 0% , 579 , 5.55574% , 1538 , 498 , 499 , 0 , 0 , 0.021 , 2.217
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-59.svrp , 5 , 699.26 , 689 , 10.26 , 10.26 , 699.26 , 699.26 , 0% , 670.5 , 4.11292% , 1083 , 775 , 15198 , 0 , 0 , 0.02 , 9.615
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-59.svrp , 5 , 699.26 , 689 , 10.26 , 10.26 , 699.26 , 699.26 , 0% , 671 , 4.04142% , 957 , 1102 , 15414 , 43 , 0 , 0.719 , 15.308
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-59.svrp , 5 , 699.26 , 689 , 10.26 , 10.26 , 699.26 , 699.26 , 0% , 670.5 , 4.11292% , 1527 , 1552 , 317 , 0 , 1 , 0.036 , 6.569
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-60.svrp , 5 , 702.01 , 702 , 0.01 , 0.01 , 702.01 , 702.01 , 0% , 701 , 0.143873% , 102 , 292 , 3369 , 0 , 0 , 0.026 , 0.442
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-60.svrp , 5 , 702.01 , 702 , 0.01 , 0.01 , 702.01 , 702.01 , 0% , 701 , 0.143873% , 102 , 292 , 3369 , 0 , 0 , 0.798 , 2.126
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB30-V1-scen200-60.svrp , 5 , 702.01 , 702 , 0.01 , 0.01 , 702.01 , 702.01 , 0% , 701 , 0.143873% , 80 , 242 , 56 , 0 , 0 , 0.058 , 0.256
