Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 854.393 , 4.32326 , 60.056 , 222.3 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 23439 , 5912 , 11.2 , 132 , 0.09089 , 0 , 0 , 0 , 6523 , 8.75542 , 242 , 18.1694 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP-DUALSET , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 854.395 , 4.32305 , 60.051 , 295.777 , 6 , 893 , 0 , 0 , 0 , 893 , 893 , 0 , 30640 , 6535 , 13.6468 , 145 , 0.100624 , 0 , 0 , 0 , 6527 , 8.71809 , 275 , 23.3434 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 798.167 , 1.30854 , 60.131 , 60.671 , 5 , 796 , 12.75 , 12.29 , 12.75 , 808.75 , 808.75 , 0 , 63 , 3232 , 7.50849 , 9 , 0.003984 , 0 , 0 , 0 , 5695 , 21.9523 , 63 , 0.070826 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP-DUALSET , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 798.166 , 1.30871 , 60.065 , 60.676 , 5 , 796 , 12.75 , 12.29 , 12.75 , 808.75 , 808.75 , 0 , 115 , 3233 , 7.44655 , 11 , 0.006164 , 0 , 0 , 0 , 5688 , 21.52 , 63 , 0.070983 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 846.09 , 801.336 , 5.28951 , 60.071 , 355.839 , 6 , 829 , 17.09 , 16.53 , 17.09 , 846.09 , 846.09 , 0 , 26720 , 9580 , 13.2085 , 449 , 0.454936 , 0 , 0 , 0 , 8362 , 4.43301 , 638 , 22.9985 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP-DUALSET , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 846.09 , 801.338 , 5.2893 , 60.082 , 933.293 , 6 , 829 , 17.09 , 16.53 , 17.09 , 846.09 , 846.09 , 0 , 45021 , 12779 , 21.619 , 680 , 0.889722 , 0 , 0 , 0 , 8373 , 4.46743 , 995 , 40.4456 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 786.658 , 0.959584 , 54.614 , 55.059 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 7 , 2246 , 4.67918 , 4 , 0.003511 , 0 , 0 , 0 , 3670 , 31.1239 , 73 , 0.032483 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP-DUALSET , ./data/ccvrp/A-n34-k5-scen-L666.svrp , 794.28 , 786.658 , 0.959584 , 54.874 , 55.287 , 6 , 789 , 5.28 , 5.28 , 5.28 , 794.28 , 794.28 , 0 , 32 , 2247 , 4.68447 , 2 , 0.001578 , 0 , 0 , 0 , 3670 , 31.1903 , 70 , 0.02808 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 829.683 , 5.5278 , 60.121 , 1000.03 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 847 , 3.55603 , 34871 , 15725 , 26.2771 , 445 , 0.199082 , 0 , 0 , 0 , 7277 , 8.05256 , 761 , 45.1111 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP-DUALSET , ./data/ccvrp/A-n36-k5-scen-H666.svrp , 878.23 , 829.679 , 5.52827 , 60.07 , 1000.03 , 6 , 851 , 27.23 , 27.23 , 27.23 , 878.23 , 847.826 , 3.46195 , 32761 , 15492 , 25.1167 , 440 , 0.183403 , 0 , 0 , 0 , 7253 , 7.91141 , 708 , 39.0913 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 800.971 , 3.48696 , 60.089 , 109.143 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 6577 , 7599 , 6.82036 , 79 , 0.061036 , 0 , 0 , 0 , 5994 , 8.35707 , 157 , 5.49771 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP-DUALSET , ./data/ccvrp/A-n36-k5-scen-L666.svrp , 829.91 , 800.973 , 3.48678 , 60.095 , 134.179 , 5 , 816 , 13.91 , 13.89 , 13.91 , 829.91 , 829.91 , 0 , 9334 , 7943 , 8.00462 , 80 , 0.042042 , 0 , 0 , 0 , 6005 , 8.46834 , 165 , 7.03027 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 684.676 , 6.16632 , 60.073 , 1000.03 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 717.137 , 1.71762 , 69257 , 17907 , 39.8922 , 264 , 0.235807 , 0 , 0 , 0 , 12716 , 4.99087 , 470 , 86.4078 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP-DUALSET , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 729.67 , 684.693 , 6.16407 , 60.074 , 496.896 , 6 , 712 , 17.67 , 17.03 , 17.67 , 729.67 , 729.67 , 0 , 40878 , 17245 , 19.3642 , 193 , 0.126758 , 0 , 0 , 0 , 12736 , 5.02337 , 390 , 36.8471 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 671.049 , 2.3901 , 60.062 , 62.777 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 684 , 11433 , 5.79481 , 25 , 0.016593 , 0 , 0 , 0 , 11168 , 7.38004 , 56 , 0.468602 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP-DUALSET , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 671.047 , 2.39038 , 60.079 , 62.045 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 641 , 11309 , 5.66602 , 17 , 0.008928 , 0 , 0 , 0 , 11118 , 7.15934 , 48 , 0.321151 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP , ./data/ccvrp/A-n44-k6-scen-H666.svrp , 1099.09 , 970.416 , 11.7073 , 60.172 , 1000.05 , 8 , 1011 , 88.09 , 80.21 , 88.09 , 1099.09 , 986.263 , 10.2655 , 18041 , 19090 , 19.9473 , 831 , 0.300753 , 0 , 0 , 0 , 5434 , 12.6568 , 1182 , 23.4252 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP-DUALSET , ./data/ccvrp/A-n44-k6-scen-H666.svrp , 1106.72 , 970.435 , 12.3143 , 60.157 , 1000.04 , 8 , 1007 , 99.72 , 94.14 , 99.72 , 1106.72 , 983.556 , 11.1287 , 14708 , 16715 , 17.2381 , 654 , 0.270323 , 0 , 0 , 0 , 5462 , 12.9269 , 918 , 16.3873 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP , ./data/ccvrp/A-n44-k6-scen-L666.svrp , 972.14 , 932.458 , 4.08194 , 60.204 , 453.001 , 7 , 964 , 8.14 , 8.14 , 8.14 , 972.14 , 972.14 , 0 , 15424 , 7892 , 21.6273 , 115 , 0.057903 , 0 , 0 , 0 , 4842 , 8.63962 , 230 , 19.4876 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOWSEP-DUALSET , ./data/ccvrp/A-n44-k6-scen-L666.svrp , 972.14 , 932.458 , 4.08191 , 60.154 , 543.047 , 7 , 964 , 8.14 , 8.14 , 8.14 , 972.14 , 972.14 , 0 , 19663 , 8577 , 23.7513 , 135 , 0.060002 , 0 , 0 , 0 , 4849 , 8.75335 , 251 , 22.8608 , 1
