Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_4.svrp , 2 , 735.797 , 730.041 , 5.75615 , 5.75615 , 735.797 , 735.797 , 0 , 723.004 , 1.73869 , 1116 , 571 , 0 , 13 , 2131 , 823 , 0.408 , 7.795 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_5.svrp , 2 , 667.409 , 662.761 , 4.64832 , 4.64832 , 667.409 , 667.409 , 0 , 655.538 , 1.77869 , 269 , 190 , 0 , 0 , 85 , 29 , 0.023 , 0.895 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_5.svrp , 2 , 667.409 , 662.761 , 4.64832 , 4.64832 , 667.409 , 667.409 , 0 , 655.538 , 1.77869 , 256 , 204 , 0 , 0 , 802 , 389 , 0.027 , 1.191 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_5.svrp , 2 , 667.409 , 662.761 , 4.64832 , 4.64832 , 667.409 , 667.409 , 0 , 656.051 , 1.70193 , 136 , 168 , 0 , 2 , 52 , 18 , 0.068 , 0.535 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_5.svrp , 2 , 667.409 , 662.761 , 4.64832 , 4.64832 , 667.409 , 667.409 , 0 , 656.051 , 1.70193 , 145 , 178 , 0 , 2 , 385 , 223 , 0.074 , 0.659 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_6.svrp , 2 , 645.611 , 642.786 , 2.82539 , 2.82539 , 645.611 , 645.611 , 0 , 638.373 , 1.12122 , 219 , 167 , 0 , 0 , 39 , 17 , 0.037 , 0.555 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_6.svrp , 2 , 645.611 , 642.786 , 2.82539 , 2.82539 , 645.611 , 645.611 , 0 , 638.523 , 1.09786 , 119 , 189 , 0 , 0 , 221 , 75 , 0.069 , 0.67 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_6.svrp , 2 , 645.611 , 642.786 , 2.82539 , 2.82539 , 645.611 , 645.611 , 0 , 639.387 , 0.964111 , 583610 , 128 , 0 , 3 , 50 , 13 , 0.135 , 581.33 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_6.svrp , 2 , 645.611 , 642.786 , 2.82539 , 2.82539 , 645.611 , 645.611 , 0 , 639.387 , 0.964111 , 135 , 123 , 0 , 3 , 169 , 84 , 0.138 , 0.578 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_7.svrp , 2 , 674.696 , 669.174 , 5.52134 , 5.52134 , 674.696 , 674.696 , 0 , 661.537 , 1.95028 , 668 , 188 , 0 , 0 , 194 , 65 , 0.022 , 1.468 , 1
