Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE , ../../data/CCVRP/A-n36-k5-scen-H666.svrp , 6 , 917.81 , 843 , 74.81 , 74.81 , 917.81 , 824 , 10.2211 , 800.5 , 12.7815 , 29737 , 21257 , 0 , 0 , 3500 , 1957 , 0.051 , 1800.06 , 0
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/CCVRP/A-n36-k5-scen-H666.svrp , 6 , 878.23 , 851 , 27.23 , 27.23 , 878.23 , 828.5 , 5.66253 , 800.5 , 8.85076 , 30216 , 19276 , 0 , 0 , 225544 , 18975 , 0.052 , 1800.06 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/CCVRP/A-n36-k5-scen-H666.svrp , 6 , 895.2 , 834 , 61.2 , 61.13 , 895.2 , 844.88 , 5.62109 , 820.418 , 8.35369 , 29705 , 20044 , 0 , 71 , 2180 , 1404 , 0.991 , 1800.06 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/CCVRP/A-n36-k5-scen-H666.svrp , 6 , 895.13 , 834 , 61.13 , 61.13 , 895.13 , 844.08 , 5.70308 , 820.418 , 8.34652 , 25374 , 20136 , 0 , 71 , 198893 , 16077 , 0.99 , 1800.03 , 0
VRP-PARTIAL_ROUTE-NODE , ../../data/CCVRP/A-n36-k5-scen-L666.svrp , 5 , 829.94 , 816 , 13.94 , 13.91 , 829.94 , 815.34 , 1.75916 , 786.5 , 5.23411 , 34218 , 15233 , 0 , 0 , 1169 , 856 , 0.057 , 1800.02 , 0
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/CCVRP/A-n36-k5-scen-L666.svrp , 5 , 829.91 , 816 , 13.91 , 13.91 , 829.91 , 820.96 , 1.07843 , 786.5 , 5.23069 , 46583 , 12337 , 0 , 0 , 252816 , 6296 , 0.056 , 1800.03 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/CCVRP/A-n36-k5-scen-L666.svrp , 5 , 829.91 , 816 , 13.91 , 13.91 , 829.91 , 829.91 , 0 , 797.422 , 3.91466 , 19502 , 7202 , 0 , 33 , 413 , 314 , 0.986 , 412.384 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/CCVRP/A-n36-k5-scen-L666.svrp , 5 , 829.91 , 816 , 13.91 , 13.91 , 829.91 , 829.91 , 0 , 797.422 , 3.91466 , 20149 , 8830 , 0 , 33 , 99010 , 2704 , 1.005 , 562.714 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/CCVRP/A-n37-k5-scen-H666.svrp , 6 , 729.67 , 712 , 17.67 , 17.67 , 729.67 , 699.03 , 4.19916 , 668.75 , 8.34898 , 50359 , 13203 , 0 , 0 , 2094 , 1488 , 0.057 , 1800.02 , 0
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/CCVRP/A-n37-k5-scen-H666.svrp , 6 , 731.74 , 676 , 55.74 , 55.74 , 731.74 , 700.17 , 4.31437 , 668.75 , 8.60825 , 43542 , 14569 , 0 , 0 , 363423 , 61943 , 0.06 , 1800.03 , 0
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/CCVRP/A-n37-k5-scen-H666.svrp , 6 , 729.67 , 712 , 17.67 , 17.67 , 729.67 , 715.47 , 1.94609 , 682.681 , 6.43977 , 53699 , 12317 , 0 , 77 , 1479 , 1143 , 1.691 , 1800.03 , 0
