Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/A-n55-k9-scen-H666.svrp , 1278.56 , 1118.84 , 12.4923 , 60.113 , 1000.03 , 11 , 1205 , 73.56 , 70.55 , 73.56 , 1278.56 , 1128.49 , 11.7376 , 11089 , 13249 , 12.0599 , 450 , 0.10094 , 0 , 0 , 0 , 4887 , 6.03572 , 717 , 0.612751 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/A-n55-k9-scen-H666.svrp , 1258.32 , 1118.82 , 11.0863 , 60.145 , 1000.03 , 11 , 1154 , 104.32 , 104.32 , 104.32 , 1258.32 , 1128.75 , 10.2973 , 13114 , 14294 , 14.1488 , 466 , 0.071036 , 0 , 0 , 0 , 4883 , 6.02125 , 738 , 5.33556 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/A-n55-k9-scen-L666.svrp , 1146.39 , 1104.13 , 3.68611 , 60.142 , 1000.03 , 11 , 1131 , 15.39 , 15.39 , 15.39 , 1146.39 , 1128.45 , 1.56501 , 32305 , 8155 , 34.1638 , 78 , 0.017117 , 0 , 0 , 0 , 3683 , 8.582 , 210 , 0.013143 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/A-n55-k9-scen-L666.svrp , 1150.01 , 1104.11 , 3.99106 , 60.168 , 1000.03 , 11 , 1126 , 24.01 , 24.01 , 24.01 , 1150.01 , 1126.89 , 2.01031 , 25544 , 9635 , 29.1161 , 202 , 0.043045 , 0 , 0 , 0 , 3673 , 8.57079 , 336 , 14.3811 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/B-n39-k5-scen-H666.svrp , 609.31 , 591.622 , 2.90301 , 18.239 , 62.922 , 6 , 606 , 3.31 , 3.31 , 3.31 , 609.31 , 609.31 , 0 , 27740 , 892 , 4.33507 , 217 , 0.106155 , 0 , 0 , 0 , 292 , 17.4463 , 244 , 0.519559 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/B-n39-k5-scen-H666.svrp , 609.31 , 591.622 , 2.90301 , 18.211 , 62.89 , 6 , 606 , 3.31 , 3.31 , 3.31 , 609.31 , 609.31 , 0 , 23089 , 891 , 3.39782 , 224 , 0.13218 , 0 , 0 , 0 , 292 , 17.4277 , 242 , 6.00311 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 558.062 , 1.17891 , 23.256 , 26.222 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 3339 , 588 , 0.415359 , 82 , 0.068411 , 0 , 0 , 0 , 145 , 22.6631 , 100 , 0.016563 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 558.062 , 1.17891 , 23.312 , 26.994 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 3339 , 588 , 0.42054 , 82 , 0.068547 , 0 , 0 , 0 , 145 , 22.6762 , 100 , 0.721635 , 1
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 882.91 , 701.689 , 20.5255 , 60.239 , 1000.11 , 13 , 789 , 93.91 , 89.76 , 93.91 , 882.91 , 711.069 , 19.463 , 13611 , 15522 , 12.7569 , 204 , 0.049093 , 0 , 0 , 0 , 5019 , 3.73928 , 856 , 0.901035 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 925.93 , 701.687 , 24.2181 , 60.198 , 1000.13 , 13 , 822 , 103.93 , 102.9 , 103.93 , 925.93 , 711.084 , 23.2033 , 8999 , 13285 , 8.29264 , 193 , 0.030889 , 0 , 0 , 0 , 5014 , 3.71828 , 945 , 1.90409 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 763.21 , 678.209 , 11.1373 , 60.18 , 1000.16 , 12 , 748 , 15.21 , 15.21 , 15.21 , 763.21 , 698.298 , 8.50511 , 10421 , 13960 , 10.8186 , 186 , 0.028713 , 0 , 0 , 0 , 3671 , 4.86895 , 389 , 0.185506 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 749.35 , 678.208 , 9.49379 , 60.175 , 1000.08 , 12 , 741 , 8.35 , 8.35 , 8.35 , 749.35 , 696.957 , 6.99184 , 15034 , 14615 , 16.2694 , 193 , 0.028769 , 0 , 0 , 0 , 3663 , 4.84556 , 368 , 4.82125 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 905.09 , 745.826 , 17.5965 , 60.189 , 1000.04 , 13 , 838 , 67.09 , 66.79 , 67.09 , 905.09 , 757.958 , 16.2561 , 12205 , 16038 , 12.4783 , 299 , 0.054176 , 0 , 0 , 0 , 6895 , 6.26462 , 1209 , 0.82798 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 926.73 , 746.158 , 19.4849 , 60.216 , 1000.09 , 13 , 884 , 42.73 , 42.73 , 42.73 , 926.73 , 758.257 , 18.1793 , 11643 , 16224 , 12.0662 , 209 , 0.040735 , 0 , 0 , 0 , 6941 , 6.26897 , 1134 , 2.85194 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 779.19 , 721.443 , 7.41117 , 60.14 , 1000.03 , 12 , 764 , 15.19 , 15.18 , 15.19 , 779.19 , 740.908 , 4.9131 , 18967 , 12789 , 22.5445 , 113 , 0.015842 , 0 , 0 , 0 , 3440 , 6.04305 , 267 , 1.01751 , 0
SVRP-SRI-PARTIAL_ROUTE-NODE-MIPHEUR-LAG-FLOW , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 780.29 , 721.444 , 7.54152 , 60.122 , 1000.03 , 12 , 764 , 16.29 , 16.28 , 16.29 , 780.29 , 739.833 , 5.18488 , 14033 , 13120 , 16.8812 , 105 , 0.024852 , 0 , 0 , 0 , 3442 , 6.04623 , 277 , 5.06716 , 0
