Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.283 , 687.347 , 3.93635 , 3.93436 , 691.283 , 691.281 , 0.000288303 , 683.274 , 1.15858 , 1205 , 354 , 0 , 0 , 243 , 66 , 0.066 , 3.889 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.281 , 687.347 , 3.93436 , 3.93436 , 691.281 , 691.216 , 0.00939249 , 683.274 , 1.15829 , 1192 , 369 , 0 , 0 , 2547 , 1597 , 0.05 , 4.716 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.283 , 687.347 , 3.93591 , 3.93436 , 691.283 , 691.219 , 0.00930225 , 683.825 , 1.07879 , 1340 , 473 , 0 , 6 , 251 , 106 , 0.291 , 5.131 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_0.svrp , 2 , 691.281 , 687.347 , 3.93436 , 3.93436 , 691.281 , 691.226 , 0.00807707 , 683.825 , 1.07857 , 785 , 422 , 0 , 6 , 2092 , 1467 , 0.295 , 4.515 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.166 , 652.688 , 5.47817 , 5.47671 , 658.166 , 658.144 , 0.0034031 , 644.598 , 2.06147 , 2950 , 656 , 0 , 0 , 850 , 213 , 0.039 , 10.204 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.47671 , 5.47671 , 658.165 , 658.1 , 0.00988168 , 644.598 , 2.06125 , 3865 , 753 , 0 , 0 , 6405 , 2035 , 0.044 , 18.475 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.47718 , 5.47671 , 658.165 , 658.107 , 0.00877193 , 647.479 , 1.62363 , 1765 , 543 , 0 , 16 , 407 , 107 , 0.308 , 6.882 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_1.svrp , 2 , 658.165 , 652.688 , 5.47671 , 5.47671 , 658.165 , 658.11 , 0.00834085 , 647.479 , 1.62355 , 2196 , 623 , 0 , 16 , 3032 , 847 , 0.309 , 9.408 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_2.svrp , 2 , 714.806 , 712.267 , 2.53975 , 2.52809 , 714.806 , 714.735 , 0.00997732 , 693.338 , 3.0034 , 4329 , 1212 , 0 , 0 , 437 , 145 , 0.021 , 21.153 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_2.svrp , 2 , 714.795 , 712.267 , 2.52809 , 2.52809 , 714.795 , 714.724 , 0.00991434 , 693.338 , 3.00182 , 8028 , 1485 , 0 , 0 , 12039 , 953 , 0.023 , 48.381 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_2.svrp , 2 , 714.797 , 712.267 , 2.53017 , 2.52809 , 714.797 , 714.728 , 0.00966243 , 694.84 , 2.79196 , 5020 , 1196 , 0 , 2 , 595 , 193 , 0.082 , 32.236 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_2.svrp , 2 , 714.795 , 712.267 , 2.52809 , 2.52809 , 714.795 , 714.734 , 0.00851309 , 694.84 , 2.79168 , 4980 , 1480 , 0 , 2 , 8620 , 2291 , 0.085 , 51.939 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.90_1_3.svrp , 2 , 715.607 , 711.028 , 4.57825 , 4.5446 , 715.607 , 715.573 , 0.0047026 , 703.294 , 1.72055 , 956 , 392 , 0 , 0 , 126 , 49 , 0.025 , 3.825 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.90_1_3.svrp , 2 , 715.573 , 711.028 , 4.5446 , 4.5446 , 715.573 , 715.573 , 0 , 703.294 , 1.71593 , 835 , 496 , 0 , 0 , 1616 , 487 , 0.03 , 6.293 , 1
