Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
\textsc{pr}+$\mathcal{W}_{HS}$ , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 680.75 , 1.04659 , 0.054 , 1.32 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 715 , 185 , 0.091772 , 172 , 0.016358 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
\textsc{pr}+$\mathcal{W}_{OF}$ , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 680.75 , 1.04659 , 0.053 , 1.568 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 858 , 211 , 0.123072 , 139 , 0.013669 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
\textsc{pr}+$\mathcal{W}_{HS}$+\textsc{sep} , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 680.75 , 1.04659 , 0.051 , 1.218 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 631 , 180 , 0.079867 , 153 , 0.016279 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
\textsc{pr}+$\mathcal{W}_{OF}$+\textsc{sep} , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 680.75 , 1.04659 , 0.052 , 1.621 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 827 , 189 , 0.108639 , 181 , 0.020891 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
\textsc{pr}+$\mathcal{W}_{HS}$ , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 641 , 1.75191 , 0.034 , 2.825 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1247 , 276 , 0.121648 , 327 , 0.026425 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
\textsc{pr}+$\mathcal{W}_{OF}$ , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 641 , 1.75191 , 0.034 , 4.629 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1507 , 314 , 0.146213 , 513 , 0.043931 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
\textsc{pr}+$\mathcal{W}_{HS}$+\textsc{sep} , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 641 , 1.75191 , 0.037 , 3.481 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1425 , 302 , 0.142659 , 391 , 0.038011 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
\textsc{pr}+$\mathcal{W}_{OF}$+\textsc{sep} , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 641 , 1.75191 , 0.037 , 5.194 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1564 , 315 , 0.155184 , 582 , 0.055157 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
\textsc{pr}+$\mathcal{W}_{HS}$ , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 688 , 3.13952 , 0.017 , 36.727 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 5984 , 913 , 1.11667 , 515 , 0.053276 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
\textsc{pr}+$\mathcal{W}_{OF}$ , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 688 , 3.13952 , 0.016 , 16.16 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 2643 , 679 , 0.437244 , 375 , 0.034925 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
