Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
\textsc{pr}+$\mathcal{W}_{HS}$ , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 901.1 , 812.5 , 9.83243 , 0.034 , 1800.1 , 6 , 879 , 22.1 , 22.1 , 22.1 , 901.1 , 854.493 , 5.17218 , 75374 , 10587 , 16.2176 , 3969 , 0.431875 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
\textsc{pr}+$\mathcal{W}_{OF}$ , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 908.17 , 812.5 , 10.5344 , 0.035 , 1800.07 , 6 , 906 , 2.17 , 2.09 , 2.17 , 908.17 , 849.5 , 6.46024 , 70709 , 10582 , 17.3152 , 3330 , 0.295062 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
\textsc{pr}+$\mathcal{W}_{HS}$+\textsc{sep} , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 812.5 , 9.01456 , 0.035 , 1800.06 , 6 , 893 , 0 , 0 , 0 , 893 , 852.333 , 4.55394 , 66833 , 9274 , 15.5912 , 2889 , 0.425354 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
\textsc{pr}+$\mathcal{W}_{OF}$+\textsc{sep} , ./data/ccvrp/A-n32-k5-scen-H666.svrp , 893 , 812.5 , 9.01456 , 0.035 , 1800.11 , 6 , 893 , 0 , 0 , 0 , 893 , 852 , 4.59127 , 70912 , 9566 , 16.4931 , 2924 , 0.448788 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
\textsc{pr}+$\mathcal{W}_{HS}$ , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 778 , 3.80216 , 0.058 , 43.548 , 5 , 796 , 12.75 , 12.29 , 12.75 , 808.75 , 808.75 , 0 , 7599 , 1706 , 1.18461 , 313 , 0.019923 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
\textsc{pr}+$\mathcal{W}_{OF}$ , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 778 , 3.80216 , 0.052 , 17.051 , 5 , 796 , 12.75 , 12.33 , 12.75 , 808.75 , 808.75 , 0 , 3426 , 1138 , 0.521569 , 179 , 0.010258 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
\textsc{pr}+$\mathcal{W}_{HS}$+\textsc{sep} , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 778 , 3.80216 , 0.054 , 28.873 , 5 , 796 , 12.75 , 12.33 , 12.75 , 808.75 , 808.75 , 0 , 5398 , 1493 , 0.760785 , 300 , 0.021452 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
\textsc{pr}+$\mathcal{W}_{OF}$+\textsc{sep} , ./data/ccvrp/A-n32-k5-scen-L666.svrp , 808.75 , 778 , 3.80216 , 0.054 , 34.922 , 5 , 796 , 12.75 , 12.33 , 12.75 , 808.75 , 808.75 , 0 , 4992 , 1538 , 0.8126 , 272 , 0.022857 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
\textsc{pr}+$\mathcal{W}_{HS}$ , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 853.37 , 774.4 , 9.2539 , 0.058 , 1800.1 , 6 , 830 , 23.37 , 22.81 , 23.37 , 853.37 , 821 , 3.7932 , 55175 , 10817 , 12.5193 , 3556 , 0.496533 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
\textsc{pr}+$\mathcal{W}_{OF}$ , ./data/ccvrp/A-n34-k5-scen-H666.svrp , 847.37 , 774.4 , 8.61135 , 0.058 , 1800.06 , 6 , 818 , 29.37 , 29.05 , 29.37 , 847.37 , 820 , 3.22999 , 55808 , 10636 , 13.107 , 3492 , 0.521456 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
