Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
Parada , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 668.52 , 658 , 1.57363 , 0.02 , 0.507 , 2 , 666 , 2.52 , 2.52 , 3 , 668.52 , 668.52 , 0 , 120 , 120 , 0.04774 , 0 , 0 , 14 , 14 , 0.105486 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 668.52 , 659.5 , 1.34925 , 0.157 , 1.818 , 2 , 666 , 2.52 , 2.52 , 3 , 668.52 , 668.52 , 0 , 401 , 305 , 0.13444 , 0 , 0 , 18 , 0 , 0.201594 , 2 , 0.010895 , 30 , 0.215324 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.90_1_8.svrp , 609.76 , 601 , 1.43663 , 0.047 , 1.362 , 2 , 608 , 1.76 , 1.76 , 1.84 , 609.76 , 609.76 , 0 , 254 , 279 , 0.108078 , 0 , 0 , 25 , 18 , 0.171625 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_8.svrp , 609.76 , 602.6 , 1.17423 , 0.269 , 0.766 , 2 , 608 , 1.76 , 1.76 , 1.84 , 609.76 , 609.76 , 0 , 66 , 144 , 0.06601 , 0 , 0 , 8 , 0 , 0.102654 , 24 , 0.022557 , 8 , 0.055341 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.90_1_9.svrp , 669.12 , 655.32 , 2.06241 , 0.016 , 2.055 , 2 , 667 , 2.12 , 2.12 , 2.12 , 669.12 , 669.12 , 0 , 568 , 297 , 0.183719 , 0 , 0 , 14 , 28 , 0.830835 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.90_1_9.svrp , 669.12 , 656.57 , 1.8756 , 0.198 , 6.982 , 2 , 667 , 2.12 , 2.12 , 2.12 , 669.12 , 669.12 , 0 , 689 , 473 , 0.318354 , 0 , 0 , 8 , 0 , 1.02136 , 10 , 0.028818 , 29 , 0.970028 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.93_1_0.svrp , 712.32 , 702.2 , 1.42071 , 0.029 , 7.912 , 2 , 707 , 5.32 , 5.32 , 5.4 , 712.32 , 712.32 , 0 , 696 , 548 , 0.282616 , 0 , 0 , 42 , 39 , 1.10329 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_0.svrp , 712.32 , 703.2 , 1.28032 , 0.184 , 0.657 , 2 , 707 , 5.32 , 5.32 , 5.4 , 712.32 , 712.32 , 0 , 83 , 150 , 0.054343 , 0 , 0 , 9 , 0 , 0.125104 , 4 , 0.016925 , 16 , 0.112033 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.93_1_1.svrp , 658.56 , 643.46 , 2.29288 , 0.027 , 0.713 , 2 , 653 , 5.56 , 5.56 , 5.56 , 658.56 , 658.56 , 0 , 64 , 173 , 0.053222 , 0 , 0 , 13 , 10 , 0.141003 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_1.svrp , 658.56 , 650.62 , 1.20566 , 0.263 , 0.955 , 2 , 653 , 5.56 , 5.56 , 5.56 , 658.56 , 658.56 , 0 , 147 , 121 , 0.079639 , 0 , 0 , 6 , 0 , 0.179305 , 42 , 0.038465 , 4 , 0.178277 , 1 , 0
Parada , ./data/Jabali/k2/60_2_0.93_1_2.svrp , 687.08 , 677 , 1.46708 , 0.03 , 0.488 , 2 , 684 , 3.08 , 3.08 , 3.84 , 687.08 , 687.08 , 0 , 52 , 140 , 0.046525 , 0 , 0 , 8 , 15 , 0.081805 , 0 , 0 , 0 , 0 , 1 , 0
