Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
PR+Parada , ./data/Jabali/k4/40_4_0.80_1_8.svrp , 732.36 , 705.75 , 3.63346 , 0.032 , 7.223 , 4 , 724 , 8.36 , 8.36 , 8.36 , 732.36 , 732.36 , 0 , 1299 , 821 , 0.377525 , 12 , 0.089592 , 24 , 160 , 0.243013 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k4/40_4_0.80_1_8.svrp , 732.36 , 721.584 , 1.47141 , 2.045 , 5.826 , 4 , 724 , 8.36 , 8.36 , 8.36 , 732.36 , 732.36 , 0 , 893 , 584 , 0.73241 , 2 , 0.057541 , 10 , 0 , 0.108123 , 547 , 0.573762 , 93 , 0.115684 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.80_1_9.svrp , 650.92 , 625 , 3.98206 , 0.044 , 10.475 , 4 , 648 , 2.92 , 2.76 , 2.92 , 650.92 , 650.92 , 0 , 2886 , 1297 , 0.592753 , 316 , 0.223854 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.80_1_9.svrp , 650.92 , 625 , 3.98206 , 0.045 , 6.547 , 4 , 648 , 2.92 , 2.76 , 2.92 , 650.92 , 650.92 , 0 , 894 , 1003 , 0.23437 , 32 , 0.04975 , 60 , 164 , 0.239461 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k4/40_4_0.80_1_9.svrp , 650.92 , 639.479 , 1.75761 , 5.224 , 11.739 , 4 , 648 , 2.92 , 2.76 , 2.92 , 650.92 , 650.92 , 0 , 810 , 815 , 1.25939 , 5 , 0.046429 , 13 , 0 , 0.110813 , 775 , 2.20016 , 81 , 0.103644 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_0.svrp , 721.88 , 704.5 , 2.4076 , 0.015 , 3.525 , 4 , 709 , 12.88 , 12.88 , 12.88 , 721.88 , 721.88 , 0 , 2229 , 540 , 0.429931 , 218 , 0.232341 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.82_1_0.svrp , 721.88 , 704.5 , 2.4076 , 0.016 , 0.482 , 4 , 709 , 12.88 , 12.88 , 12.88 , 721.88 , 721.88 , 0 , 264 , 224 , 0.060774 , 0 , 0.013049 , 1 , 46 , 0.039246 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_0.svrp , 721.88 , 714.507 , 1.02141 , 1.732 , 2.735 , 4 , 709 , 12.88 , 12.88 , 12.88 , 721.88 , 721.88 , 0 , 314 , 252 , 0.476916 , 2 , 0.014657 , 3 , 0 , 0.032353 , 609 , 0.528012 , 39 , 0.034053 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_1.svrp , 673.36 , 653.667 , 2.92464 , 0.024 , 44.569 , 4 , 670 , 3.36 , 3.36 , 3.36 , 673.36 , 673.36 , 0 , 11002 , 1596 , 2.40878 , 696 , 0.999287 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.82_1_1.svrp , 673.36 , 653.667 , 2.92464 , 0.024 , 2.197 , 4 , 670 , 3.36 , 3.36 , 3.36 , 673.36 , 673.36 , 0 , 1127 , 412 , 0.297134 , 3 , 0.076242 , 7 , 54 , 0.164036 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_1.svrp , 673.36 , 667.144 , 0.923089 , 0.786 , 1.491 , 4 , 670 , 3.36 , 3.36 , 3.36 , 673.36 , 673.36 , 0 , 143 , 159 , 0.256237 , 4 , 0.013649 , 2 , 0 , 0.024273 , 326 , 0.24831 , 15 , 0.026409 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_2.svrp , 632.28 , 624.25 , 1.27001 , 0.016 , 0.176 , 4 , 626 , 6.28 , 5.48 , 6.28 , 632.28 , 632.28 , 0 , 54 , 83 , 0.01419 , 42 , 0.025842 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.82_1_2.svrp , 632.28 , 626.646 , 0.891097 , 0.018 , 0.247 , 4 , 626 , 6.28 , 5.48 , 6.28 , 632.28 , 632.28 , 0 , 18 , 85 , 0.019188 , 2 , 0.015675 , 6 , 25 , 0.041332 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_2.svrp , 632.28 , 628.14 , 0.654773 , 0.102 , 0.328 , 4 , 626 , 6.28 , 5.48 , 6.28 , 632.28 , 632.28 , 0 , 16 , 98 , 0.023645 , 3 , 0.008964 , 4 , 0 , 0.022001 , 9 , 0.009868 , 16 , 0.018216 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_3.svrp , 702.52 , 668.944 , 4.7793 , 0.02 , 19.291 , 4 , 673 , 29.52 , 29.4 , 29.52 , 702.52 , 702.52 , 0 , 8008 , 1100 , 1.91392 , 275 , 0.606596 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.82_1_3.svrp , 702.52 , 672.5 , 4.27319 , 0.018 , 3.682 , 4 , 673 , 29.52 , 29.4 , 29.52 , 702.52 , 702.52 , 0 , 1285 , 588 , 0.317428 , 17 , 0.092245 , 24 , 46 , 0.217821 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_3.svrp , 702.52 , 681.08 , 3.05187 , 0.206 , 3.334 , 4 , 673 , 29.52 , 29.4 , 29.52 , 702.52 , 702.52 , 0 , 1009 , 546 , 0.360909 , 5 , 0.055888 , 16 , 0 , 0.113745 , 111 , 0.044338 , 53 , 0.114528 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_4.svrp , 664.84 , 643.548 , 3.20263 , 0.029 , 3.209 , 4 , 648 , 16.84 , 16.84 , 16.84 , 664.84 , 664.84 , 0 , 2230 , 416 , 0.392387 , 77 , 0.185562 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.82_1_4.svrp , 664.84 , 653.088 , 1.76764 , 0.026 , 0.515 , 4 , 648 , 16.84 , 16.84 , 16.84 , 664.84 , 664.84 , 0 , 116 , 151 , 0.045245 , 9 , 0.011421 , 4 , 11 , 0.043737 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_4.svrp , 664.84 , 659.832 , 0.753264 , 1.034 , 1.42 , 4 , 648 , 16.84 , 16.84 , 16.84 , 664.84 , 664.84 , 0 , 22 , 144 , 0.252733 , 3 , 0.004933 , 2 , 0 , 0.022508 , 378 , 0.251823 , 3 , 0.008451 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_5.svrp , 615.04 , 605.5 , 1.55112 , 0.021 , 0.178 , 4 , 602 , 13.04 , 12.24 , 13.04 , 615.04 , 615.04 , 0 , 21 , 87 , 0.010563 , 23 , 0.014457 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.82_1_5.svrp , 615.04 , 607.207 , 1.27365 , 0.028 , 0.087 , 4 , 602 , 13.04 , 12.24 , 13.04 , 615.04 , 615.04 , 0 , 1 , 90 , 0.007241 , 3 , 0.002046 , 2 , 6 , 0.006095 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_5.svrp , 615.04 , 614.439 , 0.0977309 , 0.124 , 0.167 , 4 , 602 , 13.04 , 12.24 , 13.04 , 615.04 , 615.04 , 0 , 1 , 75 , 0.016279 , 4 , 0.002707 , 0 , 0 , 0.003621 , 10 , 0.012559 , 0 , 0.002727 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_6.svrp , 691.8 , 674.333 , 2.52481 , 0.016 , 2.605 , 4 , 686 , 5.8 , 4.84 , 5.8 , 691.8 , 691.8 , 0 , 1702 , 332 , 0.216717 , 298 , 0.243316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.82_1_6.svrp , 691.8 , 677.5 , 2.06707 , 0.023 , 0.531 , 4 , 686 , 5.8 , 4.84 , 5.8 , 691.8 , 691.8 , 0 , 370 , 178 , 0.057317 , 9 , 0.035838 , 11 , 54 , 0.080111 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_6.svrp , 691.8 , 683.89 , 1.14344 , 1.154 , 1.978 , 4 , 686 , 5.8 , 4.84 , 5.8 , 691.8 , 691.8 , 0 , 281 , 180 , 0.418275 , 15 , 0.03031 , 8 , 0 , 0.056582 , 319 , 0.414559 , 52 , 0.056676 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_7.svrp , 715.08 , 689.167 , 3.62384 , 0.035 , 17.2 , 4 , 705 , 10.08 , 10.08 , 10.08 , 715.08 , 715.08 , 0 , 4281 , 1177 , 0.955198 , 256 , 0.320919 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.82_1_7.svrp , 715.08 , 689.167 , 3.62384 , 0.035 , 9.564 , 4 , 705 , 10.08 , 10.08 , 10.08 , 715.08 , 715.08 , 0 , 1755 , 1252 , 0.532626 , 22 , 0.10157 , 19 , 109 , 0.261034 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_7.svrp , 715.08 , 702.377 , 1.7764 , 2.079 , 12.396 , 4 , 705 , 10.08 , 10.08 , 10.08 , 715.08 , 715.08 , 0 , 2143 , 1191 , 1.25037 , 25 , 0.147584 , 19 , 0 , 0.322814 , 584 , 0.576271 , 166 , 0.339223 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_8.svrp , 728.96 , 711.25 , 2.42949 , 0.016 , 3.795 , 4 , 718 , 10.96 , 10.28 , 10.96 , 728.96 , 728.96 , 0 , 1411 , 439 , 0.277515 , 169 , 0.162888 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.82_1_8.svrp , 728.96 , 711.25 , 2.42949 , 0.015 , 0.881 , 4 , 718 , 10.96 , 10.28 , 10.96 , 728.96 , 728.96 , 0 , 401 , 298 , 0.116153 , 7 , 0.026377 , 8 , 37 , 0.06742 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_8.svrp , 728.96 , 723.916 , 0.691956 , 4.106 , 4.738 , 4 , 718 , 10.96 , 10.28 , 10.96 , 728.96 , 728.96 , 0 , 185 , 157 , 1.82953 , 5 , 0.014911 , 3 , 0 , 0.034243 , 697 , 2.10445 , 12 , 0.030333 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_9.svrp , 676.72 , 649.625 , 4.00387 , 0.048 , 50.608 , 4 , 670 , 6.72 , 6.72 , 6.72 , 676.72 , 676.72 , 0 , 7618 , 2057 , 1.86034 , 846 , 0.773355 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada , ./data/Jabali/k4/40_4_0.82_1_9.svrp , 676.72 , 651.73 , 3.69281 , 0.043 , 2.076 , 4 , 670 , 6.72 , 6.72 , 6.72 , 676.72 , 676.72 , 0 , 640 , 521 , 0.166031 , 9 , 0.040973 , 26 , 54 , 0.11735 , 0 , 0 , 0 , 0 , 1 , 0
PR+Parada+SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_9.svrp , 676.72 , 675.698 , 0.150961 , 3.695 , 4.803 , 4 , 670 , 6.72 , 6.72 , 6.72 , 676.72 , 676.72 , 0 , 143 , 270 , 1.04081 , 4 , 0.022631 , 4 , 0 , 0.043434 , 622 , 1.56033 , 18 , 0.036816 , 1 , 0
