Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
PR , ./data/Jabali/k4/40_4_0.82_1_4.svrp , 664.84 , 643.548 , 3.20263 , 0.028 , 3.227 , 4 , 648 , 16.84 , 16.84 , 16.84 , 664.84 , 664.84 , 0 , 2230 , 416 , 0.389202 , 77 , 0.182654 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.82_1_4.svrp , 664.84 , 659.832 , 0.753264 , 1.05 , 1.525 , 4 , 648 , 16.84 , 16.84 , 16.84 , 664.84 , 664.84 , 0 , 121 , 192 , 0.283826 , 1 , 0.014843 , 1 , 0 , 0.057583 , 378 , 0.251154 , 78 , 0.031643 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_5.svrp , 615.04 , 605.5 , 1.55112 , 0.022 , 0.183 , 4 , 602 , 13.04 , 12.24 , 13.04 , 615.04 , 615.04 , 0 , 21 , 87 , 0.011631 , 23 , 0.014405 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.82_1_5.svrp , 615.04 , 614.439 , 0.0977309 , 0.125 , 0.168 , 4 , 602 , 13.04 , 12.24 , 13.04 , 615.04 , 615.04 , 0 , 1 , 75 , 0.016594 , 5 , 0.00265 , 0 , 0 , 0.003608 , 10 , 0.012839 , 7 , 0.002949 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_6.svrp , 691.8 , 674.333 , 2.52481 , 0.016 , 2.583 , 4 , 686 , 5.8 , 4.84 , 5.8 , 691.8 , 691.8 , 0 , 1702 , 332 , 0.216115 , 298 , 0.243192 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.82_1_6.svrp , 691.8 , 683.89 , 1.14344 , 1.142 , 2.137 , 4 , 686 , 5.8 , 4.84 , 5.8 , 691.8 , 691.8 , 0 , 199 , 169 , 0.387117 , 13 , 0.020893 , 5 , 0 , 0.041942 , 319 , 0.407802 , 121 , 0.046293 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_7.svrp , 715.08 , 689.167 , 3.62384 , 0.035 , 17.104 , 4 , 705 , 10.08 , 10.08 , 10.08 , 715.08 , 715.08 , 0 , 4281 , 1177 , 0.948525 , 256 , 0.319963 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.82_1_7.svrp , 715.08 , 702.377 , 1.7764 , 2.237 , 12.315 , 4 , 705 , 10.08 , 10.08 , 10.08 , 715.08 , 715.08 , 0 , 1618 , 1182 , 0.978324 , 15 , 0.106741 , 16 , 0 , 0.228106 , 584 , 0.583364 , 261 , 0.253255 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_8.svrp , 728.96 , 711.25 , 2.42949 , 0.015 , 3.874 , 4 , 718 , 10.96 , 10.28 , 10.96 , 728.96 , 728.96 , 0 , 1411 , 439 , 0.278046 , 169 , 0.16308 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.82_1_8.svrp , 728.96 , 723.916 , 0.691956 , 4.243 , 4.973 , 4 , 718 , 10.96 , 10.28 , 10.96 , 728.96 , 728.96 , 0 , 56 , 126 , 1.79934 , 5 , 0.009174 , 1 , 0 , 0.016862 , 697 , 2.09251 , 159 , 0.026623 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.82_1_9.svrp , 676.72 , 649.625 , 4.00387 , 0.049 , 50.343 , 4 , 670 , 6.72 , 6.72 , 6.72 , 676.72 , 676.72 , 0 , 7618 , 2057 , 1.84697 , 846 , 0.769878 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.82_1_9.svrp , 676.72 , 675.698 , 0.150961 , 3.84 , 4.214 , 4 , 670 , 6.72 , 6.72 , 6.72 , 676.72 , 676.72 , 0 , 10 , 215 , 0.989105 , 0 , 0.002517 , 0 , 0 , 0.004272 , 622 , 1.57281 , 135 , 0.014403 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.85_1_0.svrp , 728.2 , 708 , 2.77396 , 0.024 , 29.777 , 4 , 711 , 17.2 , 16.72 , 17.2 , 728.2 , 728.2 , 0 , 14197 , 1278 , 1.61253 , 1028 , 1.81765 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.85_1_0.svrp , 728.2 , 718.11 , 1.38561 , 0.317 , 6.563 , 4 , 711 , 17.2 , 16.72 , 17.2 , 728.2 , 728.2 , 0 , 2737 , 601 , 0.557647 , 8 , 0.249206 , 11 , 0 , 0.505922 , 106 , 0.07476 , 253 , 0.483435 , 1 , 0
PR , ./data/Jabali/k4/40_4_0.85_1_1.svrp , 734.52 , 697.5 , 5.04003 , 0.023 , 171.629 , 4 , 718 , 16.52 , 16.28 , 16.52 , 734.52 , 734.52 , 0 , 46469 , 2829 , 7.42716 , 887 , 3.77119 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/40_4_0.85_1_1.svrp , 734.52 , 713.167 , 2.90711 , 1.688 , 13.317 , 4 , 718 , 16.52 , 16.28 , 16.52 , 734.52 , 734.52 , 0 , 2160 , 1149 , 1.01671 , 28 , 0.148197 , 33 , 0 , 0.810321 , 481 , 0.566857 , 262 , 0.776861 , 1 , 0
