Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
PR+SRI , ./data/ccvrp/B-n39-k5-scen-H666.svrp , 609.31 , 591.538 , 2.91676 , 1.697 , 42.299 , 6 , 606 , 3.31 , 3.31 , 3.31 , 609.31 , 609.31 , 0 , 16991 , 733 , 4.73004 , 23 , 1.56021 , 22 , 0 , 6.66172 , 263 , 0.509028 , 267 , 5.86465 , 1 , 0
PR , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 548.167 , 2.93125 , 0.038 , 28.601 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 16101 , 908 , 2.28638 , 552 , 2.34052 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 557.859 , 1.21489 , 0.886 , 3.679 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 1441 , 463 , 0.290424 , 0 , 0.227733 , 0 , 0 , 0.361933 , 151 , 0.077972 , 92 , 0.341466 , 1 , 0
PR , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 832.67 , 686.482 , 17.5565 , 0.228 , 1800.04 , 13 , 740 , 92.67 , 91.76 , 92.67 , 832.67 , 704.928 , 15.3412 , 17626 , 19937 , 16.5681 , 633 , 1.47399 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SRI , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 852.38 , 707.046 , 17.0504 , 300.878 , 1800.07 , 13 , 775 , 77.38 , 75.04 , 77.38 , 852.38 , 716.583 , 15.9315 , 16404 , 19003 , 25.7009 , 30 , 1.06867 , 13 , 0 , 6.80874 , 5726 , 21.6404 , 1341 , 7.27914 , 0 , 0
PR , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 755.75 , 672.964 , 10.9542 , 0.33 , 1800.02 , 12 , 739 , 16.75 , 16.75 , 16.75 , 755.75 , 694.543 , 8.09879 , 19588 , 17946 , 25.6031 , 354 , 1.72224 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SRI , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 762.09 , 679.239 , 10.8716 , 300.533 , 1800.21 , 12 , 745 , 17.09 , 17.09 , 17.09 , 762.09 , 700.029 , 8.14347 , 18764 , 20251 , 29.9813 , 6 , 1.084 , 1 , 0 , 7.01232 , 4805 , 25.0894 , 767 , 7.28815 , 0 , 0
PR , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 885.75 , 728.28 , 17.7781 , 0.326 , 1800.06 , 13 , 825 , 60.75 , 60.53 , 60.75 , 885.75 , 744.935 , 15.8979 , 16559 , 19805 , 18.1798 , 795 , 1.38551 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SRI , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 926.67 , 748.36 , 19.242 , 300.699 , 1800.1 , 13 , 849 , 77.67 , 77.67 , 77.67 , 926.67 , 763.158 , 17.6451 , 17533 , 19473 , 29.544 , 60 , 1.10829 , 59 , 0 , 7.98719 , 6396 , 21.9333 , 1153 , 7.92441 , 0 , 0
PR , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 807.66 , 712.955 , 11.7259 , 0.307 , 1800.04 , 12 , 777 , 30.66 , 30.65 , 30.66 , 807.66 , 731.105 , 9.47858 , 12448 , 14892 , 15.9606 , 329 , 0.919934 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SRI , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 787.55 , 724.421 , 8.01583 , 300.943 , 1800.06 , 12 , 766 , 21.55 , 21.54 , 21.55 , 787.55 , 740.108 , 6.02402 , 16728 , 16373 , 33.4261 , 26 , 1.02032 , 13 , 0 , 8.09243 , 5433 , 28.8241 , 565 , 8.59782 , 0 , 0
