Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.4 , 691.7 , 5.55707 , 60.068 , 358.767 , 4 , 722 , 10.4 , 10.03 , 10.4 , 732.4 , 732.4 , 0 , 55701 , 456 , 5.76599 , 1402 , 1.70633 , 0 , 0 , 3406 , 0.255809 , 979 , 7.36116 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k4/40_4_0.80_1_0.svrp , 732.4 , 689.9 , 5.80284 , 60.073 , 822.046 , 4 , 722 , 10.4 , 10.03 , 10.4 , 732.4 , 732.4 , 0 , 119701 , 478 , 12.1723 , 2169 , 79.0393 , 0 , 0 , 3276 , 0.253762 , 1002 , 13.1428 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 666.3 , 571.18 , 14.2759 , 0.017 , 1800.05 , 4 , 520 , 146.3 , 137.66 , 146.3 , 666.3 , 595.41 , 10.6394 , 44740 , 1063 , 9.87544 , 9461 , 4.68171 , 7096 , 4.4652 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.47 , 612.33 , 6.86571 , 60.128 , 276.805 , 4 , 646 , 11.47 , 11.36 , 11.47 , 657.47 , 657.47 , 0 , 68039 , 275 , 6.16169 , 684 , 1.5638 , 0 , 0 , 3556 , 0.329817 , 725 , 8.04028 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k4/40_4_0.80_1_1.svrp , 657.47 , 612.73 , 6.80487 , 60.031 , 1528.73 , 4 , 646 , 11.47 , 11.36 , 11.47 , 657.47 , 657.47 , 0 , 180958 , 495 , 15.3131 , 2769 , 197.913 , 0 , 0 , 3498 , 0.333655 , 1029 , 18.898 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 724.24 , 605.54 , 16.3896 , 0.015 , 1800.02 , 4 , 653 , 71.24 , 62.42 , 71.24 , 724.24 , 632.79 , 12.627 , 49513 , 1062 , 8.57866 , 10792 , 5.01701 , 6864 , 4.8238 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 696.48 , 659.88 , 5.255 , 60.144 , 656.327 , 4 , 673 , 23.48 , 22.34 , 23.48 , 696.48 , 696.48 , 0 , 47726 , 358 , 3.46071 , 8010 , 4.06424 , 0 , 0 , 3493 , 0.190194 , 428 , 6.47251 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k4/40_4_0.80_1_2.svrp , 696.48 , 666.06 , 4.36768 , 60.158 , 1800.07 , 4 , 673 , 23.48 , 22.34 , 23.48 , 696.48 , 690.67 , 0.834195 , 123225 , 465 , 11.4009 , 7713 , 334.073 , 0 , 0 , 3573 , 0.192768 , 464 , 16.2037 , 0
SVRP-SET-PR-Basic , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 650.69 , 537.99 , 17.3201 , 0.018 , 1800.07 , 4 , 526 , 124.69 , 103.4 , 124.69 , 650.69 , 553.97 , 14.8642 , 47340 , 1237 , 7.72753 , 12972 , 6.35377 , 5661 , 4.53598 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k4/40_4_0.80_1_3.svrp , 596.75 , 570.59 , 4.38375 , 60.057 , 73.731 , 4 , 591 , 5.75 , 5.66 , 5.75 , 596.75 , 596.75 , 0 , 5443 , 139 , 0.51841 , 378 , 0.283491 , 0 , 0 , 2219 , 0.145006 , 236 , 1.73748 , 1
