Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SET-PR , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 557.68 , 1.24664 , 0.066 , 6.586 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 2495 , 611 , 0.30055 , 127 , 0.209606 , 141 , 0.040607 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-FLOW , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 559.18 , 0.981017 , 35.966 , 39.408 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 1680 , 532 , 0.453668 , 93 , 0.108641 , 0 , 0 , 145 , 34.8481 , 118 , 0.233336 , 1
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/B-n39-k5-scen-L666.svrp , 564.72 , 559.18 , 0.981017 , 35.945 , 39.046 , 5 , 561 , 3.72 , 3.72 , 3.72 , 564.72 , 564.72 , 0 , 1576 , 496 , 0.391637 , 90 , 0.212294 , 0 , 0 , 145 , 34.8589 , 105 , 0.176233 , 1
SVRP-SET-PR , ./data/ccvrp/P-n50-k10-scen-H666.svrp , 861.6 , 695.53 , 19.2746 , 0.345 , 1800.18 , 13 , 766 , 95.6 , 93.41 , 95.6 , 861.6 , 708.44 , 17.7762 , 10974 , 13109 , 8.62635 , 231 , 0.252838 , 676 , 0.758584 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-FLOW , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 754.75 , 682.36 , 9.59126 , 60.314 , 1800.09 , 12 , 746 , 8.75 , 8.75 , 8.75 , 754.75 , 700.76 , 7.15336 , 15694 , 14682 , 19.0074 , 154 , 0.353919 , 0 , 0 , 2851 , 3.02401 , 293 , 2.35076 , 0
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/P-n50-k10-scen-L666.svrp , 755.45 , 682.3 , 9.68297 , 60.27 , 1800.16 , 12 , 737 , 18.45 , 18.45 , 18.45 , 755.45 , 699.21 , 7.44457 , 13006 , 15335 , 14.3638 , 195 , 9.98562 , 0 , 0 , 2933 , 3.03544 , 337 , 1.84565 , 0
SVRP-SET-PR , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 957.67 , 741.45 , 22.5777 , 0.4 , 1800.1 , 13 , 822 , 135.67 , 132.99 , 135.67 , 957.67 , 753.93 , 21.2746 , 11011 , 12832 , 9.72937 , 186 , 0.378924 , 893 , 0.93921 , 0 , 0 , 0 , 0 , 0
SVRP-SRI-PR-FLOW , ./data/ccvrp/P-n51-k10-scen-H666.svrp , 971.24 , 743.85 , 23.4123 , 60.287 , 1800.16 , 13 , 815 , 156.24 , 155 , 156.24 , 971.24 , 756.88 , 22.0707 , 11598 , 14239 , 12.6426 , 200 , 0.273379 , 0 , 0 , 5474 , 3.51222 , 1067 , 2.04253 , 0
SVRP-SRI-PR-FLOW , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 807.91 , 723.75 , 10.417 , 60.293 , 1800.1 , 12 , 791 , 16.91 , 16.9 , 16.91 , 807.91 , 736.58 , 8.82895 , 13182 , 14545 , 15.6569 , 196 , 0.292449 , 0 , 0 , 2602 , 4.00379 , 305 , 2.14629 , 0
SVRP-SRI-PR-SCENOPT_CUTS-FLOW , ./data/ccvrp/P-n51-k10-scen-L666.svrp , 808.25 , 723.09 , 10.5363 , 60.225 , 1800.13 , 12 , 775 , 33.25 , 33.24 , 33.25 , 808.25 , 737.26 , 8.78317 , 12537 , 13652 , 15.275 , 196 , 13.0321 , 0 , 0 , 2681 , 3.91098 , 320 , 2.01131 , 0
