Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SET-PR-Basic , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 682 , 0.864888 , 0.037 , 2.222 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 597 , 97 , 0.068144 , 100 , 0.140225 , 52 , 0.127665 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 682.85 , 0.741333 , 60.164 , 61.351 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 290 , 76 , 0.941982 , 26 , 0.054522 , 0 , 0 , 806 , 49.0622 , 63 , 0.357486 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_0.svrp , 687.95 , 682.95 , 0.726797 , 60.095 , 62.016 , 2 , 685 , 2.95 , 2.84 , 2.95 , 687.95 , 687.95 , 0 , 228 , 58 , 0.93755 , 33 , 1.04814 , 0 , 0 , 806 , 49.7103 , 55 , 0.266027 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 642.64 , 1.50054 , 0.035 , 4.853 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1620 , 138 , 0.200307 , 275 , 0.278302 , 105 , 0.325956 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 644.78 , 1.17254 , 60.27 , 64.078 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 1165 , 88 , 0.374106 , 108 , 0.259947 , 0 , 0 , 1501 , 0.563317 , 121 , 1.41543 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_1.svrp , 652.43 , 644.42 , 1.22772 , 60.067 , 69.772 , 2 , 646 , 6.43 , 6.08 , 6.43 , 652.43 , 652.43 , 0 , 819 , 73 , 0.310568 , 75 , 6.73946 , 0 , 0 , 1483 , 0.533567 , 93 , 1.00309 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 692.93 , 2.44545 , 0.032 , 28.362 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 8154 , 329 , 1.31903 , 439 , 1.01363 , 231 , 1.52305 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 693.58 , 2.35391 , 37.12 , 55.513 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 4185 , 199 , 0.872344 , 234 , 0.368017 , 0 , 0 , 109 , 36.3258 , 339 , 4.90503 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_2.svrp , 710.3 , 693.58 , 2.35391 , 37.831 , 80.662 , 2 , 707 , 3.3 , 2.66 , 3.3 , 710.3 , 710.3 , 0 , 5020 , 188 , 0.934454 , 286 , 22.1918 , 0 , 0 , 109 , 37.0045 , 277 , 5.64609 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.53 , 703.89 , 1.48907 , 0.039 , 11.616 , 2 , 710 , 4.53 , 4.4 , 4.53 , 714.53 , 714.53 , 0 , 3280 , 209 , 0.49013 , 475 , 0.620091 , 197 , 0.787087 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.53 , 708.38 , 0.860706 , 60.17 , 63.771 , 2 , 710 , 4.53 , 4.4 , 4.53 , 714.53 , 714.53 , 0 , 864 , 89 , 0.499451 , 79 , 0.182653 , 0 , 0 , 1142 , 0.651696 , 99 , 1.16539 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_3.svrp , 714.53 , 708.26 , 0.8775 , 60.127 , 65.684 , 2 , 710 , 4.53 , 4.4 , 4.53 , 714.53 , 714.53 , 0 , 350 , 91 , 0.412164 , 57 , 4.04103 , 0 , 0 , 1156 , 0.667631 , 67 , 0.446019 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 727.98 , 712.03 , 2.19099 , 0.02 , 14.846 , 2 , 724 , 3.98 , 3.92 , 3.98 , 727.98 , 727.98 , 0 , 4552 , 210 , 0.340818 , 819 , 0.890447 , 93 , 0.89751 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 727.98 , 718.08 , 1.35993 , 60.151 , 63.215 , 2 , 724 , 3.98 , 3.92 , 3.98 , 727.98 , 727.98 , 0 , 1076 , 87 , 0.314028 , 103 , 0.136926 , 0 , 0 , 1917 , 0.473198 , 101 , 1.08867 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_4.svrp , 727.98 , 716.88 , 1.52477 , 60.41 , 84.496 , 2 , 724 , 3.98 , 3.92 , 3.98 , 727.98 , 727.98 , 0 , 1222 , 105 , 0.337058 , 167 , 19.4528 , 0 , 0 , 1877 , 0.46513 , 119 , 1.25784 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 662.55 , 659.36 , 0.481473 , 0.014 , 1.376 , 2 , 659 , 3.55 , 3.55 , 3.55 , 662.55 , 662.55 , 0 , 27 , 50 , 0.01795 , 62 , 0.044988 , 46 , 0.029944 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 662.55 , 657.11 , 0.821008 , 34.694 , 38.801 , 2 , 659 , 3.55 , 3.55 , 3.55 , 662.55 , 662.55 , 0 , 565 , 135 , 0.159398 , 129 , 0.16675 , 0 , 0 , 113 , 32.9066 , 100 , 0.850564 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 662.55 , 658.02 , 0.683722 , 34.462 , 37.22 , 2 , 659 , 3.55 , 3.55 , 3.55 , 662.55 , 662.55 , 0 , 66 , 37 , 0.092611 , 42 , 2.02798 , 0 , 0 , 113 , 32.6768 , 37 , 0.113835 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 643.29 , 634.62 , 1.34776 , 0.016 , 2.582 , 2 , 639 , 4.29 , 4.2 , 4.29 , 643.29 , 643.29 , 0 , 964 , 145 , 0.080307 , 206 , 0.34505 , 41 , 0.194556 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 643.29 , 640.2 , 0.480343 , 35.138 , 35.679 , 2 , 639 , 4.29 , 4.2 , 4.29 , 643.29 , 643.29 , 0 , 36 , 59 , 0.145454 , 10 , 0.012018 , 0 , 0 , 182 , 33.6777 , 26 , 0.074592 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 643.29 , 643.25 , 0.00621804 , 34.965 , 36.415 , 2 , 639 , 4.29 , 4.2 , 4.29 , 643.29 , 643.29 , 0 , 1 , 58 , 0.14942 , 23 , 0.60592 , 0 , 0 , 182 , 33.4653 , 24 , 0.101647 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 671.1 , 661.27 , 1.46476 , 0.016 , 2.992 , 2 , 666 , 5.1 , 4.71 , 5.1 , 671.1 , 671.1 , 0 , 1646 , 116 , 0.128491 , 155 , 0.364965 , 67 , 0.296459 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 671.1 , 663.21 , 1.17568 , 41.453 , 45.611 , 2 , 666 , 5.1 , 4.71 , 5.1 , 671.1 , 671.1 , 0 , 899 , 87 , 0.209263 , 107 , 0.207015 , 0 , 0 , 336 , 38.0646 , 97 , 1.34461 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 671.1 , 663.93 , 1.0684 , 41.798 , 49.616 , 2 , 666 , 5.1 , 4.71 , 5.1 , 671.1 , 671.1 , 0 , 782 , 75 , 0.189584 , 95 , 5.27927 , 0 , 0 , 336 , 38.3275 , 80 , 0.885502 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k2/60_2_0.90_1_8.svrp , 612.44 , 599.03 , 2.1896 , 0.018 , 10.633 , 2 , 608 , 4.44 , 4.04 , 4.44 , 612.44 , 612.44 , 0 , 2362 , 170 , 0.184899 , 960 , 0.721929 , 84 , 0.526929 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_8.svrp , 612.44 , 606.17 , 1.02377 , 60.204 , 62.125 , 2 , 608 , 4.44 , 4.04 , 4.44 , 612.44 , 612.44 , 0 , 291 , 65 , 0.184565 , 65 , 0.09961 , 0 , 0 , 1861 , 0.415837 , 66 , 0.376256 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_8.svrp , 612.44 , 605.83 , 1.07929 , 60.379 , 86.889 , 2 , 608 , 4.44 , 4.04 , 4.44 , 612.44 , 612.44 , 0 , 833 , 149 , 0.26093 , 170 , 17.7738 , 0 , 0 , 1891 , 0.421807 , 95 , 1.15053 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k2/60_2_0.90_1_9.svrp , 671.27 , 663 , 1.23199 , 0.025 , 4.447 , 2 , 667 , 4.27 , 4.27 , 4.27 , 671.27 , 671.27 , 0 , 1262 , 112 , 0.109978 , 194 , 0.275639 , 61 , 0.270492 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_9.svrp , 671.27 , 664.05 , 1.07557 , 52.047 , 56.232 , 2 , 667 , 4.27 , 4.27 , 4.27 , 671.27 , 671.27 , 0 , 689 , 90 , 0.30695 , 119 , 0.161563 , 0 , 0 , 970 , 36.9525 , 134 , 0.931859 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k2/60_2_0.90_1_9.svrp , 671.27 , 663.73 , 1.12324 , 51.693 , 78.356 , 2 , 667 , 4.27 , 4.27 , 4.27 , 671.27 , 671.27 , 0 , 905 , 135 , 0.35115 , 233 , 20.3457 , 0 , 0 , 970 , 36.9941 , 133 , 1.22433 , 1
SVRP-SET-PR-Basic , ./data/Jabali/k2/60_2_0.93_1_0.svrp , 712.32 , 695.27 , 2.39359 , 0.02 , 6.248 , 2 , 707 , 5.32 , 4.92 , 5.32 , 712.32 , 712.32 , 0 , 2442 , 211 , 0.231872 , 455 , 0.468682 , 110 , 0.502651 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k2/60_2_0.93_1_0.svrp , 712.32 , 706.06 , 0.878819 , 60.218 , 62.5 , 2 , 707 , 5.32 , 4.92 , 5.32 , 712.32 , 712.32 , 0 , 719 , 75 , 0.395169 , 108 , 0.160392 , 0 , 0 , 1462 , 1.37909 , 97 , 0.774103 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k2/60_2_0.93_1_0.svrp , 712.32 , 706.69 , 0.790375 , 60.081 , 80.379 , 2 , 707 , 5.32 , 4.92 , 5.32 , 712.32 , 712.32 , 0 , 681 , 78 , 0.393102 , 204 , 17.3979 , 0 , 0 , 1471 , 1.29623 , 97 , 0.663938 , 1
