Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k3/60_3_0.88_1_0.svrp , 735.83 , 720.33 , 2.10646 , 60.211 , 127.987 , 3 , 732 , 3.83 , 3.83 , 3.83 , 735.83 , 735.83 , 0 , 11197 , 385 , 2.14339 , 803 , 0.990148 , 0 , 0 , 3225 , 0.755975 , 484 , 8.21918 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k3/60_3_0.88_1_0.svrp , 735.83 , 720.41 , 2.09559 , 60.201 , 229.857 , 3 , 732 , 3.83 , 3.83 , 3.83 , 735.83 , 735.83 , 0 , 14256 , 386 , 2.71517 , 916 , 80.3445 , 0 , 0 , 3281 , 0.77391 , 497 , 9.19647 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k3/60_3_0.88_1_1.svrp , 746.85 , 739.15 , 1.031 , 60.183 , 63.063 , 3 , 739 , 7.85 , 7.34 , 7.85 , 746.85 , 746.85 , 0 , 589 , 89 , 0.269851 , 86 , 0.076962 , 0 , 0 , 2782 , 0.596674 , 80 , 0.55366 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k3/60_3_0.88_1_1.svrp , 746.85 , 739.11 , 1.03635 , 60.187 , 78.98 , 3 , 739 , 7.85 , 7.34 , 7.85 , 746.85 , 746.85 , 0 , 2405 , 137 , 0.48272 , 187 , 11.6345 , 0 , 0 , 2722 , 0.59936 , 119 , 2.64253 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k3/60_3_0.88_1_2.svrp , 747.59 , 732.66 , 1.99708 , 60.603 , 174.83 , 3 , 743 , 4.59 , 4.59 , 4.59 , 747.59 , 747.59 , 0 , 25033 , 391 , 3.25427 , 1419 , 1.45925 , 0 , 0 , 1576 , 0.349 , 562 , 11.7292 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k3/60_3_0.88_1_2.svrp , 747.59 , 732.38 , 2.03454 , 60.691 , 389.218 , 3 , 743 , 4.59 , 4.59 , 4.59 , 747.59 , 747.59 , 0 , 26001 , 402 , 3.38469 , 2820 , 159.966 , 0 , 0 , 1576 , 0.349293 , 487 , 12.0918 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k3/60_3_0.88_1_3.svrp , 730.49 , 719.52 , 1.50173 , 60.369 , 70.915 , 3 , 722 , 8.49 , 7.8 , 8.49 , 730.49 , 730.49 , 0 , 2719 , 162 , 0.743474 , 145 , 0.173027 , 0 , 0 , 2637 , 0.507528 , 254 , 2.78788 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k3/60_3_0.88_1_3.svrp , 730.49 , 719.68 , 1.47983 , 60.104 , 76.795 , 3 , 722 , 8.49 , 7.8 , 8.49 , 730.49 , 730.49 , 0 , 2862 , 182 , 0.788631 , 154 , 6.29911 , 0 , 0 , 2567 , 0.495877 , 241 , 2.82058 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k3/60_3_0.88_1_4.svrp , 777.68 , 763.53 , 1.81951 , 60.263 , 99.43 , 3 , 770 , 7.68 , 7.36 , 7.68 , 777.68 , 777.68 , 0 , 6082 , 264 , 1.41469 , 327 , 0.468315 , 0 , 0 , 2304 , 0.457028 , 503 , 5.73283 , 1
SVRP-SRI-PR-SCENOPT_CUTS-Basic-FLOW , ./data/Jabali/k3/60_3_0.88_1_4.svrp , 777.68 , 763.8 , 1.7848 , 60.353 , 98.003 , 3 , 770 , 7.68 , 7.36 , 7.68 , 777.68 , 777.68 , 0 , 4358 , 189 , 1.17924 , 274 , 11.1008 , 0 , 0 , 2269 , 0.446276 , 455 , 4.309 , 1
SVRP-SRI-PR-Basic-FLOW , ./data/Jabali/k3/60_3_0.88_1_5.svrp , 729.94 , 710.63 , 2.64542 , 60.091 , 171.386 , 3 , 725 , 4.94 , 4.82 , 4.94 , 729.94 , 729.94 , 0 , 15059 , 332 , 3.14133 , 785 , 1.23998 , 0 , 0 , 2432 , 0.532698 , 807 , 10.0555 , 1
