Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 666.14 , 646.981 , 2.87616 , 0.061 , 14.293 , 3 , 658 , 8.14 , 8.14 , 8.14 , 666.14 , 666.14 , 0 , 1293 , 735 , 0.41779 , 113 , 0.26648 , 105 , 0.136049 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 666.14 , 654.447 , 1.75527 , 53.062 , 70.875 , 3 , 658 , 8.14 , 8.14 , 8.14 , 666.14 , 666.14 , 0 , 870 , 759 , 1.67009 , 106 , 0.223547 , 0 , 0 , 1073 , 41.9905 , 131 , 0.199737 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k3/50_3_0.85_1_0.svrp , 666.14 , 655.446 , 1.60544 , 51.721 , 55.494 , 3 , 658 , 8.14 , 8.14 , 8.14 , 666.14 , 666.14 , 0 , 239 , 394 , 1.43134 , 21 , 0.059586 , 0 , 0 , 1073 , 41.4669 , 78 , 0.048813 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 657.64 , 645.919 , 1.78232 , 0.054 , 3.67 , 3 , 650 , 7.64 , 7.64 , 7.64 , 657.64 , 657.64 , 0 , 1211 , 423 , 0.224064 , 75 , 0.161859 , 74 , 0.018405 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 657.64 , 649.805 , 1.19132 , 60.241 , 63.87 , 3 , 650 , 7.64 , 7.64 , 7.64 , 657.64 , 657.64 , 0 , 788 , 444 , 4.05758 , 66 , 0.171262 , 0 , 0 , 2855 , 8.34088 , 94 , 0.131334 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k3/50_3_0.85_1_1.svrp , 657.64 , 649.713 , 1.20537 , 60.14 , 62.661 , 3 , 650 , 7.64 , 7.64 , 7.64 , 657.64 , 657.64 , 0 , 374 , 341 , 3.96176 , 37 , 0.097024 , 0 , 0 , 2855 , 7.39364 , 76 , 0.067037 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 660.4 , 639.4 , 3.17989 , 0.036 , 8.053 , 3 , 652 , 8.4 , 8.4 , 9.54 , 660.4 , 660.4 , 0 , 1822 , 405 , 0.310071 , 227 , 0.522781 , 176 , 0.182511 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 660.4 , 648.439 , 1.81112 , 49.975 , 55.122 , 3 , 652 , 8.4 , 8.4 , 9.54 , 660.4 , 660.4 , 0 , 945 , 350 , 1.07638 , 166 , 0.342033 , 0 , 0 , 1089 , 38.1522 , 180 , 0.151219 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k3/50_3_0.85_1_2.svrp , 660.4 , 648.439 , 1.81112 , 53.713 , 63.964 , 3 , 652 , 8.4 , 8.4 , 9.54 , 660.4 , 660.4 , 0 , 1365 , 572 , 1.28163 , 121 , 0.384258 , 0 , 0 , 1089 , 40.7072 , 166 , 0.275624 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 673.59 , 664.655 , 1.32641 , 0.024 , 0.74 , 3 , 666 , 7.59 , 7.59 , 7.98 , 673.59 , 673.59 , 0 , 136 , 168 , 0.025204 , 26 , 0.057779 , 22 , 0.004553 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 673.59 , 671.589 , 0.297055 , 32.444 , 32.92 , 3 , 666 , 7.59 , 7.59 , 7.98 , 673.59 , 673.59 , 0 , 1 , 155 , 0.144725 , 2 , 0.006921 , 0 , 0 , 713 , 30.1654 , 27 , 0.008894 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k3/50_3_0.85_1_3.svrp , 673.59 , 673.579 , 0.00158897 , 31.74 , 32.319 , 3 , 666 , 7.59 , 7.59 , 7.98 , 673.59 , 673.59 , 0 , 1 , 156 , 0.146766 , 2 , 0.007245 , 0 , 0 , 713 , 29.5948 , 27 , 0.010967 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 665.48 , 654.006 , 1.72419 , 0.101 , 2.421 , 3 , 650 , 15.48 , 15.48 , 16.33 , 665.48 , 665.48 , 0 , 550 , 357 , 0.121058 , 51 , 0.116382 , 25 , 0.011459 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 665.48 , 657.883 , 1.14165 , 60.264 , 61.408 , 3 , 650 , 15.48 , 15.48 , 16.33 , 665.48 , 665.48 , 0 , 196 , 287 , 6.54357 , 8 , 0.023555 , 0 , 0 , 2485 , 36.1313 , 58 , 0.034169 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k3/50_3_0.85_1_4.svrp , 665.48 , 657.939 , 1.13317 , 60.194 , 61.091 , 3 , 650 , 15.48 , 15.48 , 16.33 , 665.48 , 665.48 , 0 , 128 , 267 , 6.51204 , 5 , 0.012815 , 0 , 0 , 2484 , 35.3882 , 59 , 0.026111 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.86 , 728.404 , 0.062567 , 0.034 , 0.303 , 3 , 726 , 2.86 , 2.86 , 2.88 , 728.86 , 728.86 , 0 , 1 , 115 , 0.009282 , 13 , 0.01661 , 12 , 0.002022 , 0 , 0 , 0 , 0 , 1
SVRP-SRI-PR-SCENOPT_CUTS , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.86 , 728.483 , 0.0517852 , 30.699 , 30.914 , 3 , 726 , 2.86 , 2.86 , 2.88 , 728.86 , 728.86 , 6.06235e-08 , 1 , 160 , 0.103737 , 1 , 0.003638 , 0 , 0 , 107 , 29.9987 , 19 , 0.004423 , 1
SVRP-SRI-PR-SCENOPT_CUTS-ProjectedSRI , ./data/Jabali/k3/50_3_0.85_1_5.svrp , 728.86 , 728.483 , 0.0517852 , 30.523 , 30.738 , 3 , 726 , 2.86 , 2.86 , 2.88 , 728.86 , 728.86 , 6.06235e-08 , 1 , 160 , 0.103031 , 1 , 0.00359 , 0 , 0 , 107 , 29.8354 , 19 , 0.004103 , 1
SVRP-SET-PR-SCENOPT_CUTS , ./data/Jabali/k3/50_3_0.85_1_6.svrp , 657.33 , 650.989 , 0.964588 , 0.09 , 1.979 , 3 , 653 , 4.33 , 4.33 , 5.03 , 657.33 , 657.33 , 0 , 164 , 307 , 0.069266 , 22 , 0.063832 , 12 , 0.008247 , 0 , 0 , 0 , 0 , 1
