Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 662.55 , 662.16 , 0.0588635 , 0.026 , 0.362 , 2 , 659 , 3.55 , 3.55 , 3.55 , 662.55 , 662.55 , 0 , 1 , 97 , 0.008329 , 5 , 0.011491 , 6 , 0.003531 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 662.55 , 657.82 , 0.713908 , 32.005 , 34.243 , 2 , 659 , 3.55 , 3.55 , 3.55 , 662.55 , 662.55 , 0 , 349 , 280 , 0.123785 , 35 , 0.090624 , 0 , 0 , 17 , 31.7841 , 20 , 0.167612 , 1
SRI* , ./data/Jabali/k2/60_2_0.90_1_5.svrp , 662.55 , 657.82 , 0.713908 , 32.229 , 32.654 , 2 , 659 , 3.55 , 3.55 , 3.55 , 662.55 , 662.55 , 0 , 39 , 115 , 0.069242 , 3 , 0.015648 , 0 , 0 , 17 , 32.0087 , 7 , 0.023051 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 643.2 , 639.27 , 0.611008 , 0.056 , 2.061 , 2 , 639 , 4.2 , 4.2 , 4.29 , 643.2 , 643.2 , 0 , 149 , 225 , 0.03495 , 33 , 0.076186 , 24 , 0.031046 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 643.2 , 641.416 , 0.27738 , 30.832 , 31.475 , 2 , 639 , 4.2 , 4.2 , 4.29 , 643.2 , 643.2 , 0 , 45 , 157 , 0.074857 , 23 , 0.05682 , 0 , 0 , 8 , 30.5974 , 12 , 0.023987 , 1
SRI* , ./data/Jabali/k2/60_2_0.90_1_6.svrp , 643.2 , 642.564 , 0.0988663 , 31.437 , 32.082 , 2 , 639 , 4.2 , 4.2 , 4.29 , 643.2 , 643.2 , 0 , 11 , 144 , 0.070469 , 8 , 0.029873 , 0 , 0 , 8 , 31.2029 , 14 , 0.020543 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 670.71 , 661.95 , 1.30608 , 0.023 , 1.033 , 2 , 666 , 4.71 , 4.71 , 5.1 , 670.71 , 670.71 , 0 , 187 , 160 , 0.028183 , 63 , 0.110606 , 36 , 0.031695 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 670.71 , 663.317 , 1.10227 , 37.776 , 38.534 , 2 , 666 , 4.71 , 4.71 , 5.1 , 670.71 , 670.71 , 0 , 127 , 129 , 0.1347 , 33 , 0.059136 , 0 , 0 , 31 , 37.4578 , 31 , 0.045944 , 1
SRI* , ./data/Jabali/k2/60_2_0.90_1_7.svrp , 670.71 , 663.317 , 1.10227 , 38.344 , 38.993 , 2 , 666 , 4.71 , 4.71 , 5.1 , 670.71 , 670.71 , 0 , 98 , 130 , 0.133644 , 16 , 0.034591 , 0 , 0 , 31 , 38.0032 , 26 , 0.037832 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_8.svrp , 612.04 , 606.747 , 0.864819 , 0.053 , 0.807 , 2 , 608 , 4.04 , 4.04 , 4.44 , 612.04 , 612.04 , 0 , 120 , 143 , 0.025453 , 54 , 0.160273 , 26 , 0.023029 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_8.svrp , 612.04 , 607.941 , 0.669702 , 60.154 , 60.771 , 2 , 608 , 4.04 , 4.04 , 4.44 , 612.04 , 612.04 , 0 , 72 , 148 , 0.560847 , 25 , 0.080698 , 0 , 0 , 128 , 59.3701 , 29 , 0.034702 , 1
SRI* , ./data/Jabali/k2/60_2_0.90_1_8.svrp , 612.04 , 607.514 , 0.73943 , 60.183 , 60.733 , 2 , 608 , 4.04 , 4.04 , 4.44 , 612.04 , 612.04 , 0 , 52 , 137 , 0.563215 , 14 , 0.060816 , 0 , 0 , 128 , 59.3669 , 24 , 0.03096 , 1
ILS , ./data/Jabali/k2/60_2_0.90_1_9.svrp , 671.27 , 659.487 , 1.75538 , 0.03 , 1.748 , 2 , 667 , 4.27 , 4.27 , 4.27 , 671.27 , 671.27 , 0 , 460 , 254 , 0.075585 , 31 , 0.096033 , 18 , 0.072291 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.90_1_9.svrp , 671.27 , 664.027 , 1.07907 , 39.985 , 42.738 , 2 , 667 , 4.27 , 4.27 , 4.27 , 671.27 , 671.27 , 0 , 678 , 299 , 0.295968 , 55 , 0.151801 , 0 , 0 , 30 , 39.6501 , 40 , 0.231402 , 1
SRI* , ./data/Jabali/k2/60_2_0.90_1_9.svrp , 671.27 , 665.411 , 0.872774 , 41.974 , 42.749 , 2 , 667 , 4.27 , 4.27 , 4.27 , 671.27 , 671.27 , 0 , 92 , 177 , 0.210646 , 9 , 0.030844 , 0 , 0 , 30 , 41.6484 , 19 , 0.039451 , 1
ILS , ./data/Jabali/k2/60_2_0.93_1_0.svrp , 711.92 , 707.269 , 0.653371 , 0.033 , 0.504 , 2 , 707 , 4.92 , 4.92 , 5.32 , 711.92 , 711.92 , 0 , 84 , 133 , 0.016266 , 32 , 0.088847 , 23 , 0.016694 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.93_1_0.svrp , 711.92 , 707.571 , 0.610871 , 33.166 , 33.973 , 2 , 707 , 4.92 , 4.92 , 5.32 , 711.92 , 711.92 , 0 , 133 , 166 , 0.254921 , 35 , 0.117365 , 0 , 0 , 28 , 32.864 , 33 , 0.054673 , 1
SRI* , ./data/Jabali/k2/60_2_0.93_1_0.svrp , 711.92 , 707.875 , 0.568173 , 33.36 , 33.946 , 2 , 707 , 4.92 , 4.92 , 5.32 , 711.92 , 711.92 , 0 , 40 , 141 , 0.2437 , 6 , 0.03818 , 0 , 0 , 28 , 33.0574 , 17 , 0.024698 , 1
ILS , ./data/Jabali/k2/60_2_0.93_1_1.svrp , 660.51 , 651.698 , 1.33413 , 0.033 , 3.638 , 2 , 653 , 7.51 , 7.51 , 7.51 , 660.51 , 660.51 , 0 , 701 , 303 , 0.121657 , 52 , 0.180242 , 21 , 0.130844 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.93_1_1.svrp , 660.51 , 654.157 , 0.961866 , 30.696 , 35.945 , 2 , 653 , 7.51 , 7.51 , 7.51 , 660.51 , 660.51 , 0 , 559 , 424 , 0.206675 , 80 , 0.230767 , 0 , 0 , 71 , 30.117 , 49 , 0.244972 , 1
SRI* , ./data/Jabali/k2/60_2_0.93_1_1.svrp , 660.51 , 655.139 , 0.813187 , 30.423 , 31.104 , 2 , 653 , 7.51 , 7.51 , 7.51 , 660.51 , 660.51 , 0 , 69 , 157 , 0.097717 , 7 , 0.02355 , 0 , 0 , 71 , 29.8631 , 17 , 0.031426 , 1
ILS , ./data/Jabali/k2/60_2_0.93_1_2.svrp , 688.98 , 682.1 , 0.998578 , 0.045 , 4.218 , 2 , 684 , 4.98 , 4.98 , 5.86 , 688.98 , 688.98 , 0 , 579 , 345 , 0.107357 , 104 , 0.292671 , 52 , 0.114611 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.93_1_2.svrp , 688.98 , 683.06 , 0.859241 , 36.066 , 38.014 , 2 , 684 , 4.98 , 4.98 , 5.86 , 688.98 , 688.98 , 0 , 245 , 263 , 0.279132 , 55 , 0.183416 , 0 , 0 , 98 , 35.2357 , 50 , 0.10826 , 1
SRI* , ./data/Jabali/k2/60_2_0.93_1_2.svrp , 688.98 , 683.06 , 0.859241 , 35.931 , 45.378 , 2 , 684 , 4.98 , 4.98 , 5.86 , 688.98 , 688.98 , 0 , 608 , 494 , 0.390601 , 71 , 0.291907 , 0 , 0 , 98 , 35.1464 , 80 , 0.281591 , 1
ILS , ./data/Jabali/k2/60_2_0.93_1_3.svrp , 694.96 , 685.998 , 1.28958 , 0.056 , 3.256 , 2 , 689 , 5.96 , 5.96 , 6.04 , 694.96 , 694.96 , 0 , 481 , 277 , 0.09242 , 77 , 0.230827 , 62 , 0.087555 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.93_1_3.svrp , 694.96 , 686.377 , 1.23508 , 37.775 , 40.227 , 2 , 689 , 5.96 , 5.96 , 6.04 , 694.96 , 694.96 , 0 , 465 , 286 , 0.180434 , 51 , 0.145911 , 0 , 0 , 52 , 37.2619 , 53 , 0.171337 , 1
SRI* , ./data/Jabali/k2/60_2_0.93_1_3.svrp , 694.96 , 686.377 , 1.23508 , 38.088 , 40.158 , 2 , 689 , 5.96 , 5.96 , 6.04 , 694.96 , 694.96 , 0 , 369 , 285 , 0.175251 , 23 , 0.105769 , 0 , 0 , 52 , 37.5904 , 33 , 0.136803 , 1
ILS , ./data/Jabali/k2/60_2_0.93_1_4.svrp , 635.73 , 635.662 , 0.0107724 , 0.086 , 0.703 , 2 , 632 , 3.73 , 3.73 , 3.99 , 635.73 , 635.73 , 0 , 1 , 130 , 0.017016 , 12 , 0.04958 , 10 , 0.014051 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.93_1_4.svrp , 635.73 , 635.153 , 0.0907094 , 34.002 , 34.546 , 2 , 632 , 3.73 , 3.73 , 3.99 , 635.73 , 635.73 , 0 , 19 , 158 , 0.445467 , 15 , 0.050064 , 0 , 0 , 68 , 33.2017 , 15 , 0.033775 , 1
SRI* , ./data/Jabali/k2/60_2_0.93_1_4.svrp , 635.73 , 635.59 , 0.0220219 , 33.718 , 34.18 , 2 , 632 , 3.73 , 3.73 , 3.99 , 635.73 , 635.73 , 0 , 1 , 159 , 0.438317 , 4 , 0.01264 , 0 , 0 , 68 , 32.9294 , 13 , 0.012003 , 1
ILS , ./data/Jabali/k2/60_2_0.93_1_5.svrp , 660.25 , 653.1 , 1.08292 , 0.044 , 1.481 , 2 , 649 , 11.25 , 11.25 , 17.25 , 660.25 , 660.25 , 0 , 242 , 156 , 0.043547 , 39 , 0.160198 , 17 , 0.045136 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.93_1_5.svrp , 660.25 , 656.734 , 0.532468 , 59.106 , 59.966 , 2 , 649 , 11.25 , 11.25 , 17.25 , 660.25 , 660.25 , 0 , 44 , 132 , 0.92561 , 19 , 0.095726 , 0 , 0 , 897 , 49.042 , 52 , 0.029389 , 1
SRI* , ./data/Jabali/k2/60_2_0.93_1_5.svrp , 660.25 , 657.353 , 0.438748 , 59.117 , 60.025 , 2 , 649 , 11.25 , 11.25 , 17.25 , 660.25 , 660.25 , 0 , 28 , 148 , 0.919523 , 15 , 0.11985 , 0 , 0 , 897 , 49.2645 , 52 , 0.030241 , 1
ILS , ./data/Jabali/k2/60_2_0.93_1_6.svrp , 674.66 , 660.84 , 2.04844 , 0.082 , 14.431 , 2 , 671 , 3.66 , 3.66 , 3.84 , 674.66 , 674.66 , 0 , 990 , 709 , 0.206528 , 116 , 0.416707 , 58 , 0.170521 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.93_1_6.svrp , 674.66 , 663.392 , 1.67022 , 60.085 , 65.379 , 2 , 671 , 3.66 , 3.66 , 3.84 , 674.66 , 674.66 , 0 , 800 , 481 , 1.34919 , 120 , 0.426279 , 0 , 0 , 503 , 57.3067 , 63 , 0.2319 , 1
SRI* , ./data/Jabali/k2/60_2_0.93_1_6.svrp , 674.66 , 663.392 , 1.67022 , 60.105 , 68.689 , 2 , 671 , 3.66 , 3.66 , 3.84 , 674.66 , 674.66 , 0 , 738 , 687 , 1.38925 , 59 , 0.20452 , 0 , 0 , 503 , 57.3926 , 73 , 0.287024 , 1
ILS , ./data/Jabali/k2/60_2_0.93_1_7.svrp , 611.73 , 607.283 , 0.726895 , 0.143 , 1.306 , 2 , 604 , 7.73 , 7.73 , 7.93 , 611.73 , 611.73 , 0 , 153 , 171 , 0.04734 , 23 , 0.085582 , 19 , 0.03396 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.93_1_7.svrp , 611.73 , 607.018 , 0.77023 , 31.14 , 33.724 , 2 , 604 , 7.73 , 7.73 , 7.93 , 611.73 , 611.73 , 0 , 355 , 305 , 0.116696 , 38 , 0.142587 , 0 , 0 , 11 , 30.6846 , 19 , 0.147599 , 1
SRI* , ./data/Jabali/k2/60_2_0.93_1_7.svrp , 611.73 , 607.018 , 0.77023 , 31.326 , 34.45 , 2 , 604 , 7.73 , 7.73 , 7.93 , 611.73 , 611.73 , 0 , 359 , 347 , 0.133431 , 35 , 0.15706 , 0 , 0 , 11 , 30.8715 , 37 , 0.155566 , 1
ILS , ./data/Jabali/k2/60_2_0.93_1_8.svrp , 611.07 , 611.047 , 0.00370074 , 0.063 , 0.476 , 2 , 606 , 5.07 , 5.07 , 5.07 , 611.07 , 611.07 , 7.53207e-08 , 1 , 115 , 0.011134 , 4 , 0.010409 , 9 , 0.005912 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.93_1_8.svrp , 611.07 , 609.057 , 0.329356 , 29.941 , 30.46 , 2 , 606 , 5.07 , 5.07 , 5.07 , 611.07 , 611.07 , 0 , 20 , 158 , 0.062976 , 6 , 0.01856 , 0 , 0 , 23 , 29.4955 , 11 , 0.013484 , 1
SRI* , ./data/Jabali/k2/60_2_0.93_1_8.svrp , 611.07 , 611.004 , 0.0108069 , 30 , 30.401 , 2 , 606 , 5.07 , 5.07 , 5.07 , 611.07 , 611.07 , 0 , 1 , 150 , 0.061719 , 3 , 0.011427 , 0 , 0 , 23 , 29.5459 , 9 , 0.011795 , 1
ILS , ./data/Jabali/k2/60_2_0.93_1_9.svrp , 662.35 , 656.399 , 0.898394 , 0.083 , 1.085 , 2 , 654 , 8.35 , 8.35 , 9.84 , 662.35 , 662.35 , 0 , 101 , 161 , 0.023658 , 40 , 0.173414 , 12 , 0.021579 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.93_1_9.svrp , 662.35 , 656.805 , 0.837171 , 56.06 , 59.99 , 2 , 654 , 8.35 , 8.35 , 9.84 , 662.35 , 662.35 , 0 , 491 , 395 , 0.619433 , 62 , 0.270545 , 0 , 0 , 69 , 55.2857 , 42 , 0.197308 , 1
SRI* , ./data/Jabali/k2/60_2_0.93_1_9.svrp , 662.35 , 656.805 , 0.837171 , 54.533 , 55.673 , 2 , 654 , 8.35 , 8.35 , 9.84 , 662.35 , 662.35 , 0 , 135 , 270 , 0.565628 , 9 , 0.036378 , 0 , 0 , 69 , 53.7777 , 20 , 0.0555 , 1
ILS , ./data/Jabali/k2/60_2_0.95_1_0.svrp , 689.83 , 675.67 , 2.05268 , 0.057 , 3.651 , 2 , 671 , 18.83 , 18.83 , 19.12 , 689.83 , 689.83 , 0 , 632 , 330 , 0.098706 , 102 , 0.362685 , 54 , 0.088653 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k2/60_2_0.95_1_0.svrp , 689.83 , 680.027 , 1.42104 , 43.277 , 43.999 , 2 , 671 , 18.83 , 18.83 , 19.12 , 689.83 , 689.83 , 0 , 138 , 174 , 0.557772 , 24 , 0.078474 , 0 , 0 , 433 , 40.3562 , 49 , 0.052254 , 1
SRI* , ./data/Jabali/k2/60_2_0.95_1_0.svrp , 689.83 , 680.841 , 1.30302 , 43.125 , 43.987 , 2 , 671 , 18.83 , 18.83 , 19.12 , 689.83 , 689.83 , 0 , 127 , 183 , 0.565873 , 17 , 0.062009 , 0 , 0 , 433 , 40.2052 , 49 , 0.053401 , 1
