Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS+SRI , ./data/Jabali/k3/50_3_0.90_1_9.svrp , 664.93 , 653.968 , 1.64857 , 33.561 , 38.178 , 3 , 654 , 10.93 , 10.93 , 11.47 , 664.93 , 664.93 , 0 , 755 , 448 , 0.594145 , 96 , 0.252632 , 0 , 0 , 158 , 32.5234 , 87 , 0.154103 , 1
SRI , ./data/Jabali/k3/50_3_0.90_1_9.svrp , 664.93 , 654.21 , 1.61215 , 33.162 , 35.205 , 3 , 654 , 10.93 , 10.93 , 11.47 , 664.93 , 664.93 , 0 , 305 , 332 , 0.501845 , 31 , 0.106148 , 0 , 0 , 158 , 32.1177 , 54 , 0.056059 , 1
ILS , ./data/Jabali/k3/60_3_0.85_1_0.svrp , 714.77 , 709.435 , 0.746336 , 0.13 , 18.116 , 3 , 710 , 4.77 , 4.77 , 5.03 , 714.77 , 714.77 , 0 , 677 , 703 , 0.186462 , 87 , 0.230334 , 65 , 0.028336 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.85_1_0.svrp , 714.77 , 710.901 , 0.541268 , 50.31 , 70.67 , 3 , 710 , 4.77 , 4.77 , 5.03 , 714.77 , 714.77 , 0 , 862 , 893 , 1.41756 , 67 , 0.216479 , 0 , 0 , 654 , 45.0805 , 67 , 0.333679 , 1
SRI , ./data/Jabali/k3/60_3_0.85_1_0.svrp , 714.77 , 710.901 , 0.541261 , 50.022 , 52.179 , 3 , 710 , 4.77 , 4.77 , 5.03 , 714.77 , 714.77 , 0 , 154 , 296 , 1.13807 , 7 , 0.025115 , 0 , 0 , 654 , 44.8021 , 35 , 0.063502 , 1
ILS , ./data/Jabali/k3/60_3_0.85_1_1.svrp , 676.78 , 675.06 , 0.25412 , 0.077 , 2.753 , 3 , 674 , 2.78 , 2.78 , 2.94 , 676.78 , 676.78 , 0 , 17 , 231 , 0.042615 , 25 , 0.062581 , 17 , 0.007899 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.85_1_1.svrp , 676.78 , 674.969 , 0.267661 , 60.152 , 61.847 , 3 , 674 , 2.78 , 2.78 , 2.94 , 676.78 , 676.78 , 0 , 34 , 192 , 1.90195 , 23 , 0.107659 , 0 , 0 , 1038 , 46.8256 , 42 , 0.029415 , 1
SRI , ./data/Jabali/k3/60_3_0.85_1_1.svrp , 676.78 , 673.748 , 0.448003 , 60.072 , 61.247 , 3 , 674 , 2.78 , 2.78 , 2.94 , 676.78 , 676.78 , 0 , 76 , 230 , 1.91953 , 20 , 0.082168 , 0 , 0 , 1038 , 46.3532 , 49 , 0.038292 , 1
ILS , ./data/Jabali/k3/60_3_0.85_1_2.svrp , 726.97 , 715.907 , 1.52184 , 0.057 , 18.766 , 3 , 724 , 2.97 , 2.97 , 3.17 , 726.97 , 726.97 , 0 , 1116 , 732 , 0.306533 , 182 , 0.455408 , 152 , 0.069334 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.85_1_2.svrp , 726.97 , 717.476 , 1.30598 , 42.474 , 48.112 , 3 , 724 , 2.97 , 2.97 , 3.17 , 726.97 , 726.97 , 0 , 768 , 565 , 0.630407 , 121 , 0.285724 , 0 , 0 , 373 , 39.4827 , 130 , 0.242179 , 1
