Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI , ./data/ccvrp/A-n37-k5-scen-H666.svrp , 728.78 , 687.612 , 5.64896 , 60.067 , 489.431 , 6 , 676 , 52.78 , 52.78 , 55.74 , 728.78 , 728.78 , 0 , 31295 , 4809 , 12.5367 , 177 , 1.09961 , 0 , 0 , 4687 , 2.35358 , 272 , 1.38322 , 1
ILS , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 668.871 , 2.70683 , 0.088 , 3.222 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 604 , 548 , 0.151676 , 35 , 0.053516 , 48 , 0.007548 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 674.981 , 1.81805 , 60.068 , 74.374 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 1132 , 1154 , 6.52123 , 67 , 0.128782 , 0 , 0 , 3479 , 5.13825 , 121 , 0.084013 , 1
SRI , ./data/ccvrp/A-n37-k5-scen-L666.svrp , 687.48 , 674.899 , 1.82999 , 60.056 , 63.695 , 5 , 669 , 18.48 , 18.48 , 18.48 , 687.48 , 687.48 , 0 , 616 , 609 , 6.02682 , 16 , 0.054825 , 0 , 0 , 3422 , 4.76567 , 60 , 0.035411 , 1
ILS , ./data/ccvrp/A-n44-k6-scen-H666.svrp , 1115.72 , 957.374 , 14.1923 , 0.236 , 1800.09 , 8 , 1008 , 107.72 , 107.72 , 109.79 , 1115.72 , 972.315 , 12.8532 , 15466 , 15092 , 9.02163 , 607 , 2.13109 , 808 , 0.650178 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/ccvrp/A-n44-k6-scen-H666.svrp , 1096.33 , 971.773 , 11.3613 , 60.14 , 1800.19 , 8 , 991 , 105.33 , 105.33 , 112.27 , 1096.33 , 985.716 , 10.0895 , 14281 , 13587 , 11.6058 , 632 , 2.88277 , 0 , 0 , 4017 , 3.30577 , 815 , 1.39281 , 0
SRI , ./data/ccvrp/A-n44-k6-scen-H666.svrp , 1097.64 , 971.554 , 11.487 , 60.169 , 1800.12 , 8 , 1010 , 87.64 , 87.64 , 94.6 , 1097.64 , 986.826 , 10.0957 , 15523 , 14968 , 12.0788 , 562 , 2.37787 , 0 , 0 , 3972 , 3.26587 , 804 , 1.56103 , 0
ILS , ./data/ccvrp/A-n44-k6-scen-L666.svrp , 972.14 , 930.668 , 4.266 , 0.267 , 510.286 , 7 , 964 , 8.14 , 8.14 , 8.14 , 972.14 , 972.14 , 0 , 11732 , 6259 , 5.54811 , 182 , 0.483437 , 202 , 0.352643 , 0 , 0 , 0 , 0 , 1
ILS+SRI , ./data/ccvrp/A-n44-k6-scen-L666.svrp , 972.14 , 934.522 , 3.8696 , 60.176 , 834.602 , 7 , 964 , 8.14 , 8.14 , 8.14 , 972.14 , 972.14 , 0 , 19820 , 6117 , 16.067 , 151 , 0.695561 , 0 , 0 , 2864 , 3.85634 , 251 , 1.40871 , 1
SRI , ./data/ccvrp/A-n44-k6-scen-L666.svrp , 972.14 , 934.549 , 3.86681 , 60.169 , 927.567 , 7 , 964 , 8.14 , 8.14 , 8.14 , 972.14 , 972.139 , 9.11289e-05 , 17656 , 6551 , 15.5278 , 171 , 0.748476 , 0 , 0 , 2855 , 3.8338 , 279 , 1.27238 , 1
ILS , ./data/ccvrp/A-n45-k6-scen-H666.svrp , 1055.83 , 965.275 , 8.57662 , 0.197 , 1800.1 , 8 , 1048 , 7.83 , 7.83 , 7.83 , 1055.83 , 1006.03 , 4.71692 , 27008 , 10861 , 15.7518 , 426 , 1.82819 , 526 , 1.47229 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/ccvrp/A-n45-k6-scen-H666.svrp , 1070.33 , 982.426 , 8.21281 , 60.168 , 1800.17 , 8 , 1011 , 59.33 , 59.33 , 59.33 , 1070.33 , 1009.34 , 5.69812 , 18896 , 11633 , 12.5057 , 576 , 2.31807 , 0 , 0 , 4077 , 2.6049 , 858 , 1.92149 , 0
SRI , ./data/ccvrp/A-n45-k6-scen-H666.svrp , 1076.28 , 982.43 , 8.71982 , 60.132 , 1800.16 , 8 , 1014 , 62.28 , 62.28 , 62.79 , 1076.28 , 1009.53 , 6.20191 , 20504 , 11314 , 13.3297 , 503 , 2.06699 , 0 , 0 , 4342 , 3.13072 , 837 , 2.07797 , 0
