Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS+SRI , ./data/Jabali/k3/60_3_0.88_1_2.svrp , 744.74 , 732.246 , 1.67768 , 60.299 , 129.745 , 3 , 700 , 44.74 , 44.74 , 53.96 , 744.74 , 744.668 , 0.00972558 , 15519 , 325 , 2.25998 , 696 , 20.0151 , 0 , 0 , 1486 , 0.351124 , 391 , 5.30313 , 1
SRI* , ./data/Jabali/k3/60_3_0.88_1_2.svrp , 744.74 , 732.201 , 1.68369 , 60.673 , 104.451 , 3 , 700 , 44.74 , 44.74 , 53.96 , 744.74 , 744.667 , 0.00984048 , 13387 , 342 , 2.07629 , 194 , 7.14786 , 0 , 0 , 1486 , 0.353127 , 244 , 4.79027 , 1
ILS , ./data/Jabali/k3/60_3_0.88_1_3.svrp , 744.21 , 679.119 , 8.74627 , 0.151 , 1800.11 , 3 , 676 , 68.21 , 68.21 , 85.81 , 744.21 , 697.317 , 6.30109 , 27531 , 1130 , 8.18926 , 6818 , 230.299 , 6151 , 8.17967 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/60_3_0.88_1_3.svrp , 729.8 , 719.179 , 1.45533 , 60.397 , 69.985 , 3 , 722 , 7.8 , 7.8 , 8.49 , 729.8 , 729.74 , 0.00822143 , 3355 , 195 , 0.80695 , 147 , 2.18671 , 0 , 0 , 2467 , 0.505548 , 200 , 1.18905 , 1
SRI* , ./data/Jabali/k3/60_3_0.88_1_3.svrp , 729.8 , 719.017 , 1.47754 , 60.055 , 67.877 , 3 , 722 , 7.8 , 7.8 , 8.49 , 729.8 , 729.733 , 0.00924522 , 3179 , 178 , 0.801393 , 63 , 1.3264 , 0 , 0 , 2497 , 0.502252 , 124 , 1.10934 , 1
ILS , ./data/Jabali/k3/60_3_0.88_1_4.svrp , 812.76 , 726.5 , 10.6132 , 0.073 , 1800.13 , 3 , 754 , 58.76 , 58.76 , 64.72 , 812.76 , 739.07 , 9.0667 , 19993 , 744 , 6.13993 , 7133 , 198.973 , 6633 , 6.32293 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/60_3_0.88_1_4.svrp , 777.36 , 763.233 , 1.81733 , 60.289 , 149.035 , 3 , 770 , 7.36 , 7.36 , 7.68 , 777.36 , 777.285 , 0.00958718 , 11314 , 336 , 2.26862 , 613 , 13.8212 , 0 , 0 , 2221 , 0.452174 , 616 , 3.92242 , 1
SRI* , ./data/Jabali/k3/60_3_0.88_1_4.svrp , 777.36 , 764.333 , 1.67576 , 60.07 , 101.732 , 3 , 770 , 7.36 , 7.36 , 7.68 , 777.36 , 777.286 , 0.00948374 , 10290 , 213 , 2.29054 , 178 , 4.25319 , 0 , 0 , 2241 , 0.447934 , 281 , 3.4256 , 1
ILS , ./data/Jabali/k3/60_3_0.88_1_5.svrp , 771.45 , 671.954 , 12.8973 , 0.041 , 1800.13 , 3 , 715 , 56.45 , 56.45 , 60.35 , 771.45 , 687.8 , 10.8432 , 24543 , 1006 , 6.60307 , 6849 , 254.895 , 5712 , 7.36395 , 0 , 0 , 0 , 0 , 0
ILS+SRI , ./data/Jabali/k3/60_3_0.88_1_5.svrp , 726.79 , 711.95 , 2.0419 , 60.318 , 80.783 , 3 , 691 , 35.79 , 35.79 , 65.79 , 726.79 , 726.741 , 0.00677281 , 2994 , 153 , 0.62656 , 180 , 6.39946 , 0 , 0 , 2189 , 0.50521 , 208 , 1.08946 , 1
